"concept,""disease"",""appearTimes"",conceptClass"
"Interleukin-6,""Liver diseases"",""6"",Protein"
"SQSTM1 protein, human,""Alzheimer's Disease"",""6"",Protein"
"RTN4 protein, human,""cortex bone disorders"",""6"",Protein"
"Genes,""Hashimoto Disease"",""6"",Protein"
"IRF6 wt Allele,""Alzheimer's Disease"",""6"",Protein"
"Gluten,""Ataxia as late effect of cerebrovascular disease"",""6"",Protein"
"Histone Deacetylase 2,""Alzheimer's Disease"",""6"",Protein"
"Insulin-Like Growth Factor I,""Disorder nervous system"",""6"",Protein"
"RELN protein, human,""Disorder nervous system"",""6"",Protein"
"N-Methylaspartate,""Disorders, Mental"",""6"",Protein"
"Heme,""cortex bone disorders"",""6"",Protein"
"Erythropoietin,""Retinal Diseases"",""6"",Protein"
"Brain-Derived Neurotrophic Factor,""Motor Neuron Disease"",""6"",Protein"
"Protein Kinases,""Liver diseases"",""6"",Protein"
"Neural Cell Adhesion Molecules,""Alzheimer's Disease"",""6"",Protein"
"Clusterin,""Functional disorder"",""6"",Protein"
"Calcium,""Fragile X Syndrome"",""6"",Protein"
"Angiotensin II,""Pituitary Diseases"",""6"",Protein"
"Bombesin Receptor,""Spinal Cord Diseases"",""6"",Protein"
"Catenins,""Pervasive Development Disorder"",""6"",Protein"
"myelination,""Depressive disorder"",""6"",Protein"
"Granulocyte-Macrophage Colony-Stimulating Factor,""Neurodegenerative Disorders"",""6"",Protein"
"Genes,""Degenerative disorder"",""6"",Protein"
"Caspase-1,""Van der Woude syndrome"",""6"",Protein"
"Proteins,""Recurrent disease"",""6"",Protein"
"Aromatase,""Alzheimer's Disease"",""6"",Protein"
"Interleukin-10,""Spinal Cord Diseases"",""6"",Protein"
"Myelin basic protein,""Demyelinating Diseases"",""6"",Protein"
"Hydroxymethylglutaryl-CoA Reductase Inhibitors,""Neurodegenerative Disorders"",""6"",Protein"
"HD protein, human,""motor disorder"",""6"",Protein"
"Appetite-Regulating Hormone,""Liver diseases"",""6"",Protein"
"tau Proteins,""Parkinsonian Disorders"",""6"",Protein"
"Corticotropin-Releasing Hormone,""Paramyotonia congenita (disorder)"",""6"",Protein"
"Semaphorin-3A,""Hamartoma Syndrome, Multiple"",""6"",Protein"
"Histone Deacetylase,""Alzheimer's Disease"",""6"",Protein"
"PODXL protein, human,""Hashimoto Disease"",""6"",Protein"
"Adiponectin,""Depressive disorder"",""6"",Protein"
"Proteins,""Pancreatic Diseases"",""6"",Protein"
"NFIA protein, human,""Spinal Cord Diseases"",""6"",Protein"
"Glucose,""Hashimoto Disease"",""6"",Protein"
"Pituitary Adenylate Cyclase Activating Polypeptide,""Functional disorder"",""6"",Protein"
"NADH Dehydrogenase (Ubiquinone),""Parkinsonian Disorders"",""6"",Protein"
"Receptor,""Dysequilibrium syndrome"",""5"",Protein"
"Retinoblastoma Protein,""Retinal Diseases"",""5"",Protein"
"Growth Factor,""Niemann-Pick Disease, Type C"",""5"",Protein"
"Receptor, Leptin,""Depressive disorder"",""5"",Protein"
"Calmodulin Dependent Protein Kinase II,""Alzheimer's Disease"",""5"",Protein"
"Retinaldehyde,""Spinal Cord Diseases"",""5"",Protein"
"moesin,""cortex bone disorders"",""5"",Protein"
"Peptides,""Pyruvate Dehydrogenase Complex Deficiency Disease"",""5"",Protein"
"HP protein, human,""Alzheimer's Disease"",""5"",Protein"
"Amyloid Proteins,""Autistic Disorder"",""5"",Protein"
"Tyrosine 3-Monooxygenase,""Depressive disorder"",""5"",Protein"
"Glutamate-Ammonia Ligase,""cortex bone disorders"",""5"",Protein"
"Neurofilament Proteins,""Retinal Diseases"",""5"",Protein"
"Genes,""Chorea Acanthocytosis Syndrome"",""5"",Protein"
"Cytokine,""Major Depressive Disorder"",""5"",Protein"
"Gamma-Enolase,""Hypertensive disease"",""5"",Protein"
"Ligase, Ubiquitin-Protein,""Lafora Disease"",""5"",Protein"
"Chondroitin Sulfates,""Hamartoma Syndrome, Multiple"",""5"",Protein"
"Apolipoprotein E,""Disorder nervous system"",""5"",Protein"
"Cre recombinase,""cortex bone disorders"",""5"",Protein"
"Tumor Necrosis Factor-alpha,""Hypertensive disease"",""5"",Protein"
"DNA, Mitochondrial,""Bipolar Disorder"",""5"",Protein"
"Capsid Proteins,""Spinal Cord Diseases"",""5"",Protein"
"Nitric Oxide Synthase,""Parkinson Disease"",""5"",Protein"
"INSR protein, human,""Liver diseases"",""5"",Protein"
"Binding Protein,""Neurotoxicity Syndromes"",""5"",Protein"
"Acetylcysteine,""Nail-Patella Syndrome"",""5"",Protein"
"Gamma-Enolase,""Pervasive Development Disorder"",""5"",Protein"
"orexins,""Alzheimer's Disease"",""5"",Protein"
"Chemokine,""Neurotoxicity Syndromes"",""5"",Protein"
"Oxytocin,""Christ-Siemens-Touraine syndrome"",""5"",Protein"
"Leucine,""Retinal Diseases"",""5"",Protein"
"neuromelanin,""Shy-Drager Syndrome"",""5"",Protein"
"S-Adenosylmethionine,""Lesch-Nyhan Syndrome"",""5"",Protein"
"Interferons,""cortex bone disorders"",""5"",Protein"
"Angiotensin II,""cortex bone disorders"",""5"",Protein"
"Hyperhomocysteinemia,""Functional disorder"",""5"",Protein"
"DNA,""Disease Progression"",""5"",Protein"
"APS protein, human,""Alzheimer's Disease"",""5"",Protein"
"Transporter, Dopamine,""Meckel syndrome type 1"",""5"",Protein"
"metabotropic glutamate receptor type 1,""Disease Progression"",""5"",Protein"
"Amyloid beta-Peptides,""Neurodegenerative Disorders"",""5"",Protein"
"Estrogen Receptors,""Liver diseases"",""5"",Protein"
"Calcium,""Timothy syndrome"",""5"",Protein"
"Nerve Growth Factors,""neuropathology disease"",""5"",Protein"
"Undecaprenyl-phosphate galactose-phosphotransferase,""Chromosome 11p11.2 Deletion Syndrome"",""5"",Protein"
"Amyloid Proteins,""Gerstmann-Straussler-Scheinker Disease"",""5"",Protein"
"Gamma-Enolase,""Migraine Disorders"",""5"",Protein"
"Pro-Opiomelanocortin,""Spinal Cord Diseases"",""5"",Protein"
"DNA,""Disorder nervous system"",""5"",Protein"
"Peptide Fragments,""Alzheimer's Disease"",""5"",Protein"
"Calcium,""Sensitization (disorder)"",""5"",Protein"
"Ligase, Ubiquitin-Protein,""Autism Spectrum Disorders"",""5"",Protein"
"Ferritin,""cortex bone disorders"",""5"",Protein"
"HCRT Gene,""Disease Progression"",""5"",Protein"
"Calcium Channel,""Retinal Diseases"",""5"",Protein"
"HMGB1 Protein,""Neurotoxicity Syndromes"",""5"",Protein"
"Associated Protein, FKBP12-Rapamycin,""Disorder nervous system"",""5"",Protein"
"Acetylcholinesterase,""Depressive disorder"",""5"",Protein"
"Immune Sera,""Colonic Diseases"",""5"",Protein"
"astaxanthin,""Alzheimer's Disease"",""5"",Protein"
"Protein Subunits,""Shwachman syndrome"",""5"",Protein"
"Indirect reacting bilirubin,""Neurotoxicity Syndromes"",""5"",Protein"
"Ubiquitin,""Angelman Syndrome"",""5"",Protein"
"Proteins,""Metabolic Syndrome X"",""5"",Protein"
"Nerve Growth Factor,""Nicolaides Baraitser syndrome"",""5"",Protein"
"Poly ADP Ribose Polymerase,""cortex bone disorders"",""5"",Protein"
"Wheat Germ Agglutinins,""Nail-Patella Syndrome"",""5"",Protein"
"Caspase-6,""cortex bone disorders"",""5"",Protein"
"Glutaminase,""Neurotoxicity Syndromes"",""5"",Protein"
"CX3CR1 protein, human,""Spinal Cord Diseases"",""5"",Protein"
"Glucose,""Metabolic Syndrome X"",""5"",Protein"
"Cell Adhesion Molecules,""cortex bone disorders"",""5"",Protein"
"Proteoglycan,""Hamartoma Syndrome, Multiple"",""5"",Protein"
"Neurotrophic Factor,""CNS disorder"",""5"",Protein"
"Receptor,""Cognition Disorders"",""5"",Protein"
"Gamma-Enolase,""Machado-Joseph Disease"",""5"",Protein"
"Calbindins,""Mucocutaneous Lymph Node Syndrome"",""5"",Protein"
"BAD Protein,""Alzheimer's Disease"",""5"",Protein"
"CRK protein, human,""Spinal Cord Diseases"",""5"",Protein"
"orexins,""Disease Progression"",""5"",Protein"
"Enzymes,""Lewy Body Disease"",""5"",Protein"
"Cyclic Nucleotide Phosphodiesterases, Type 5,""Kartagener Syndrome"",""5"",Protein"
"RNA-Binding Proteins,""Alzheimer's Disease"",""5"",Protein"
"Interleukin-6,""neuropathology disease"",""5"",Protein"
"CD11b Antigens,""Spinal Cord Diseases"",""5"",Protein"
"D-Serine,""Disorders, Mental"",""5"",Protein"
"Immunoglobulin G,""Psychotic Disorders"",""5"",Protein"
"Glycosylation End Products, Advanced,""Rett Syndrome"",""5"",Protein"
"Glial Cell Line-Derived Neurotrophic Factor,""Functional disorder"",""5"",Protein"
"Appetite-Regulating Hormone,""Neurodegenerative Disorders"",""5"",Protein"
"Catenins,""Disorders, Mental"",""5"",Protein"
"Immunoglobulins,""Demyelinating Diseases"",""5"",Protein"
"Enzymes,""Sandhoff Disease"",""5"",Protein"
"Oxytocin,""Neurodevelopmental disorder"",""5"",Protein"
"prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase), human,""cortex bone disorders"",""5"",Protein"
"Calmodulin,""Neurotoxicity Syndromes"",""5"",Protein"
"APP protein, human,""Virus Diseases"",""5"",Protein"
"Lysine,""DISORDERS OF THE OPTIC NERVE"",""5"",Protein"
"Human Leukocyte Interferon,""Spinal Cord Diseases"",""5"",Protein"
"Neuregulin 1,""Alzheimer's Disease"",""5"",Protein"
"Peptides,""Cognition Disorders"",""5"",Protein"
"Cathepsin C,""Mucocutaneous Lymph Node Syndrome"",""5"",Protein"
"Ghrelin,""Attention deficit hyperactivity disorder"",""5"",Protein"
"Dopa,""Spinal Cord Diseases"",""5"",Protein"
"Angiotensin-2,""cortex bone disorders"",""5"",Protein"
"Bradykinin,""Syndrome, Bloch-Sulzberger"",""5"",Protein"
"Neurofilament Proteins,""Spinal Cord Diseases"",""5"",Protein"
"Endothelin,""Lung diseases"",""5"",Protein"
"Protein Kinases,""Neurotoxicity Syndromes"",""5"",Protein"
"Arginine,""Vasodilation disorder"",""5"",Protein"
"Tryptophan 5-monooxygenase,""Hashimoto Disease"",""5"",Protein"
"Caspase-3,""Neurodegenerative Disorders"",""5"",Protein"
"Cholinergic Receptors,""Alzheimer's Disease"",""5"",Protein"
"tau Proteins,""Brain Diseases"",""5"",Protein"
"Chondroitin Sulfate Proteoglycans,""Hamartoma Syndrome, Multiple"",""5"",Protein"
"Binding Protein,""Diseases of inner ear"",""5"",Protein"
"Tyrosine 3-Monooxygenase,""Shy-Drager Syndrome"",""5"",Protein"
"Proteome,""Functional disorder"",""5"",Protein"
"Ghrelin,""Neurodegenerative Disorders"",""5"",Protein"
"Enzymes,""Brain Diseases"",""5"",Protein"
"Neurotrophin 3,""Depressive disorder"",""5"",Protein"
"Ghrelin,""Dysequilibrium syndrome"",""5"",Protein"
"Apolipoprotein E4,""Hypertensive disease"",""5"",Protein"
"Receptor 5, Metabotropic Glutamate,""Sensitization (disorder)"",""5"",Protein"
"Stress-Activated Protein Kinase 1,""Functional disorder"",""5"",Protein"
"Insulin,""Skin endocrine disorder"",""5"",Protein"
"Protein Kinases,""Disorder nervous system"",""5"",Protein"
"orexins,""Disorder nervous system"",""5"",Protein"
"NADPH Dehydrogenase,""Spinal Cord Diseases"",""5"",Protein"
"Calbindin 1,""Huntington Disease"",""5"",Protein"
"Phosphotransferases,""Sensitization (disorder)"",""5"",Protein"
"Glucocorticoid Receptor,""Liver diseases"",""5"",Protein"
"Ubiquitin,""Parkinsonian Disorders"",""5"",Protein"
"Receptor, Cannabinoid,""Retinal Diseases"",""5"",Protein"
"Isoenzymes,""Retinal Diseases"",""5"",Protein"
"Cytochrome P450,""Neurotoxicity Syndromes"",""5"",Protein"
"Tyrosine,""Down Syndrome"",""5"",Protein"
"Interferons,""Communicable Diseases"",""5"",Protein"
"Transforming Growth Factors,""Functional disorder"",""5"",Protein"
"Dystroglycans,""Retinal Diseases"",""5"",Protein"
"Cyclic AMP-Responsive DNA-Binding Protein,""Disease Progression"",""5"",Protein"
"Peroxidase,""cortex bone disorders"",""5"",Protein"
"Cytokine,""Migraine Disorders"",""5"",Protein"
"prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase), human,""Van der Woude syndrome"",""5"",Protein"
"Receptor,""Timothy syndrome"",""5"",Protein"
"Fibroblast Growth Factor 2,""Depressive disorder"",""5"",Protein"
"Phosphotransferases,""Brain Diseases"",""5"",Protein"
"Amyloid,""Cognition Disorders"",""5"",Protein"
"Granulocyte-Macrophage Colony-Stimulating Factor,""Lewy Body Disease"",""5"",Protein"
"Protein Tyrosine Kinase,""Alzheimer's Disease"",""5"",Protein"
"IRF6 wt Allele,""Neurodegenerative Disorders"",""5"",Protein"
"Choline O-Acetyltransferase,""Colonic Diseases"",""5"",Protein"
"Erythropoietin,""Functional disorder"",""5"",Protein"
"Protein Isoforms,""Neurodevelopmental disorder"",""5"",Protein"
"Cell Adhesion Molecules,""Renal glomerular disease"",""5"",Protein"
"Genes,""Gerstmann-Straussler-Scheinker Disease"",""5"",Protein"
"Ligase, Ubiquitin-Protein,""Neurodegenerative Disorders"",""5"",Protein"
"Peptides,""Pancreatic Diseases"",""5"",Protein"
"Semaphorins,""Spinal Cord Diseases"",""5"",Protein"
"Iodide Peroxidase,""cortex bone disorders"",""5"",Protein"
"Nitric Oxide Synthase Type I,""Parkinson Disease"",""5"",Protein"
"Integrins,""Functional disorder"",""5"",Protein"
"HD protein, human,""Chorea Acanthocytosis Syndrome"",""5"",Protein"
"Gamma-Enolase,""Neurotoxicity Syndromes"",""5"",Protein"
"Brain-Derived Neurotrophic Factor,""Psychotic Disorders"",""5"",Protein"
"Gamma-Enolase,""CNS disorder"",""5"",Protein"
"G(M2) Ganglioside,""Tay-Sachs Disease"",""5"",Protein"
"Cyclic AMP-Responsive DNA-Binding Protein,""Huntington Disease"",""5"",Protein"
"prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase), human,""Alzheimer's Disease"",""5"",Protein"
"ADP-Ribosyl Cyclase 1,""Autism Spectrum Disorders"",""5"",Protein"
"Amyloid Proteins,""Disorder nervous system"",""5"",Protein"
"Proto-Oncogene Proteins c-akt,""Depressive disorder"",""5"",Protein"
"Microtubule-Associated Proteins,""DISORDERS OF THE OPTIC NERVE"",""5"",Protein"
"Glial Cell Line-Derived Neurotrophic Factor,""Prune Belly Syndrome"",""5"",Protein"
"Catalase,""cortex bone disorders"",""5"",Protein"
"Deprenyl,""Parkinsonian Disorders"",""5"",Protein"
"Undecaprenyl-phosphate galactose-phosphotransferase,""Parkinson Disease"",""5"",Protein"
"CDK-Activating Kinase Assembly Factor MAT1,""Neurotoxicity Syndromes"",""5"",Protein"
"Green Fluorescent Proteins,""Syndrome, Bloch-Sulzberger"",""5"",Protein"
"Calcium,""Pelvic Inflammatory Disease"",""5"",Protein"
"HCRT Gene,""Disorders, Mental"",""5"",Protein"
"Caspase,""Huntington Disease"",""5"",Protein"
"Galantamine,""Van der Woude syndrome"",""5"",Protein"
"N-Methylaspartate,""Prune Belly Syndrome"",""5"",Protein"
"Factor, Transcription,""Disorder of pineal gland"",""5"",Protein"
"Appetite-Regulating Hormone,""Dysequilibrium syndrome"",""5"",Protein"
"myelination,""Pervasive Development Disorder"",""5"",Protein"
"tau Proteins,""Syndrome"",""5"",Protein"
"Synapsins,""Depressive disorder"",""5"",Protein"
"Histone Deacetylase,""Disorder nervous system"",""5"",Protein"
"Mixed Function Oxygenases,""Parkinson Disease"",""5"",Protein"
"Nitric Oxide Synthase,""Renal glomerular disease"",""5"",Protein"
"Threonine,""Alzheimer's Disease"",""5"",Protein"
"HCRT Gene,""Autoimmune Diseases"",""5"",Protein"
"Cathepsin L,""Parkinson Disease"",""5"",Protein"
"Growth Factor,""Retinal Diseases"",""5"",Protein"
"Fibrin,""Spinal Cord Diseases"",""5"",Protein"
"Phosphotransferases,""Huntington Disease"",""5"",Protein"
"Glycogen Synthase Kinase 3,""Depressive disorder"",""5"",Protein"
"Transforming Growth Factors,""Disease Progression"",""5"",Protein"
"Matrix Metalloproteinases,""Disease Progression"",""5"",Protein"
"Ghrelin,""Rett Syndrome"",""5"",Protein"
"Glycosylation End Products, Advanced,""Hypertensive disease"",""5"",Protein"
"Adaptor Proteins, Signal Transducing,""Functional disorder"",""5"",Protein"
"Pituitary Hormones,""Pituitary Diseases"",""5"",Protein"
"PTEN protein, human,""Functional disorder"",""5"",Protein"
"gephyrin,""Alzheimer's Disease"",""5"",Protein"
"Cone Opsins,""Retinal Diseases"",""5"",Protein"
"Chromatin,""Disorder nervous system"",""5"",Protein"
"Oxytocin,""Mood Disorders"",""5"",Protein"
"Green Fluorescent Proteins,""Saethre-Chotzen Syndrome"",""5"",Protein"
"Ion Channel,""Migraine Disorders"",""5"",Protein"
"Factor, Transcription,""Van der Woude syndrome"",""5"",Protein"
"Glutamine,""Alzheimer's Disease"",""5"",Protein"
"Interferons,""Niemann-Pick Disease, Type C"",""5"",Protein"
"KISS1 protein, human,""Skin endocrine disorder"",""5"",Protein"
"Parvalbumins,""Huntington Disease"",""5"",Protein"
"Actins,""Neurodegenerative Disorders"",""5"",Protein"
"Methionine,""Functional disorder"",""5"",Protein"
"Transporter, Dopamine,""cortex bone disorders"",""5"",Protein"
"Acetylcholinesterase,""Disease Progression"",""5"",Protein"
"Superoxide Dismutase,""Fetal Alcohol Syndrome"",""5"",Protein"
"RELN protein, human,""Autistic Disorder"",""5"",Protein"
"Calcium,""Gilles de la Tourette syndrome"",""5"",Protein"
"Proteins,""Androgen-Insensitivity Syndrome"",""5"",Protein"
"Genes,""Lens Diseases"",""5"",Protein"
"CDK-Activating Kinase Assembly Factor MAT1,""cortex bone disorders"",""5"",Protein"
"Glycine,""Retinal Diseases"",""5"",Protein"
"Genes,""Skin endocrine disorder"",""5"",Protein"
"CNTNAP2 protein, human,""Syndrome"",""5"",Protein"
"Glutamate Decarboxylase,""Disorder nervous system"",""5"",Protein"
"Lectin,""Spinal Cord Diseases"",""5"",Protein"
"Autoantibodies,""Rheumatic Heart Disease"",""5"",Protein"
"HCRT protein, human,""Parkinson Disease"",""5"",Protein"
"NOS3 protein, human,""Functional disorder"",""5"",Protein"
"Lactoferrin,""Alzheimer's Disease"",""5"",Protein"
"Cytochrome P450,""Spinal Cord Diseases"",""5"",Protein"
"1-Phosphatidylinositol 3-Kinase,""Niemann-Pick Disease, Type C"",""5"",Protein"
"CRF receptor type 1,""Pituitary Diseases"",""5"",Protein"
"Fibroblast Growth Factor 2,""Hamartoma Syndrome, Multiple"",""5"",Protein"
"EP300 protein, human,""Rubinstein-Taybi Syndrome"",""5"",Protein"
"Nitric Oxide Synthase Type II,""Alzheimer's Disease"",""5"",Protein"
"Vascular Endothelial Growth Factor A,""Disorder nervous system"",""5"",Protein"
"Nitric Oxide Synthase Type II,""cortex bone disorders"",""5"",Protein"
"Serotonin,""Shy-Drager Syndrome"",""5"",Protein"
"Chromatin,""Disease Progression"",""5"",Protein"
"Dopamine Receptor,""Disorders, Mental"",""5"",Protein"
"Proline,""DISORDERS OF THE OPTIC NERVE"",""5"",Protein"
"Cytochromes c,""cortex bone disorders"",""5"",Protein"
"Glucagon-Like Peptide 1,""Irritable Bowel Syndrome"",""5"",Protein"
"Tyrosine,""Alzheimer's Disease"",""5"",Protein"
"Gamma-Enolase,""Retinal Diseases"",""5"",Protein"
"SH3 and Multiple Ankyrin Repeat Domains Protein 3,""Brain Diseases"",""5"",Protein"
"Protein Synthesis Inhibitors,""Neurotoxicity Syndromes"",""5"",Protein"
"Phosphoric Monoester Hydrolases,""Lafora Disease"",""5"",Protein"
"Sodium Channel,""Spinal Cord Diseases"",""5"",Protein"
"Neurogranin,""Mild cognitive disorder"",""5"",Protein"
"2-Amino-5-phosphonovalerate,""Spinal Cord Diseases"",""5"",Protein"
"Associated Protein, FKBP12-Rapamycin,""Depressive disorder"",""5"",Protein"
"Neuregulin 1,""cortex bone disorders"",""5"",Protein"
"Choline O-Acetyltransferase,""Parkinson Disease"",""5"",Protein"
"Cloning Vectors,""Lysosomal Storage Diseases"",""5"",Protein"
"Isotretinoin,""Depressive disorder"",""5"",Protein"
"Receptors, Purinergic P1,""Functional disorder"",""5"",Protein"
"Lipase, Lipoprotein,""cortex bone disorders"",""5"",Protein"
"metabotropic glutamate receptor type 1,""Depressive disorder"",""5"",Protein"
"Proteins,""Lens Diseases"",""5"",Protein"
"Hyperhomocysteinemia,""Neurotoxicity Syndromes"",""5"",Protein"
"Protein Isoforms,""Bipolar Disorder"",""5"",Protein"
"Appetite-Regulating Hormone,""Rett Syndrome"",""5"",Protein"
"Somatostatin,""Parkinson Disease"",""5"",Protein"
"Myelin,""Creutzfeldt-Jakob disease"",""5"",Protein"
"Calcineurin,""Spinal Cord Diseases"",""5"",Protein"
"Deprenyl,""Alzheimer's Disease"",""5"",Protein"
"Protein Isoforms,""Pervasive Development Disorder"",""5"",Protein"
"Protein Isoforms,""Disorders, Mental"",""5"",Protein"
"Human Growth Hormone,""cortex bone disorders"",""5"",Protein"
"Rhodopsin,""Opitz-Frias syndrome"",""5"",Protein"
