brainregion,disease,text,pubdate
Genus Hippocampus,Alzheimer's Disease,The striatum and hippocampus are important structures in the brain and are associated with the development of Parkinson's and Alzheimer's diseases.,2013 Jan
Lobe Frontal,Alzheimer's Disease,Noradrenergic deficits have been described in the hippocampus and the frontal cortex of Alzheimer's disease brains which are secondary to locus coeruleus degeneration.,2013 Apr
Central Dorsal Nucleus,Hamartoma Syndrome Multiple,The experimental model of CD obtained by means of in utero administration of BCNU (1-3-bis-chloroethyl-nitrosurea) to pregnant rats on embryonic day 15 mimics the histopathological abnormalities observed in many patients.,2013 Jan
Structure of ansa lenticularis,Hamartoma Syndrome Multiple,Al levels were also estimated in HC and CS regions of rat brain.,2013 May
Lobe Frontal,Spinal Cord Diseases,Methods:                    Expression of TNPO 1 and colocalization with FUS was studied in the frontal cortex of FTLD-FUS (n = 3) and brain and spinal cord of ALS-FUS (n = 3) ALS-C9orf72 (n = 3) sporadic ALS (n = 7) and controls (n = 7).,2013 Aug
BRAIN HIPPOCAMPUS,Hashimoto Disease,In this study we investigated the neurotoxicity of BPAF and underlying mechanisms of action using hippocampal cell line (HT-22) and mouse primary neuronal cells.,2013 Apr
Cerebral Ventricles,cortex bone disorders,STZicv injection induced energy crisis in the brain regions surrounding the ventricles as indicated by higher pAMPK levels in the hippocampus but not cortex far away from the ventricles.,2013 Mar
Pituitary Gland,Pituitary Diseases,All pituitary hormonal antibodies were negative as well as GFAP AE1/AE3 p53 and EMA.,2012 Nov
Prefrontal Cortex,Melkersson-Rosenthal Syndrome,Thus we examined effects of aging on neurochemical aspects of brain maturation using 3-T proton magnetic resonance spectroscopy ((1)H-MRS) with single voxel in the medial prefrontal cortex (PFC) in 24 adult men with non-medicated high-functioning ASDs and 25 age- IQ- and parental-socioeconomic-background-matched men with typical development (TD).,2012 Oct 23
Structure of entorhinal cortex,Alzheimer's Disease,Accumulation of hyperphosphorylated tau in the entorhinal cortex (EC) is one of the earliest pathological hallmarks in patients with Alzheimer's disease (AD).,2012
Anterodorsal nucleus of thalamus,Alzheimer's Disease,A double blind placebo-controlled phase II study revealed that the antihistamine Dimebon® (dimebolin latrepirdine) improved cognition in Alzheimer disease (AD) patients compared to placebo controls.,2012
Neostriatum,Neurotoxicity Syndromes,We have investigated the effect of MPTP neurotoxicity and subsequent adrenal medullary grafts into the striatum of young (2-3 months) and aging (12 months) mice.,1990 Mar
Rostrotemporal auditory area,Idiopathic pneumonia syndrome,Taken together our results suggest that figure-ground discrimination is associated with Rt and that SP/IPS may be a main source of inhibitory control.,2012 Oct 1
BRAIN HIPPOCAMPUS,Sturge-Weber Syndrome,DPAT or 5-HT injections decreased the duration of electrographically-determined waking increased the durations of D and induced the emergence of SWS and REMS states indistinguishable from the hippocampal EEG associated with spontaneous sleep as judged from visual and spectral analysis.,2013 Jan 1
Anterodorsal nucleus of thalamus,Depressive disorder,In HABs chronic treatment with the AD fluoxetine alleviated their higher depression-like behavior and protected them from relapse for 3 but not 7 weeks after discontinuation of the treatment without affecting neurogenesis.,2012 Oct 16
Gyrus Cinguli,Ataxia as late effect of cerebrovascular disease,Pre-mutation CGG repeat expansions (55-200 CGG repeats
Left superior longitudinal fasciculus,Panic Disorder,Results:                    First-episode medication-naïve and late-onset panic disorder patients had altered integrity in WM tracts of right inferior fronto-occipital fasculi left body of corpus callosum and left superior longitudinal fasciculus when compared to controls (corrected p&lt
Caudate nucleus structure,Hamartoma Syndrome Multiple,These findings suggest that prenatal developmental insults at the time of peak cortical neurogenesis can induce anatomical abnormalities associated with severe impairment of spatial working memory in adult BCNU-treated rats and may help to clarify the pathophysiological mechanisms of cognitive dysfunction that is often associated with epilepsy in patients with CD.,2013 Jan
Substantia Nigra Pars Reticulata,Hamartoma Syndrome Multiple,Cervical dystonia (CD
Cerebral hemisphere structure (body structure),Alzheimer's Disease,Because cerebral deposition of Aβ species might be critical for the pathogenesis of Alzheimer disease BACE1 has emerged as a key target for the treatment of this disease.,2012 Nov 30
Basal Forebrain,Parkinson Disease,Neurodegenerative diseases such as Parkinson's disease (PD) dementia with Lewy bodies (DLB) and Alzheimer's disease (AD) involve loss of cholinergic neurons in the basal forebrain.,2019 Aug 21
BRAIN HIPPOCAMPUS,cortex bone disorders,The NVU in the hippocampus and cortex receives innervation from cholinergic neurons that originate in the basal forebrain.,2019 Jul 4
Thalamic structure,Shy-Drager Syndrome,NODDI (using multi-shell
Thalamic structure,Parkinsonian Disorders,There was elevated Viso in posterior substantia nigra across Parkinsonisms and Viso Vic and ODI were altered in MSAp and PSP in the striatum globus pallidus midbrain thalamus cerebellum and corpus callosum relative to controls.,2019 Dec 1
Hypothalamic structure,Pituitary Diseases,In addition to determining the LH concentration (in both experiments) the abundances of gonadotropin-releasing hormone (GnRH) and kisspeptin mRNA were examined in the hypothalamus and LHβ subunit mRNA in the pituitary (Experiment 1).,2019 Sep
Structure of gyrus ambiens,Mild cognitive disorder,&gt
Genus Hippocampus,cortex bone disorders,After that expression of Gal-3 in cortex and thalamus area downregulated the expression in corpus callosum and hippocampus area vanished.,2019 Oct 15
Structure of middle temporal gyrus,Mesulam Syndrome,All PPA groups showed decreased connectivity between IFG and MTG.,2019 Dec
Structure of middle temporal gyrus,Mesulam Syndrome,Three core regions of the left perisylvian language network: the inferior frontal gyrus (IFG) middle temporal gyrus (MTG) and anterior temporal lobe (ATL) were evaluated in agrammatic (PPA-G) logopenic (PPA-L) and semantic (PPA-S) PPA variants.,2019 Dec
Perforant Pathway,Functional disorder,To elucidate the molecular mechanisms underlying the dysfunction of these synapses we performed an explorative proteomic study of the dentate terminal zone of the perforant path.,2020 Jan
Prosencephalon,Functional disorder,TIP60-deficiency in the adult forebrain leads within days to extensive transcriptional dysfunction characterized by the presence of a neurodegeneration-related signature in CA1.,2019 Nov 7
Anterodorsal nucleus of thalamus,Alzheimer's Disease,It could also prevent apoptosis in 3×Tg-AD primary neuronal cell and have protective effects on neuron synapse.,2018 Jun 1
Genus Hippocampus,Alzheimer's Disease,In the hippocampus of AD mouse model there could be observed neuronal apoptosis as well as an increase in Aβ (amyloid-β) production.,2018 Jun 1
Bundle Predorsal,Parkinson Disease,Importance:                    Aggregated α-synuclein is believed to be central to the pathogenesis of Parkinson disease (PD).,2018 Oct 1
Pituitary Gland,Pituitary Diseases,Polycystic ovarian syndrome (PCOS) the most common endocrine disorder of women in reproductive age is typical with hyperandrogenism and disturbance of the hypothalamus-pituitary-ovary (HPO) axis i.e. abnormal expression of hypothalamic gonadotropin-releasing hormone (GnRH) followed by the elevated ratio of serum luteinizing hormone (LH) level to follicle-stimulating hormone (FSH) level.,2018 Nov
Pituitary Gland,Polycystic Ovary Syndrome,Polycystic ovarian syndrome (PCOS) the most common endocrine disorder of women in reproductive age is typical with hyperandrogenism and disturbance of the hypothalamus-pituitary-ovary (HPO) axis i.e. abnormal expression of hypothalamic gonadotropin-releasing hormone (GnRH) followed by the elevated ratio of serum luteinizing hormone (LH) level to follicle-stimulating hormone (FSH) level.,2018 Nov
Interpeduncular nucleus,Syndrome Bloch-Sulzberger,2 h IP).,2018 Dec
Neostriatum,cortex bone disorders,Our data indicate that loss of CDKL5 in excitatory neurons of the cortex or inhibitory neurons of the striatum differentially alters expression of some components of the mechanistic target of rapamycin (mTOR) signaling pathway.,2019 Jun
Limbic System,Alzheimer's Disease,Background:                    There are several cortical areas related to the limbic system that form the output from the hippocampal formation whose cellular and morphological features are important for the onset and progression of AD.,2018
Parietal Lobe,Alzheimer's Disease,To test this hypothesis we assessed HA accumulation and size
Midbrain structure,Recurrent disease,These data show that although accumbens D1-MSNs largely collateralize to both the ventral pallidum and ventral mesencephalon only D1-MSN innervation of the ventral pallidum is necessary for cue-induced cocaine seeking.&gt
Pituitary Gland Posterior,Pituitary Diseases,PrRP2-ir fibers were restricted around PrRP2-ir cell bodies and were not detected in the dorsal wall of the neurohypophysis compared to the abundant PrRP2-ir fiber distribution in the brain and innervation to the pituitary in other vertebrates.,2019 Apr 1
Structure of subiculum hippocampi,Bloom Syndrome,There are two functional types of principle neurons within the subiculum: regular spiking (RS) and burst spiking (BS) neurons.,2019 Jan 4
Cerebellum,Autism Spectrum Disorders,These results show for the first time that hyperexcitability and hyperplasticity disrupt signal transfer in the granular layer of IB2 KO mice supporting cerebellar involvement in the pathogenesis of ASD.&gt
Pars Compacta,Parkinsonian Disorders,Recent data showed that rats induced to Parkinsonism by 6-hydroxydopamine (6-OHDA) administration in the substantia nigra pars compacta (SNpc) showed lower mean arterial pressure (MAP) and heart rate (HR) as reduction in sympathetic modulation.,2019 Jul
