"brainregion","protein","count"
"Orbitofrontal cortex","Serotonin","26"
"Corpus striatum structure","Caspase-3","26"
"Thalamic structure","Calcium","26"
"Nucleus solitarius","Immune Sera","26"
"Prefrontal Cortex","myelination","26"
"Cerebellar cortex structure","Proteins","26"
"Genus Hippocampus","Calbindins","26"
"Cerebral Peduncle","Receptor","26"
"CA1 field","Presynaptic Density Protein 95","26"
"Structure of anterior hypothalamic nucleus","Gonadorelin","26"
"Cerebral cortex","Neurotensin","26"
"Preoptic Areas","Galanin","26"
"Corpus striatum structure","NADP","26"
"Corpus striatum structure","Glutathione","26"
"Hypothalamic Area, Lateral","Corticotropin-Releasing Hormone","26"
"Hypothalamic structure","Pituitary Adenylate Cyclase Activating Polypeptide","26"
"Cerebral cortex","Gamma-Enolase","26"
"BRAIN, HIPPOCAMPUS","Sincalide","26"
"Preoptic Areas","Tyrosine 3-Monooxygenase","26"
"Globus Pallidus","Proteins","26"
"BRAIN, HIPPOCAMPUS","Corticotropin","26"
"CA1 field","Nitric Oxide Synthase","26"
"Cerebellum","Glutaminase","26"
"Cerebellum","Adenosine Triphosphatases","26"
"CA3 field","APP protein, human","26"
"Central insular sulcus","Proteins","26"
"BRAIN, HIPPOCAMPUS","Proteome","26"
"Cerebral cortex","ASCL1 protein, human","26"
"BRAIN, HIPPOCAMPUS","Phospholipase C","26"
"Cortex, Primary Motor","Microtubule-Associated Proteins","26"
"BRAIN, HIPPOCAMPUS","Adenylyl Cyclase 9","26"
"Midbrain structure","Neuropeptides","26"
"Pineal gland","Y, Neuropeptide","26"
"Nucleus Accumbens","Transporter, Dopamine","26"
"Structure of locus ceruleus","Antibodies","26"
"Neocortex","Brain-Derived Neurotrophic Factor","26"
"Structure of locus ceruleus","Horseradish Peroxidase","26"
"Dorsal Nucleus Raphe","Galanin","26"
"BRAIN, HIPPOCAMPUS","Alanine","26"
"Pituitary Gland","Proteins","26"
"Basal Forebrain","Gonadorelin","26"
"Hypothalamic structure","Melanocortins","26"
"Structure of paraventricular nucleus","Proto-Oncogene Proteins c-fos","26"
"Genus Hippocampus","Calbindin 1","26"
"Cerebral hemisphere structure (body structure)","Glial Fibrillary Acidic Protein","26"
"Primary Auditory Cortex","Microtubule-Associated Proteins","26"
"Genus Hippocampus","Interleukin-1","25"
"Neocortex","Acetylcholinesterase","25"
"Nucleus Raphe Obscurus","Serotonin","25"
"Cerebellum","Amyloid beta-Protein Precursor","25"
"Structure of subiculum hippocampi","Parvalbumins","25"
"Ventral Tegmental Area","Luteinizing Hormone","25"
"Neocortex","Enzymes","25"
"Thalamic structure","Transcobalamin","25"
"Structure of olfactory bulb","Receptors, Odorant","25"
"Cerebellum","Calbindin 1","25"
"Hypothalamic structure","angiogenin","25"
"Inferior Colliculus","Microtubule-Associated Proteins","25"
"Prosencephalon","INSR protein, human","25"
"Genus Hippocampus","Neuregulin 1","25"
"Neostriatum","NADP","25"
"Corpus striatum structure","Enkephalin, Methionine","25"
"Set of basolateral nuclei of amygdala","Proto-Oncogene Proteins c-fos","25"
"CA1 field","Muscarinic Acetylcholine Receptor","25"
"Purkinje Cells","Peptides","25"
"Structure of dentate gyrus","Calretinin","25"
"BRAIN, HIPPOCAMPUS","Histone Deacetylase 2","25"
"Pituitary Gland, Posterior","Peptides","25"
"BRAIN, HIPPOCAMPUS","Fractalkine","25"
"Structure of nucleus gracilis","Cell Adhesion Molecules","25"
"Substantia nigra structure","Peptides","25"
"Cerebral cortex","Laminin","25"
"Hypothalamic Area, Lateral","Dynorphins","25"
"Ventral Tegmental Area","INSR protein, human","25"
"BRAIN, HIPPOCAMPUS","Matrix Metalloproteinases","25"
"BRAIN, HIPPOCAMPUS","Opioid Receptor","25"
"Pituitary Gland","Glucocorticoid Receptor","25"
"Neostriatum","Glutathione","25"
"Lateral habenular nucleus","Receptor","25"
"Substantia nigra structure","N-Methylaspartate","25"
"Superior colliculus of corpora quadrigemina","Choline O-Acetyltransferase","25"
"Interpeduncular nucleus","Phospholipase C","25"
"CA2 field","Genes","25"
"Midbrain structure","Leptin","25"
"Inferior Colliculus","N-Methylaspartate","25"
"BRAIN, HIPPOCAMPUS","Kinesin","25"
"Hypothalamic structure","AMP-Activated Protein Kinases","25"
"CA2 field","Calcineurin","25"
"Structure of paraventricular nucleus","Vasopressin (USP)","25"
"Structure of supraoptic nucleus","INSR protein, human","25"
"Preoptic Areas","Serotonin","25"
"Genus Hippocampus","SH2D3C Gene","25"
"Structure of paraventricular nucleus of thalamus","Cholecystokinin","25"
"Pretectal region","Retinaldehyde","25"
"Neostriatum","Interleukin-6","25"
"Ventral Tegmental Area","Glucose","25"
"Neostriatum","Horseradish Peroxidase","25"
"Linear nucleus","Thyrotropin-Releasing Hormone","25"
"Temporal Lobe","APP protein, human","25"
"Pyramidal Cells","Protein Kinase C","25"
"Entire medulla oblongata","Horseradish Peroxidase","25"
"Brain Stem","5-Hydroxytryptamine Receptor 1A, human","25"
"Purkinje Cells","Glutamate Decarboxylase","25"
"Medulla Oblongata","Protein Subunits","25"
"Cerebral hemisphere structure (body structure)","Insulin","25"
"Corpus striatum structure","Protein Isoforms","25"
"Prefrontal Cortex","Dopamine Receptor","25"
"BRAIN, HIPPOCAMPUS","Stress-Activated Protein Kinase 1","25"
"Midbrain structure","Nerve Growth Factors","25"
"Cerebellum","DNA, Complementary","25"
"Pituitary Gland","Thyrotropin-Releasing Hormone","25"
"Structure of nucleus gracilis","Phosphotransferases","25"
"BRAIN, HIPPOCAMPUS","Methionine","25"
"Amygdaloid structure","Argipressin","25"
"CA1 field","Receptor 5, Metabotropic Glutamate","25"
"BRAIN, HIPPOCAMPUS","Plasmids","25"
"Thalamic structure","Substance P","25"
"Midbrain structure","Dopamine D2 Receptor","25"
"Structure of nucleus gracilis","Calmodulin 1","25"
"Genus Hippocampus","prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase), human","25"
"Pontine structure","Receptor","25"
"Pars nervosa of hypophysis","Vasopressin (USP)","25"
"BRAIN, HIPPOCAMPUS","Androgen Receptor","25"
"Neostriatum","Phosphotransferases","25"
"Hindbrain","Glucagon-Like Peptide 1","25"
"Medial Septal Nucleus","Myelin","24"
"Corpus striatum structure","Phosphotransferases","24"
"Neocortex","Choline O-Acetyltransferase","24"
"Cerebellum","Glycosylation End Products, Advanced","24"
"central amygdalar nucleus","HCRT Gene","24"
"Pars Compacta","neuromelanin","24"
"Structure of rubrospinal tract","PODXL protein, human","24"
"Midbrain structure","Green Fluorescent Proteins","24"
"Neostriatum","Glutamate Receptor","24"
"Pontine nuclei","Horseradish Peroxidase","24"
"BRAIN, HIPPOCAMPUS","Galantamine","24"
"Medial Septal Nucleus","Parvalbumins","24"
"Structure of suprachiasmatic nucleus","Somatostatin","24"
"Brain Stem","Glucagon-Like Peptide 1","24"
"Structure of locus ceruleus","Somatostatin","24"
"Medulla Oblongata","Nitric Oxide Synthase","24"
"Brain Stem","Somatostatin","24"
"Pars nervosa of hypophysis","Oxytocin","24"
"Substantia nigra structure","Caspase-3","24"
"Cerebral cortex","Taurine","24"
"BRAIN, HIPPOCAMPUS","Tetanus Toxin","24"
"Marginal Sulcus","Parvalbumins","24"
"Nucleus solitarius","Angiotensin II","24"
"Ventral Tegmental Area","Green Fluorescent Proteins","24"
"Ventral Tegmental Area","Insulin","24"
"BRAIN, HIPPOCAMPUS","CDK5 protein, human","24"
"Corpus striatum structure","Aromatic-L-Amino-Acid Decarboxylases","24"
"Substantia nigra structure","Autoreceptors","24"
"Motor Cortex","Microtubule-Associated Proteins","24"
"BRAIN, HIPPOCAMPUS","Minocycline","24"
"Cerebellum","Dystrophin","24"
"Thalamic structure","Choline O-Acetyltransferase","24"
"Cerebral cortex","Adenosine Triphosphatases","24"
"Hypothalamic Area, Lateral","HCRT wt Allele","24"
"CA1 field","Calbindin 1","24"
"Marginal Sulcus","Myelin","24"
"Genus Hippocampus","Aromatase","24"
"Cerebral cortex","TM4SF1 protein, human","24"
"Hypothalamic structure","Gonadotropins","24"
"Neostriatum","Caspase-3","24"
"Ventral Lateral Thalamic Nucleus","PAG protein, human","24"
"Corpus striatum structure","Factor, Transcription","24"
"Inferior Colliculus","Chloramphenicol O-Acetyltransferase","24"
"Amygdaloid structure","HCRT Gene","24"
"Cerebellum","Amyloid Proteins","24"
"Structure of paraventricular nucleus","Argipressin","24"
"Genus Hippocampus","Argipressin","24"
"Hypothalamic structure","Factor, Transcription","24"
"Corpus striatum structure","Glutamate Receptor","24"
"CA1 field","Receptors, Opioid, delta","24"
"Genus Hippocampus","Human Leukocyte Interferon","24"
"BRAIN, HIPPOCAMPUS","Arginine","24"
"BRAIN, HIPPOCAMPUS","Thrombin","24"
"Prosencephalon","Neural Cell Adhesion Molecules","24"
"Substantia nigra structure","Cholecystokinin","24"
"Genus Hippocampus","Immune Sera","24"
"Medial Dorsal Nucleus","Microtubule-Associated Proteins","24"
"CA3 field","Amyloid beta-Protein Precursor","24"
"Brodmann area 18","Microtubule-Associated Proteins","24"
"Genus Hippocampus","Protein Kinases","24"
"Structure of medial preoptic nucleus","Proto-Oncogene Proteins c-fos","24"
"Globus Pallidus","Choline O-Acetyltransferase","24"
"Cerebral cortex","Receptor, Cannabinoid, CB1","24"
"Cerebral cortex","Serine","24"
"BRAIN, HIPPOCAMPUS","Tyrosine","24"
"Pituitary Gland","Serotonin","24"
"Cerebral cortex","Calmodulin 1","24"
"Neostriatum","Factor, Transcription","24"
"Cerebral cortex","AMP-Activated Protein Kinases","24"
"Hypothalamic structure","Atrial Natriuretic Factor","24"
"BRAIN, HIPPOCAMPUS","Reduced Glutathione","24"
"BRAIN, HIPPOCAMPUS","Ribosomal Protein S6 Kinases, 70-kDa","24"
"Thalamic structure","Corticotropin-Releasing Hormone","24"
"Genus Hippocampus","Deoxyuridine","24"
"Anterodorsal nucleus of thalamus","Presenilin-1","24"
"BRAIN, HIPPOCAMPUS","Human Growth Hormone","24"
"BRAIN, HIPPOCAMPUS","Substance P","24"
"Pituitary Gland","Galanin","24"
"Genus Hippocampus","Adenosine Triphosphatases","24"
"Cerebral hemisphere structure (body structure)","Tumor Necrosis Factor-alpha","24"
"Cerebral cortex","Cathepsin L","24"
"Cerebral cortex","Undecaprenyl-phosphate galactose-phosphotransferase","24"
"Globus Pallidus","Enkephalins","24"
"Linear nucleus","Galanin","23"
"Temporal Lobe","Amyloid","23"
"Genus Hippocampus","Caffeine","23"
"CA3 field","Proto-Oncogene Proteins c-fos","23"
"Genus Hippocampus","HCRT Gene","23"
"Pyramidal Cells","Glucose","23"
"Hypothalamic structure","Immunoglobulins","23"
"Structure of nucleus gracilis","Glucocorticoid Receptor","23"
"Cochlear nucleus structure","Horseradish Peroxidase","23"
"BRAIN, HIPPOCAMPUS","Ribosomal Protein S6 Kinase Beta-1","23"
"Oculomotor nucleus","Horseradish Peroxidase","23"
"Caudate nucleus structure","Tyrosine 3-Monooxygenase","23"
"Temporal Lobe","Amyloid Proteins","23"
"Ventral Tegmental Area","Calcium","23"
"Substantia Nigra Pars Reticulata","Receptor","23"
"BRAIN, HIPPOCAMPUS","Albumins","23"
"Genus Hippocampus","Matrix Metalloproteinase 9","23"
"Neostriatum","Aromatic-L-Amino-Acid Decarboxylases","23"
"Prefrontal Cortex","Calcium","23"
"Lateral habenular nucleus","Proto-Oncogene Proteins c-fos","23"
"Caudate nucleus structure","Serotonin","23"
"Corpus striatum structure","APP protein, human","23"
"Cerebral cortex","Ghrelin","23"
"Caudate nucleus structure","Receptor","23"
"Midbrain structure","Chloramphenicol O-Acetyltransferase","23"
"Metencephalon","Proteins","23"
"Substantia nigra structure","Fibroblast Growth Factor 2","23"
"Nucleus solitarius","Enkephalins","23"
"Neocortex","Amyloid Proteins","23"
"Cortex, Primary Motor","Genes","23"
"Ventral Tegmental Area","Peptides","23"
"Cerebral cortex","Fibronectins","23"
"Cerebral cortex","Presynaptic Density Protein 95","23"
"BRAIN, HIPPOCAMPUS","FOSB protein, human","23"
"Corpus striatum structure","Extracellular Signal Regulated Kinases","23"
"CA2 field","Receptor, Inositol-1,4,5-triphosphate","23"
"BRAIN, HIPPOCAMPUS","NADPH Oxidase","23"
"Structure of olfactory bulb","Proteins","23"
"Dorsal Nucleus Raphe","HCRT protein, human","23"
"Neostriatum","NADPH Dehydrogenase","23"
"Corpus striatum structure","Protein Tyrosine Phosphatase","23"
"Structure of nucleus prepositus","Antibodies","23"
"Caudate nucleus structure","Chloramphenicol O-Acetyltransferase","23"
"Substantia nigra structure","Immunoglobulins","23"
"Inferior Colliculus","Serotonin","23"
"Genus Hippocampus","Dopamine D1 Receptor","23"
"Cerebral cortex","Congenital secretory diarrhea, sodium type (disorder)","23"
"Cerebellum","Amyloid","23"
"Purkinje Cells","Brain-Derived Neurotrophic Factor","23"
"Gonadotrophs","Luteinizing Hormone","23"
"Cerebral hemisphere structure (body structure)","Tumor Necrosis Factors","23"
"Genus Hippocampus","Glycogen Synthase Kinase 3","23"
"Prefrontal Cortex","Cholecystokinin","23"
"Genus Hippocampus","Cytochromes c","23"
"Neostriatum","Opioid Receptor","23"
"Genus Hippocampus","Receptor, Cannabinoid, CB1","23"
"Linear nucleus","Vasoactive Intestinal Peptide","23"
"Tuberomammillary Nucleus","orexins","23"
"Cerebral cortex","Interferons","23"
"Vestibular nucleus structure","Receptor","23"
"Cerebral hemisphere structure (body structure)","VEGF protein, human","23"
"Structure of trigeminal nerve spinal tract nucleus","Poly ADP Ribose Polymerase","23"
"Hindbrain","Calcium","23"
"Cerebral cortex","S100 calcium binding protein A10","23"
"CA3 field","Glutamate Receptor","23"
"Pyramidal Cells","Glycosylation End Products, Advanced","23"
"Genus Hippocampus","Vasoactive Intestinal Peptide","23"
"Occipital lobe","myelination","23"
"Midbrain structure","Calcium","23"
"Purkinje Cells","Tumor Necrosis Factor-alpha","23"
"Gigantocellular nucleus","HCRT Gene","23"
"mossy fiber","Calcium","23"
"Corpus Callosum","Genes","23"
"BRAIN, HIPPOCAMPUS","Presenilins","23"
"Structure of nucleus infundibularis hypothalami","Green Fluorescent Proteins","23"
"central amygdalar nucleus","Carcinoembryonic Antigen","23"
"Structure of nucleus infundibularis hypothalami","Estrogen Receptors","23"
"Substantia nigra structure","Horseradish Peroxidase","23"
"Cerebral hemisphere structure (body structure)","Nerve Growth Factors","23"
"BRAIN, HIPPOCAMPUS","Epidermal Growth Factor","23"
"Nucleus Accumbens","Brain-Derived Neurotrophic Factor","23"
"Corpus striatum structure","Monoamine Oxidase","23"
"Neostriatum","Protein Tyrosine Phosphatase","23"
"BRAIN, HIPPOCAMPUS","Specific antibody","23"
"Hypothalamic structure","Poly ADP Ribose Polymerase","23"
"Cerebral cortex","IRF6 wt Allele","23"
"Hypothalamic structure","Calcium","23"
"Tuberomammillary Nucleus","Histidine Decarboxylase","23"
"CA1 field","Immunoglobulins","23"
"Cerebellum","Alteplase","23"
"Anterodorsal nucleus of thalamus","Granulocyte-Macrophage Colony-Stimulating Factor","23"
"Neostriatum","NOS2A protein, human","23"
"Hypothalamic structure","alpha-Melanocyte stimulating hormone","23"
"Gonadotrophs","Gonadotropins","23"
"Nucleus Accumbens","Dopa","22"
"Cortex, Primary Motor","Receptor","22"
"Purkinje Cells","Tumor Necrosis Factors","22"
"Hypothalamic Area, Lateral","Ghrelin","22"
"BRAIN, HIPPOCAMPUS","Cyclin D1","22"
"Cortex, Primary Motor","Parvalbumins","22"
"Cerebellum","Cell Adhesion Molecules","22"
"CA2 field","Protein Isoforms","22"
"Cerebellum","Somatostatin","22"
"Cerebral cortex","G-Protein-Coupled Receptors","22"
"Cerebellar cortex structure","Protein Subunits","22"
"Pyramidal Cells","Muscarinic Acetylcholine Receptor","22"
"Hypothalamic Area, Lateral","Pro-Opiomelanocortin","22"
"Ventral Posterior Nucleus","SILV protein, human","22"
"Cerebellum","Prions","22"
"Corpus striatum structure","Opioid Receptor","22"
"Prosencephalon","Fibroblast Growth Factor 2","22"
"Genus Hippocampus","interleukin-4, human","22"
"Cerebral cortex","Prions","22"
"Brain Stem","Phenylethanolamine N-Methyltransferase","22"
"Genus Hippocampus","Calpain","22"
"BRAIN, HIPPOCAMPUS","Tropomyosin","22"
"Gigantocellular nucleus","orexins","22"
"Nucleus, Principal Pretectal","Coenzyme I","22"
"Pars Compacta","Brain-Derived Neurotrophic Factor","22"
"Peripeduncular nucleus","Purified Protein Derivative of Tuberculin","22"
"BRAIN, HIPPOCAMPUS","MSC protein, human","22"
"Substantia innominata","Arginine Vasopressin-Neurophysin II Preproprotein","22"
"Neostriatum","APP protein, human","22"
"Neocortex","Vasoactive Intestinal Peptide","22"
"Genus Hippocampus","Horseradish Peroxidase","22"
"Entire medulla oblongata","Peptides","22"
"Median preoptic nucleus","angiogenin","22"
"Cerebral cortex","Fibroblast Growth Factor","22"
"Cerebral cortex","Appetite-Regulating Hormone","22"
"Brain Stem","angiogenin","22"
"Hypothalamic structure","Dopamine-beta-monooxygenase","22"
"Basal Forebrain","Antibodies","22"
"Hypothalamic Area, Lateral","Serotonin","22"
"Cerebral cortex","Receptor, Cannabinoid","22"
"Structure of dentate gyrus","Amyloid beta-Protein Precursor","22"
"Pyramidal Cells","TM4SF1 protein, human","22"
"Cerebellum","Tumor Necrosis Factors","22"
"BRAIN, HIPPOCAMPUS","NF-E2-Related Factor 2","22"
"Basal Nucleus of Meynert","Cyclic AMP-Responsive DNA-Binding Protein","22"
"Entire substantia nigra","Tyrosine 3-Monooxygenase","22"
"Cerebral cortex","Transforming Growth Factors","22"
"Brain Stem","Glycine Receptors","22"
"Midbrain structure","Dopa","22"
"Cerebellum","Adrenergic Receptor","22"
"Neostriatum","Extracellular Signal Regulated Kinases","22"
"Tectum Mesencephali","Horseradish Peroxidase","22"
"CA1 field","Cytokine","22"
"Cerebellum","Calcium-Binding Proteins","22"
"Cerebellum","Membrane Transport Proteins","22"
"BRAIN, HIPPOCAMPUS","Cyclin-Dependent Kinase 5","22"
"Peripeduncular nucleus","Protein Argonaute-2","22"
"BRAIN, HIPPOCAMPUS","Histone Deacetylase","22"
"Gigantocellular nucleus","HCRT protein, human","22"
"BRAIN, HIPPOCAMPUS","Somatomedins","22"
"Amygdaloid structure","Antibodies","22"
"CA1 field","Dickkopf-Related Protein 1","22"
"Structure of rubrospinal tract","GABA Receptor","22"
"Red nucleus structure","Horseradish Peroxidase","22"
"Cerebral cortex","Erythropoietin","22"
"Genus Hippocampus","Dopamine D2 Receptor","22"
"BRAIN, HIPPOCAMPUS","Glutamic Acid","22"
"Pyramidal Cells","Glial Fibrillary Acidic Protein","22"
"Nucleus solitarius","Nitric Oxide Synthase Type I","22"
"Cerebral cortex","Glutamine","22"
"Cerebellum","metabotropic glutamate receptor type 1","22"
"Pyramidal Cells","S100 calcium binding protein A10","22"
"Structure of dentate gyrus","Antibodies","22"
"BRAIN, HIPPOCAMPUS","Vasopressin (USP)","22"
"Corpus striatum structure","NOS2A protein, human","22"
"Cerebral cortex","NADPH Dehydrogenase","22"
"Corpus striatum structure","Mixed Function Oxygenases","22"
"Nucleus Accumbens","Choline O-Acetyltransferase","22"
"Amygdaloid structure","Choline O-Acetyltransferase","22"
"Structure of paraventricular nucleus of thalamus","Y, Neuropeptide","22"
"Pituitary Gland","Pituitary Hormones, Anterior","22"
