brainregion,disease,mentalprocess
Structure of forceps minor,Saethre-Chotzen Syndrome,
Structure of capsule of red nucleus,Neurotoxicity Syndromes,
Nucleus of anterior commissure,Depressive disorder,
Structure of terminal stria nuclei of preoptic region,Recurrent disease,
CA1 field,Marfan Syndrome,
Structure of angular gyrus,Van der Woude syndrome,
Edinger Westphal nucleus,Alzheimer's Disease,
Triangular Septal Nucleus,Depressive disorder,
Corpus Callosum,"Hamartoma Syndrome, Multiple",
Acoustic nerve,Auditory neuropathy spectrum disorder,
Structure of entorhinal cortex,Neurodegenerative Disorders,
Lateral habenular nucleus,Drug withdrawal syndrome,
CA2 field,Huntington Disease,
Prefrontal Cortex,Shared Paranoid Disorder,
Thalamic structure,Lewy Body Disease,
Entire thalamic reticular nucleus,Attention Deficit Disorder,
Thalamic Nuclei,Parkinson Disease,
"BRAIN, HIPPOCAMPUS",Jet Lag Syndrome,
"Lobe, Frontal",Rett Syndrome,
Cerebellum,Werner Syndrome,
Prosencephalon,Major Depressive Disorder,
Purkinje Cells,Camurati-Engelmann Syndrome,
Prosencephalon,Down Syndrome,
Parafascicular Thalamic Nucleus,cortex bone disorders,
Entire entorhinal cortex,Alzheimer's Disease,
Genus Hippocampus,"Congenital secretory diarrhea, sodium type (disorder)",
Pars Compacta,"Hamartoma Syndrome, Multiple",
Ependyma,Disorder of pineal gland,
Nucleus fastigii,Spinal Cord Diseases,
Cerebral cortex,Complex Regional Pain Syndromes,
"Lobe, Frontal",Moyamoya Disease,
Dentatothalamic tract,Clinically isolated syndrome,
Cerebral hemisphere structure (body structure),Gerstmann-Straussler-Scheinker Disease,
Insula of Reil,Spinal Cord Diseases,
Inferior frontal gyrus,Autism Spectrum Disorders,
Cerebellum,Degenerative brain disorder,
Internal capsule of brain,Obsessive-Compulsive Disorder,
Cerebellum,TRAPS - TNF receptor-associated periodic fever syndrome,
Paraflocculus,Migraine Disorders,
"BRAIN, HIPPOCAMPUS",Drug effect disorder,
Structure of central sulcus,Obsessive-Compulsive Disorder,
Cerebellum,Mohr-Tranebjaerg syndrome,
Entire lateral corticospinal tract,Spinal Cord Diseases,
Reticular activating system,cortex bone disorders,
Cerebral cortex,Cyclical vomiting syndrome (disorder),
Lateral Dorsal Nucleus,Van der Woude syndrome,
Ventral Striatum,Parkinson Disease,
Lateral paragigantocellular nucleus,Shy-Drager Syndrome,
Marginal Sulcus,"Syndrome, Bloch-Sulzberger",
Temporal Lobe,Pervasive Development Disorder,
Ventral Tegmental Area,Neurodegenerative Disorders,
Dorsal Septal Nucleus,Recurrent disease,
Structure of supracallosal gyrus,Langer-Giedion Syndrome,
Ventral Posterior Nucleus,Spinal Cord Diseases,
Structure of rubrospinal tract,Restless Legs Syndrome,
Nucleus of Ansa Lenticularis,Neurotoxicity Syndromes,
Olfactory gyrus,Renal glomerular disease,
Cerebellum,Mood Disorders,
Cerebral hemisphere structure (body structure),Psychotic Disorders,
Corpus Callosum,Parkinson Disease,
Cerebral cortex,Marfan Syndrome,
Corpus striatum structure,Virus Diseases,
Structure of superior longitudinal fasciculus,Alzheimer's Disease,
Caudal pontine reticular nucleus,Depressive disorder,
Ventral Lateral Thalamic Nucleus,Parkinson Disease,
Structure of angular gyrus,Disorder nervous system,
Structure of thalamic reticular nucleus,Idiopathic pneumonia syndrome,
Ventral Tegmental Area,Rabies (disorder),
Structure of area postrema,Hypertensive disease,
Entire precuneus,Mild cognitive disorder,
Inferior olivary nucleus,Cerebellar Diseases,
"Complex, Superior Olivary",Pervasive Development Disorder,
Genus Hippocampus,Stiff-Person Syndrome,
Brain White Matter,Depressive disorder,
Structure of superior longitudinal fasciculus,Chronic Fatigue Syndrome,
Left inferior frontal gyrus,Autism Spectrum Disorders,
Hypothalamic structure,Major Depressive Disorder,
Structure of mammillotegmental tract of hypothalamus,Alzheimer's Disease,
Orbitofrontal cortex,Major Depressive Disorder,
Nucleus solitarius,Alzheimer's Disease,
Type 1 vestibular sensory cell,Diseases of inner ear,
Anterior Nuclear Group,Down Syndrome,
Nucleus solitarius,Sensitization (disorder),
Structure of subiculum hippocampi,Spinal Cord Diseases,
Mammillary body structure,Wernicke-Korsakoff Syndrome,
Cerebellum,Lens Diseases,
Planum polare (PP),Neurodegenerative Disorders,
Linear nucleus,Autism Spectrum Disorders,
Pontine nuclei,Disorder nervous system,
"BRAIN, HIPPOCAMPUS",Prediabetes syndrome,
CA1 field,Iodine deficiency syndrome,
Structure of paraventricular nucleus,Mitral Valve Prolapse Syndrome,
Cerebral cortex,Renal tubular disorder,
Cerebellar cortex structure,Williams Syndrome,
Marginal Sulcus,Huntington Disease,
Olfactory Nerve,DISORDERS OF THE OPTIC NERVE,
Mammillary body structure,Alzheimer's Disease,
Structure of nucleus gracilis,Parkinson Disease,
CA3 field,Sweet Syndrome,
Neostriatum,Degenerative disorder,
Lateral paragigantocellular nucleus,Substance Withdrawal Syndrome,
Thalamic structure,Marfan Syndrome,
Purkinje Cells,Mucocutaneous Lymph Node Syndrome,
Thalamic Nuclei,Migraine Disorders,
Brain Stem,Hereditary Diseases,
"Bundle, Predorsal",motor disorder,
Cerebral cortex,motor disorder,
Prefrontal Cortex,"Syndrome, Bloch-Sulzberger",
Inferior parietal lobule,Pervasive Development Disorder,
Genus Hippocampus,Diseases of inner ear,
Neostriatum,Communicable Diseases,
Neostriatum,Mucocutaneous Lymph Node Syndrome,
Basal Forebrain,Timothy syndrome,
Pineal gland,Parkinson Disease,
Habenula,Pituitary Diseases,
Linear nucleus,"Hamartoma Syndrome, Multiple",
Structure of locus ceruleus,Pervasive Development Disorder,
Structure of nucleus infundibularis hypothalami,"Hypertrophic disorder of skin, unspecified",
Stria Vascularis,Functional disorder,
Inferior olivary nucleus,Alzheimer's Disease,
Cerebral hemisphere structure (body structure),Communicable Diseases,
Nucleus Accumbens,Acute infectious disease,
Basal Ganglia,Antiphospholipid Syndrome,
Area striata structure,Leigh Disease,
Corpus striatum structure,Mucocutaneous Lymph Node Syndrome,
Structure of spinothalamic tract of pons,cortex bone disorders,
Median eminence of hypothalamus,Liver diseases,
Triangular Septal Nucleus,Spinal Cord Diseases,
Cerebral cortex,Immunologic Deficiency Syndromes,
Substantia nigra structure,Communicable Diseases,
Hypothalamic structure,Klinefelter Syndrome,
Pituitary Gland,Neurodegenerative Disorders,
Brain Stem,Rabies (disorder),
Tuberomammillary Nucleus,Lesch-Nyhan Syndrome,
Gigantocellular nucleus,Neurodevelopmental disorder,
Central gray substance of midbrain,Rabies (disorder),
Prefrontal Cortex,Shy-Drager Syndrome,
"Hypothalamic Area, Lateral",Rabies (disorder),
Genus Hippocampus,Dysequilibrium syndrome,
Superior colliculus of corpora quadrigemina,Functional disorder,
Cerebral cortex,Developmental reading disorder,
Anterior lobe of cerebellum,Spinal Cord Diseases,
Midbrain structure,Syndrome,
Planum polare (PP),Hashimoto Disease,
Pyramidal Cells,Migraine Disorders,
Structure of rubrospinal tract,Sweet Syndrome,
Nucleus of Diagonal Band,cortex bone disorders,
Medulla Oblongata,Van der Woude syndrome,
Gyrus Cinguli,Major Depressive Disorder,
Genus Hippocampus,Meconium Aspiration Syndrome,
Type 1 vestibular sensory cell,Functional disorder,
Cerebral cortex,Sensory Disorders,
Somatosensory Cortex,Fetal Alcohol Syndrome,
CA1 field,Psychotic Disorders,
Linear nucleus,Mood Disorders,
Genus Hippocampus,"Myeloproliferative Syndrome, Transient",
Structure of zona incerta,Spinal Cord Diseases,
Red nucleus structure,Retinal Diseases,
Brain Stem,Cerebellar Diseases,
Occipital lobe,Demyelinating Diseases,
Pontine nuclei,Sudden infant death syndrome,
Structure of ansa lenticularis,Spinal Cord Diseases,
Structure of subiculum hippocampi,Shy-Drager Syndrome,
Insula of Reil,Anxiety Disorders,
Structure of medial preoptic nucleus,cortex bone disorders,
Hypothalamic structure,neuropathology disease,
Nucleus solitarius,Laryngeal Diseases,
Dorsal Motor Nucleus,Pancreatic Diseases,
Structure of lateral olfactory gyrus,Retinal Diseases,
Cerebral hemisphere structure (body structure),Rabies (disorder),
Visual Cortex,"Hamartoma Syndrome, Multiple",
Structure of paraventricular nucleus,Syndrome,
CA3 field,Dysequilibrium syndrome,
Prosencephalon,Kallmann Syndrome,
Pedunculopontine Tegmental Nucleus,Bipolar Disorder,
Pedunculopontine Tegmental Nucleus,Shy-Drager Syndrome,
Corpus striatum structure,Rett Syndrome,
"BRAIN, HIPPOCAMPUS",Cardiovascular Diseases,
Pineal gland,Autistic Disorder,
Corpus Callosum,neuropathology disease,
Posterior superior ansiform lobule of cerebellum,Psychotic Disorders,
Anterodorsal nucleus of thalamus,Shy-Drager Syndrome,
Cerebellum,Mild cognitive disorder,
Motor Cortex,Shy-Drager Syndrome,
Nucleus of Ansa Lenticularis,Spinal Cord Diseases,
"BRAIN, HIPPOCAMPUS",Disease of thymus gland,
Pars Compacta,Brain Diseases,
Basal Ganglia,Cerebellar Diseases,
Ventral Tegmental Area,Van der Woude syndrome,
Parabrachial Nucleus,Lung diseases,
Structure of paraventricular nucleus of thalamus,Mood Disorders,
Cerebral cortex,Skin endocrine disorder,
Corpus Callosum,Prune Belly Syndrome,
Nucleus Accumbens,Mood Disorders,
Brodmann area 18,Lewy Body Disease,
Ventral Tegmental Area,neuropathology disease,
Medial Dorsal Nucleus,Seasonal Affective Disorder,
Limbic System,Major Depressive Disorder,
Corpus striatum structure,Degenerative disorder,
Amygdaloid structure,Generalized Anxiety Disorder,
Cerebral cortex,Melkersson-Rosenthal Syndrome,
Entire brainstem,Motor Neuron Disease,
Structure of dentate gyrus,Feline urological syndrome,
Brain White Matter,Spinal Cord Diseases,
Purkinje Cells,Shwachman syndrome,
Intralaminar Nuclear Group,Recurrent disease,
"BRAIN, HIPPOCAMPUS",Immunoglobulin A deficiency (disorder),
Structure of ventromedial hypothalamic nucleus,Spinal Cord Diseases,
Thalamic structure,Phantom limb syndrome,
Basal Forebrain,Rett Syndrome,
"BRAIN, HIPPOCAMPUS",Creutzfeldt-Jakob disease,
Caudate nucleus structure,"Niemann-Pick Disease, Type C",
Cerebellar cortex structure,Autistic Disorder,
Entire thalamic reticular nucleus,Attention deficit hyperactivity disorder,
Gonadotrophs,Skin endocrine disorder,
Corpus striatum structure,Acute infectious disease,
Periamygdaloid Area,Syndrome,
"Cortex, Primary Motor",Rett Syndrome,
Structure of dentate gyrus,Macrophage Activation Syndrome,
"BRAIN, HIPPOCAMPUS",Premenstrual syndrome,
Prefrontal Cortex,Down Syndrome,
Genus Hippocampus,Alcohol use disorder,
Purkinje Cells,Fetal Alcohol Syndrome,
Pedunculopontine Tegmental Nucleus,Neurodegenerative Disorders,
Limbic System,neuropathology disease,
Limbic System,Migraine Disorders,
Median eminence of hypothalamus,Skin endocrine disorder,
Anterodorsal nucleus of thalamus,Nose Diseases,
Reuniens Thalamic Nucleus,Alzheimer's Disease,
Pyramidal Cells,Chromosome 11p11.2 Deletion Syndrome,
Internal genu of facial nerve,cortex bone disorders,
Brain Stem,Oropharyngeal disorders,
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe",Migraine Disorders,
Substantia nigra structure,"Hypertrophic disorder of skin, unspecified",
Pontine nuclei,Shwachman syndrome,
Substantia Nigra Pars Reticulata,Alzheimer's Disease,
Left parahippocampal gyrus,Psychotic Disorders,
Genus Hippocampus,Hereditary Diseases,
Right pulvinar,"Stress Disorders, Traumatic",
Cerebral cortex,Immune System Diseases,
"Pituitary Gland, Posterior",Retinal Diseases,
Pituitary Gland,Autoimmune Diseases,
Set of basolateral nuclei of amygdala,Mood Disorders,
Corpus striatum structure,"Niemann-Pick Disease, Type C",
Structure of angular gyrus,Bloom Syndrome,
Inferior Colliculus,Cyclical vomiting syndrome (disorder),
Corpus Callosum,Huntington Disease,
Brain Stem,Menkes Kinky Hair Syndrome,
Reuniens Thalamic Nucleus,Depressive disorder,
Cerebral cortex,Iodine deficiency syndrome,
"Cortex, Primary Motor",motor disorder,
Cerebral hemisphere structure (body structure),Williams Syndrome,
Entire medulla oblongata,Disorder nervous system,
Entire internal carotid nerve,Disorder of pineal gland,
Structure of olfactory bulb,Demyelinating Diseases,
Parabrachial Nucleus,Hypertensive disease,
Sensorimotor Cortex,Parkinson Disease,
Cerebellum,Opsoclonus-Myoclonus Syndrome,
Structure of rubrospinal tract,Huntington Disease,
Pars Compacta,Dyskinetic syndrome,
Type 1 vestibular sensory cell,Auditory neuropathy spectrum disorder,
Cerebral cortex,Neoplastic disease,
Red nucleus structure,Parkinson Disease,
Anterodorsal nucleus of thalamus,Chronic disease,
Amygdaloid structure,Cat-Scratch Disease,
Gyrus Cinguli,Disorder nervous system,
Preoptic Areas,Mitral Valve Prolapse Syndrome,
Medial superior olivary nucleus,Pervasive Development Disorder,
Cerebral cortex,Rasmussen Syndrome,
Nucleus Accumbens,Skin endocrine disorder,
Parietal Lobe,"Myeloproliferative Syndrome, Transient",
Lateral ventricle structure,Sweet Syndrome,
Lentiform nucleus structure,cortex bone disorders,
Structure of purkinje cell layer of cerebellar cortex,Renal glomerular disease,
Pyramidal Cells,Anxiety Disorders,
"Lobe, Frontal","Congenital secretory diarrhea, sodium type (disorder)",
Sensorimotor Cortex,Capillary malformation (disorder),
Cerebral cortex,Kluver-Bucy Syndrome,
Cerebellar white matter,Shy-Drager Syndrome,
Prosencephalon,Seasonal Affective Disorder,
Cerebral cortex,Mobius Syndrome,
Cuneiform nucleus,Spinal Cord Diseases,
Pyramidal Cells,Cognition Disorders,
Structure of thalamic fasciculus,Spinal Cord Diseases,
CA2 field,Ovarian Diseases,
Left inferior temporal gyrus,Depressive disorder,
Olfactory Cortex,Nose Diseases,
Cerebral hemisphere structure (body structure),Developmental delay (disorder),
Nucleus solitarius,Alcohol withdrawal syndrome,
Structure of entorhinal cortex,Conjunctival Diseases,
Cerebral Peduncle,CNS disorder,
Reticular activating system,Bipolar Disorder,
Brain Stem,Prion Diseases,
Cerebral hemisphere structure (body structure),Immunologic Deficiency Syndromes,
Structure of rubrospinal tract,Parkinsonian Disorders,
Structure of thalamic reticular nucleus,Neurotoxicity Syndromes,
Parietal Lobe,Acute infectious disease,
Structure of central sulcus,Sensitization (disorder),
Superior colliculus of corpora quadrigemina,Disease Progression,
Caudate nucleus structure,Retinal Diseases,
Pyramidal Cells,Hypertensive disease,
Structure of entorhinal cortex,Bipolar Disorder,
Parolfactory area structure (body structure),Huntington Disease,
"BRAIN, HIPPOCAMPUS",Degenerative brain disorder,
central amygdalar nucleus,Irritable Bowel Syndrome,
Orbitofrontal cortex,Temporomandibular Joint Dysfunction Syndrome,
Cerebral cortex,Behcet Syndrome,
"Bundle, Predorsal",Herpes zoster disease,
"BRAIN, HIPPOCAMPUS",Vasodilation disorder,
Structure of suprachiasmatic nucleus,Alzheimer's Disease,
Prosencephalon,Disease Progression,
Anterodorsal nucleus of thalamus,Memory Disorders,
Pituitary Gland,Corneal Diseases,
Medial Dorsal Nucleus,Obsessive-Compulsive Disorder,
Structure of area postrema,Alzheimer's Disease,
Medial Septal Nucleus,Parkinson Disease,
Medial Septal Nucleus,Meningeal disorder,
"Cortex, Primary Motor",Rabies (disorder),
Anterior Nuclear Group,Mesulam Syndrome,
Cerebral hemisphere structure (body structure),Menkes Kinky Hair Syndrome,
Anterior insula,Autistic Disorder,
Structure of inferior longitudinal fasciculus,Angelman Syndrome,
Olivocerebellar fibers,Huntington Disease,
"Complex, Superior Olivary",Spinal Cord Diseases,
"BRAIN, HIPPOCAMPUS",Williams Syndrome,
Median preoptic nucleus,Sweet Syndrome,
Structure of trigeminal nerve mesencephalic nucleus,Spastic syndrome,
Habenula,Recurrent disease,
Medulla Oblongata,Nijmegen Breakage Syndrome,
Corpus striatum structure,Lesch-Nyhan Syndrome,
Tegmentum Mesencephali,Hashimoto Disease,
Optic Chiasms,cortex bone disorders,
Internal capsule of brain,Prune Belly Syndrome,
"Lobe, Frontal",Sweet Syndrome,
Right inferior frontal gyrus,Bipolar Disorder,
Ventral Tegmental Area,Attention Deficit Disorder,
Lateral habenular nucleus,Shwachman syndrome,
Cerebellum,Ventricular dilatation (disorder),
Structure of anterior hypothalamic nucleus,Skin endocrine disorder,
Structure of median forebrain bundle,Depressive disorder,
Brain Stem,Disorder of pineal gland,
Nucleus solitarius,Parkinson Disease,
"Cortex, Primary Motor",Papillon-Lefevre Disease,
Central gray substance of midbrain,Panic Disorder,
Dorsal Motor Nucleus,Disease Progression,
Occipital lobe,Autism Spectrum Disorders,
"BRAIN, HIPPOCAMPUS",Shprintzen syndrome,
Oculomotor nucleus,"Stress Disorders, Traumatic",
Structure of paraventricular nucleus of thalamus,Spinal Cord Diseases,
Midbrain structure,Major Depressive Disorder,
Structure of nucleus ambiguus,Laryngeal Diseases,
Medulla Oblongata,Pancreatic Diseases,
central amygdalar nucleus,Pituitary Diseases,
Structure of nucleus infundibularis hypothalami,Renal glomerular disease,
Superior colliculus of corpora quadrigemina,Parkinson Disease,
Structure of olfactory bulb,Meningeal disorder,
Basal Ganglia,Rabies (disorder),
Nucleus of anterior commissure,"Hamartoma Syndrome, Multiple",
Entire occipital pole,Alstrom Syndrome,
Brain Stem,Herpes zoster disease,
Temporal Lobe,Language Disorders,
Structure of locus ceruleus,Virus Diseases,
Amygdaloid structure,Dysequilibrium syndrome,
Cerebral cortex,Pili torti-deafness syndrome,
Hypothalamic structure,Autonomic nervous system disorders,
Cerebellar cortex structure,Gardner Syndrome,
