"brainregion","disease","gene","count"
"Neostriatum","Alzheimer's Disease","TH gene","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","MAPK3 Gene","2"
"BRAIN, HIPPOCAMPUS","Motor Neuron Disease","SQSTM1 Gene","2"
"Pituitary Gland","Pituitary Diseases","ERG wt Allele","2"
"Structure of locus ceruleus","Hypertensive disease","BECN1 wt Allele","2"
"Cerebral cortex","Neurotoxicity Syndromes","NOS1 wt Allele","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","CNR1 gene","2"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","JUN Gene","2"
"Pyramidal Cells","cortex bone disorders","FST wt Allele","2"
"Anterodorsal nucleus of thalamus","Huntington Disease","SQSTM1 Gene","2"
"Cerebral cortex","Opsoclonus-Myoclonus Syndrome","PHGDH wt Allele","2"
"BRAIN, HIPPOCAMPUS","Hashimoto Disease","TNF Gene","2"
"Tectum Mesencephali","Retinal Diseases","Long Interspersed Element","2"
"Lamina septum pellucidum","cortex bone disorders","FST wt Allele","2"
"Neostriatum","Parkinson Disease","CARD8 Gene","2"
"Caudate nucleus structure","Peripheral Arterial Diseases","HPR wt Allele","2"
"Thalamic structure","cortex bone disorders","FOXC2 wt Allele","2"
"Corpus Callosum","Spinal Cord Diseases","MBL2 wt Allele","2"
"Cerebral Peduncle","Hamartoma Syndrome, Multiple","CR2 wt Allele","2"
"Cerebral cortex","New Variant Creutzfeldt-Jakob Disease","PRNP wt Allele","2"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Leigh Disease","Chloramphenicol O-Acetyltransferase","2"
"Central Dorsal Nucleus","Nail-Patella Syndrome","MAPT wt Allele","2"
"Cerebral cortex","cortex bone disorders","SOD1 gene","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","FASTK Gene","2"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","SLC6A3 Gene","2"
"Cerebral cortex","cortex bone disorders","F2R Gene","2"
"Corpus striatum structure","cortex bone disorders","SLC2A1 Gene","2"
"Pontine nuclei","Shwachman syndrome","SBDS wt Allele","2"
"Thalamic structure","Macrophage Activation Syndrome","MAS1 wt Allele","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","MAS1 wt Allele","2"
"Structure of nucleus prepositus","Pick Disease of the Brain","MAPT wt Allele","2"
"Structure of central sulcus","Hashimoto Disease","DHPS wt Allele","2"
"Pretectal region","Retinal Diseases","SH3PXD2A wt Allele","2"
"Structure of dentate gyrus","cortex bone disorders","MAPT wt Allele","2"
"Nucleus of anterior commissure","Alzheimer's Disease","ASAH1 wt Allele","2"
"Medial Dorsal Nucleus","Alzheimer's Disease","CHAT Gene","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","AIMP2 wt Allele","2"
"CA2 field","Pituitary Diseases","GNRH1 Gene","2"
"Pontine nuclei","Disorder nervous system","POSTN wt Allele","2"
"Basal Ganglia","Hashimoto Disease","PYCARD Gene","2"
"Insula of Reil","cortex bone disorders","THPO Gene","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","MAS1 Gene","2"
"Basal Ganglia","Hashimoto Disease","PYCARD wt Allele","2"
"Bundle, Predorsal","Alzheimer's Disease","ACTB Gene","2"
"Posterolateral auditory cortex","cortex bone disorders","ERBB4 Gene","2"
"Central Dorsal Nucleus","Cognition Disorders","HLA-DQA1 wt Allele","2"
"Neostriatum","Parkinson Disease","TPO wt Allele","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","INS gene","2"
"Optic tract structure","DISORDERS OF THE OPTIC NERVE","HSPB1 wt Allele","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","RELN Gene","2"
"Basal Ganglia","Antiphospholipid Syndrome","NR3C2 Gene","2"
"Anterodorsal nucleus of thalamus","Hypertensive disease","APOE gene","2"
"Bundle, Predorsal","Camurati-Engelmann Syndrome","FANCA wt Allele","2"
"Structure of locus ceruleus","Functional disorder","ELANE wt Allele","2"
"Neostriatum","neuropathology disease","HTT gene","2"
"Genus Hippocampus","Alzheimer's Disease","CTSD Gene","2"
"Hypothalamic structure","cortex bone disorders","Wild Type","2"
"Lobe, Frontal","Alzheimer's Disease","FLT3LG wt Allele","2"
"Dorsal Nucleus Raphe","Stress Disorders, Traumatic","AIMP2 wt Allele","2"
"Structure of subthalamic nucleus","Parkinson Disease","LMNA wt Allele","2"
"Structure of central sulcus","Liver diseases","SLC6A3 wt Allele","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","SOD1 wt Allele","2"
"Cortex, Primary Motor","Peripheral Arterial Diseases","PADI4 wt Allele","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","BAG3 wt Allele","2"
"BRAIN, HIPPOCAMPUS","Motor Neuron Disease","SQSTM1 wt Allele","2"
"Nucleus fastigii","Niemann-Pick Disease, Type C","FAS Gene","2"
"Bundle, Predorsal","Alzheimer's Disease","APP gene","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","ABCB6 wt Allele","2"
"Prefrontal Cortex","Alzheimer's Disease","MAPT wt Allele","2"
"Optic tract structure","Retinal Diseases","Long Interspersed Element","2"
"Marginal Sulcus","Premenstrual syndrome","MTR wt Allele","2"
"Corpus striatum structure","Huntington Disease","SLC6A4 gene","2"
"Prosencephalon","Dysequilibrium syndrome","INS gene","2"
"Pituitary Gland","Pituitary Diseases","Exons","2"
"Bundle, Predorsal","Parkinson Disease","PPARA Gene","2"
"BRAIN, HIPPOCAMPUS","Van der Woude syndrome","AIMP2 Gene","2"
"Brain Stem","Spinal Cord Diseases","NGF Gene","2"
"BRAIN, HIPPOCAMPUS","Mucocutaneous Lymph Node Syndrome","TLR4 wt Allele","2"
"Structure of habenulopeduncular tract","cortex bone disorders","REG3A wt Allele","2"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","SLC6A3 wt Allele","2"
"Genus Hippocampus","cortex bone disorders","STAT3 Gene","2"
"Structure of dentate gyrus","Hodgkin Disease","TYK2 Gene","2"
"Ventral Tegmental Area","Cat-Scratch Disease","TGFBI wt Allele","2"
"Structure of suprageniculate nucleus","Alzheimer's Disease","MAPT wt Allele","2"
"Genus Hippocampus","Neurodegenerative Disorders","KDM1A wt Allele","2"
"Orbitofrontal cortex","cortex bone disorders","FAT1 gene","2"
"Cerebral cortex","Alzheimer's Disease","MAP1LC3A wt Allele","2"
"Paracentral Thalamic Nucleus","Ataxia as late effect of cerebrovascular disease","PODXL Gene","2"
"BRAIN, HIPPOCAMPUS","Hashimoto Disease","ATP8A2 wt Allele","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","RPL29 wt Allele","2"
"Basal Nucleus of Meynert","Mild cognitive disorder","MAPT wt Allele","2"
"Thalamic Nuclei","cortex bone disorders","CD55 wt Allele","2"
"Amygdaloid structure","cortex bone disorders","Chloramphenicol Acetyl Transferase Gene","2"
"Basal Forebrain","cortex bone disorders","SH2D3C wt Allele","2"
"Cerebellum","Androgen-Insensitivity Syndrome","AR wt Allele","2"
"Genus Hippocampus","Melkersson-Rosenthal Syndrome","ACACA wt Allele","2"
"Ventral Tegmental Area","Hamartoma Syndrome, Multiple","Replication Origin","2"
"Neostriatum","cortex bone disorders","PARK2 gene","2"
"Gyrus Cinguli","cortex bone disorders","SULT1A1 wt Allele","2"
"BRAIN, HIPPOCAMPUS","Functional disorder","RASA1 Gene","2"
"Brain Stem","Spinal Cord Diseases","EPHB1 Gene","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","FOXO3 wt Allele","2"
"Structure of genu of corpus callosum","Depressive disorder","RRM1 Gene","2"
"Corpus Callosum","Spinal Cord Diseases","Genes","2"
"CA1 field","Alzheimer's Disease","Tumor Necrosis Factor-alpha","2"
"Cerebral hemisphere structure (body structure)","Fetal Alcohol Syndrome","TNFRSF1A gene","2"
"Genus Hippocampus","cortex bone disorders","KDM1A wt Allele","2"
"Medial Septal Nucleus","Werner Syndrome","MAP3K14 wt Allele","2"
"Pyramidal Cells","cortex bone disorders","ATP8A2 wt Allele","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","PRNP wt Allele","2"
"Anterodorsal nucleus of thalamus","Mild cognitive disorder","SET Gene","2"
"Paracentral Thalamic Nucleus","cortex bone disorders","DPYD wt Allele","2"
"Cerebellum","Functional disorder","ZEB2 Gene","2"
"Inferior Colliculus","Disease of thymus gland","REN Gene","2"
"Structure of nucleus gracilis","Functional disorder","NR3C1 wt Allele","2"
"Anterodorsal nucleus of thalamus","Parkinson Disease","ACTB Gene","2"
"Posterior cerebral commissure","Inclusion body myositis (disorder)","PODXL Gene","2"
"Structure of nucleus prepositus","cortex bone disorders","PRNP wt Allele","2"
"Genus Hippocampus","cortex bone disorders","CSF3 wt Allele","2"
"Brain Stem","Disease Progression","MAPT wt Allele","2"
"Hypothalamic structure","Liver diseases","FAT1 gene","2"
"Tectospinal tract of medulla","Timothy syndrome","CAT Gene","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","PKLR gene","2"
"Hypothalamic structure","Uterine Diseases","HSP90AA1 wt Allele","2"
"Structure of central sulcus","Liver diseases","SLC6A3 Gene","2"
"Cerebral cortex","cortex bone disorders","RANGAP1 wt Allele","2"
"Entire substantia nigra","Parkinson Disease","SOD1 wt Allele","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","SLC40A1 gene","2"
"Structure of nucleus prepositus","Neurotoxicity Syndromes","IAPP Gene","2"
"Corpus striatum structure","cortex bone disorders","EPHB2 Gene","2"
"Basal Ganglia","neuropathology disease","HTT gene","2"
"Nucleus Basalis Magnocellularis","cortex bone disorders","NGF Gene","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","HSPA5 Gene","2"
"Purkinje Cells","Cerebellar Diseases","Long Interspersed Element","2"
"Nucleus solitarius","Huntington Disease","HTT wt Allele","2"
"Nucleus of anterior commissure","Retinal Diseases","ASAH1 wt Allele","2"
"Genus Hippocampus","cortex bone disorders","NR3C1 Gene","2"
"Genus Hippocampus","cortex bone disorders","CD40LG wt Allele","2"
"BRAIN, HIPPOCAMPUS","Neurodegenerative Disorders","KDM1A Gene","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","NFATC4 Gene","2"
"Bundle, Predorsal","Parkinson Disease","PRNP gene","2"
"Neostriatum","Neurotoxicity Syndromes","SCG2 Gene","2"
"Cerebral cortex","Familial Alzheimer Disease (FAD)","APP gene","2"
"Genus Hippocampus","Virus Diseases","DNMT3B Gene","2"
"Pontine nuclei","Shwachman syndrome","POSTN wt Allele","2"
"Prefrontal Cortex","Pervasive Development Disorder","Genes","2"
"Basal Ganglia","Movement Disorders","Retinoic Acid Response Element","2"
"BRAIN, HIPPOCAMPUS","Spinal Cord Diseases","TARDBP wt Allele","2"
"Interpeduncular nucleus","Stereotypic Movement Disorder","SDHB wt Allele","2"
"Optic tract structure","DISORDERS OF THE OPTIC NERVE","HSPB1 Gene","2"
"Neostriatum","cortex bone disorders","SQSTM1 Gene","2"
"Superior colliculus of corpora quadrigemina","Opitz-Frias syndrome","MID1 wt Allele","2"
"Cerebral cortex","cortex bone disorders","MAP3K14 wt Allele","2"
"Marginal Sulcus","Williams Syndrome","MTR wt Allele","2"
"Brain Stem","Spinal Cord Diseases","SMN1 gene","2"
"Prefrontal Cortex","Sensitization (disorder)","CD69 wt Allele","2"
"Amygdaloid structure","Depressive disorder","ELANE Gene","2"
"Prosencephalon","Dysequilibrium syndrome","CRHR1 wt Allele","2"
"BRAIN, HIPPOCAMPUS","Hashimoto Disease","PNP wt Allele","2"
"Triangular Septal Nucleus","Gilles de la Tourette syndrome","Chloramphenicol Acetyl Transferase Gene","2"
"Olfactory tubercle","cortex bone disorders","TAP2 wt Allele","2"
"Lateral Dorsal Nucleus","Pituitary Diseases","FOXC2 wt Allele","2"
"Genus Hippocampus","Mild cognitive disorder","CDH3 wt Allele","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","PARK7 wt Allele","2"
"Cerebral cortex","Disease Progression","Genes","2"
"Trigeminal Nuclei","Migraine Disorders","c-fos Genes","2"
"Longitudinal pontine fibers","Mild cognitive disorder","MAPT wt Allele","2"
"Diagonal Band of Broca","Alzheimer's Disease","MTR wt Allele","2"
"Globus Pallidus","Autistic Disorder","TNC wt Allele","2"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","CD44 Gene","2"
"Lateral Septal Nucleus","Bloom Syndrome","PITX2 wt Allele","2"
"Central insular sulcus","Mild cognitive disorder","CISH Gene","2"
"Pituitary Gland, Anterior","Pituitary Diseases","CSPG4 Gene","2"
"Triangular Septal Nucleus","Gilles de la Tourette syndrome","CAT Gene","2"
"Inferior Colliculus","Testicular Diseases","REN Gene","2"
"Brain Stem","cortex bone disorders","TH gene","2"
"Neocortex","Pervasive Development Disorder","Genes","2"
"Cerebral cortex","cortex bone disorders","PRF1 wt Allele","2"
"Inferior parietal lobule","cortex bone disorders","TRIP10 wt Allele","2"
"Corpus striatum structure","Van der Woude syndrome","TLR4 wt Allele","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","CDKN2B wt Allele","2"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","APC gene","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","DNMT1 wt Allele","2"
"Lateral Septal Nucleus","Leigh Disease","ADRB2 wt Allele","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","SOD2 wt Allele","2"
"Pyramidal Cells","Depressive disorder","PDZK1 Gene","2"
"Caudate nucleus structure","Spinal Cord Diseases","NOD2 wt Allele","2"
"Tectum Mesencephali","Retinal Diseases","PLP1 gene","2"
"Central Dorsal Nucleus","cortex bone disorders","CTLA4 wt Allele","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","AVP Gene","2"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","CD44 Gene","2"
"Marginal Sulcus","Bloom Syndrome","MTR wt Allele","2"
"CA2 field","Alzheimer's Disease","APP gene","2"
"Medial Septal Nucleus","Parkinsonian Disorders","UBA2 wt Allele","2"
"Genus Hippocampus","cortex bone disorders","YY1 wt Allele","2"
"Structure of locus ceruleus","Neurotoxicity Syndromes","ELANE wt Allele","2"
"Structure of anterior commissure","Retinal Diseases","NLRP3 wt Allele","2"
"Thalamic structure","Retinal Diseases","Chloramphenicol Acetyl Transferase Gene","2"
"Genus Hippocampus","cortex bone disorders","DCX gene","2"
"Central Dorsal Nucleus","Recurrent disease","NOD2 wt Allele","2"
"Ventral Tegmental Area","Depressive disorder","CNR1 gene","2"
"BRAIN, HIPPOCAMPUS","Stress Disorders, Traumatic","FMR1 gene","2"
"Central insular sulcus","Bipolar Disorder","MAPT wt Allele","2"
"Rostral interstitial nucleus of medial longitudinal fasciculus","Spinal Cord Diseases","RNH1 Gene","2"
"Paracentral Thalamic Nucleus","Syndrome","PODXL Gene","2"
"Genus Hippocampus","cortex bone disorders","CRP Gene","2"
"Structure of pars intermedia of pituitary gland","Pituitary Diseases","POMC Gene","2"
"Parahippocampal Gyrus","Mild cognitive disorder","CDH3 Gene","2"
"BRAIN, HIPPOCAMPUS","Depressive disorder","NDOR1 wt Allele","2"
"Hypothalamic structure","cortex bone disorders","TNF Gene","2"
"Marginal Sulcus","Werner Syndrome","ELN wt Allele","2"
"Caudate nucleus structure","Peripheral Arterial Diseases","HP Gene","2"
"Interpeduncular nucleus","Neurodegenerative Disorders","SDHB wt Allele","2"
"Visual Cortex","Retinal Diseases","SET Gene","2"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","CA9 Gene","2"
"Preoptic Areas","Skin endocrine disorder","KISS1 Gene","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","SET Gene","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","NBL1 wt Allele","2"
"Structure of nucleus infundibularis hypothalami","Pica Disease","HCRT Gene","2"
"BRAIN, HIPPOCAMPUS","Leigh Disease","GCLC wt Allele","2"
"Paracentral Thalamic Nucleus","Hamartoma Syndrome, Multiple","Retinoic Acid Response Element","2"
"Structure of locus ceruleus","Neurotoxicity Syndromes","ELANE Gene","2"
"Basal Forebrain","Rothmund-Thomson syndrome","RECQL4 wt Allele","2"
"Nucleus Accumbens","cortex bone disorders","PNP Gene","2"
"Structure of anterior commissure","Retinal Diseases","ASAH1 Gene","2"
"BRAIN, HIPPOCAMPUS","Metabolic Diseases","FAT wt Allele","2"
"Temporal Lobe","Alzheimer's Disease","HMOX1 Gene","2"
"Neocortex","Spinal Cord Diseases","CAT Gene","2"
"Neocortex","Hamartoma Syndrome, Multiple","HLA-DQA1 wt Allele","2"
"Paracentral Thalamic Nucleus","Machado-Joseph Disease","PODXL wt Allele","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","HP wt Allele","2"
"Nucleus Accumbens","Oculorespiratory syndrome","CNR1 gene","2"
"Thalamic structure","Liver diseases","NLRP3 wt Allele","2"
"Inferior Colliculus","Peripheral Arterial Diseases","PADI4 Gene","2"
"Inferior olivary nucleus","Hamartoma Syndrome, Multiple","HLA-DQA1 wt Allele","2"
"Pyramidal Cells","Androgen-Insensitivity Syndrome","AR wt Allele","2"
"Brain Stem","Spinal Cord Diseases","FOXD3 wt Allele","2"
"Paracentral Thalamic Nucleus","Machado-Joseph Disease","KRT17 wt Allele","2"
"Genus Hippocampus","Depressive disorder","DCX gene","2"
"Cerebral hemisphere structure (body structure)","Parkinsonian Disorders","Genes","2"
"Cerebellum","Hashimoto Disease","PYCARD wt Allele","2"
"Structure of subthalamic nucleus","Parkinson Disease","CD69 wt Allele","2"
"Structure of locus ceruleus","Neurotoxicity Syndromes","MAPT wt Allele","2"
"Cerebellum","Spinal Cord Diseases","Promoter","2"
"Structure of habenulopeduncular tract","cortex bone disorders","ST13 Gene","2"
"Neostriatum","Huntington Disease","PNP Gene","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","SDC2 Gene","2"
"Genus Hippocampus","Functional disorder","MTR wt Allele","2"
"Olivocerebellar fibers","Pili torti-deafness syndrome","BGLAP Gene","2"
"Median eminence of hypothalamus","Sweet Syndrome","GHRH wt Allele","2"
"Cortex, Primary Motor","Peripheral Arterial Diseases","PADI4 Gene","2"
"Structure of pars intermedia of pituitary gland","Pituitary Diseases","ENG wt Allele","2"
"Globus Pallidus","Rett Syndrome","CREBBP wt Allele","2"
"Structure of habenulopeduncular tract","cortex bone disorders","RPL29 wt Allele","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","FGFR1 wt Allele","2"
"Reticular Formation","Depressive disorder","PADI4 wt Allele","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","BAD Gene","2"
"Structure of rubrospinal tract","Neurodegenerative Disorders","MSMB wt Allele","2"
"Substantia nigra structure","Sudden infant death syndrome","IDS wt Allele","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","HDAC6 Gene","2"
"Olivocerebellar fibers","Huntington Disease","HTT wt Allele","2"
"Structure of suprachiasmatic nucleus","Gardner Syndrome","APC wt Allele","2"
"Neostriatum","cortex bone disorders","SLC6A4 wt Allele","2"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","GHRL Gene","2"
"Neostriatum","cortex bone disorders","Alleles","2"
"Orbitofrontal cortex","cortex bone disorders","c-fos Genes","2"
"Cerebral cortex","cortex bone disorders","TXNRD2 wt Allele","2"
"Brain Stem","Spinal Cord Diseases","BDNF Gene","2"
"Anterodorsal nucleus of thalamus","Functional disorder","TNFRSF21 Gene","2"
"Parietal Lobe","Huntington Disease","HTT wt Allele","2"
"Cerebellum","Lung diseases","Genes","2"
"Thalamic structure","cortex bone disorders","MAS1 wt Allele","2"
"Callosal sulcus","Spinal Cord Diseases","BCAR1 wt Allele","2"
"Pineal gland","Acute infectious disease","SERPINA1 wt Allele","2"
"Pyramidal Cells","Rett Syndrome","MECP2 wt Allele","2"
"Structure of nucleus prepositus","Ataxia as late effect of cerebrovascular disease","ABCB6 wt Allele","2"
