"brainregion","disease","mental","count"
"Brodmann area 35","cortex bone disorders","Communication Response","3"
"Cortex, Primary Motor","Spinal Cord Diseases","Social Role","3"
"Neostriatum","Neurotoxicity Syndromes","Ethanol","3"
"Tectospinal tract of medulla","Timothy syndrome","Like","3"
"Basal Ganglia","Parkinsonian Disorders","Involvement with","3"
"Cerebral cortex","Neurotoxicity Syndromes","Involvement with","3"
"Prefrontal Cortex","Pituitary Diseases","Communication Response","3"
"Substantia innominata","cortex bone disorders","Projection Defense Mechanism","3"
"Brain Stem","Gilles de la Tourette syndrome","Gilles de la Tourette syndrome","3"
"Hypothalamic structure","Pituitary Diseases","Like","3"
"Cerebral hemisphere structure (body structure)","Disorder nervous system","Impaired cognition","3"
"Brain Stem","cortex bone disorders","taste perception","3"
"Medial Dorsal Nucleus","Seasonal Affective Disorder","Sad mood","3"
"Lobe, Frontal","Functional disorder","Behavior","3"
"Cerebral cortex","Depressive disorder","Involvement with","3"
"Pituitary Gland","Pituitary Diseases","Food Deprivation","3"
"Structure of locus ceruleus","Binge eating disorder","Binge eating disorder","3"
"Posterior Hypothalamic Region","Seasonal Affective Disorder","Communication Response","3"
"BRAIN, HIPPOCAMPUS","Functional disorder","Object Recognition","3"
"Pedunculopontine Tegmental Nucleus","Functional disorder","Social Role","3"
"Posterior superior ansiform lobule of cerebellum","Autistic Disorder","Autistic Disorder","3"
"Cerebral cortex","Retinal Diseases","Vision","3"
"Lateral Septal Nucleus","Leigh Disease","Stress","3"
"Brain Stem","Spinal Cord Diseases","Feedback - evaluative response process","3"
"Prefrontal Cortex","Autistic Disorder","Social Role","3"
"Ventral Tegmental Area","Stereotypic Movement Disorder","Stereotypic Movement Disorder","3"
"Neocortex","Functional disorder","Impaired cognition","3"
"Amygdaloid structure","Stress Disorders, Traumatic","Memory","3"
"Mammillary body structure","Major Depressive Disorder","Unipolar Depression","3"
"Substantia nigra structure","Disease Progression","Like","3"
"Structure of paraventricular nucleus","Pituitary Diseases","biological adaptation to stress","3"
"Midbrain structure","Depressive disorder","Memory","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Emotional Strain","3"
"BRAIN, HIPPOCAMPUS","Functional disorder","Alcoholics","3"
"Structure of olfactory bulb","Timothy syndrome","Gilles de la Tourette syndrome","3"
"Cerebral cortex","Pervasive Development Disorder","Behavior","3"
"Triangular Septal Nucleus","Down Syndrome","Impaired cognition","3"
"Nucleus Accumbens","Binge eating disorder","Binge eating disorder","3"
"Cerebellum","Neurodegenerative Disorders","Social Role","3"
"BRAIN, HIPPOCAMPUS","Pituitary Diseases","Psychological inhibition","3"
"Structure of paraventricular nucleus","cortex bone disorders","Communication Response","3"
"Neostriatum","Parkinsonian Disorders","Social Role","3"
"Submedial Nucleus","Spinal Cord Diseases","Feedback - evaluative response process","3"
"Medial nucleus of habenula","Syndrome","Stress","3"
"Entire medulla oblongata","Spinal Cord Diseases","Involvement with","3"
"Basal Forebrain","Neurodegenerative Disorders","Memory","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Abnormal behavior","3"
"Structure of ansa lenticularis","Autistic Disorder","Autistic Disorder","3"
"Anterodorsal nucleus of thalamus","Neurodegenerative Disorders","Amnesia","3"
"Pituitary Gland","Disorders, Mental","Abnormal behavior","3"
"Amygdaloid structure","Recurrent disease","Ethanol","3"
"Cerebellum","Conjunctival Diseases","DEPRESSION MENTAL","3"
"Interpeduncular nucleus","Syndrome","Stress","3"
"Midbrain structure","Parkinson Disease","Sex Behavior","3"
"Amygdaloid structure","Depressive disorder","Fear","3"
"Hypothalamic structure","cortex bone disorders","Stress","3"
"Lobe, Frontal","Drug withdrawal syndrome","Behavior","3"
"Prefrontal Cortex","Fetal Alcohol Syndrome","Ethanol","3"
"BRAIN, HIPPOCAMPUS","Psychotic Disorders","Social Role","3"
"Cerebral hemisphere structure (body structure)","Disease Progression","Stress","3"
"Corpus striatum structure","Pituitary Diseases","Mental concentration","3"
"Dorsal Nucleus Raphe","Functional disorder","Anxiety","3"
"BRAIN, HIPPOCAMPUS","Down Syndrome","Behavior","3"
"Amygdaloid structure","Mood Disorders","Social Role","3"
"Anterodorsal nucleus of thalamus","cortex bone disorders","Projection Defense Mechanism","3"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","Cognition","3"
"Prefrontal Cortex","Depressive disorder","Impaired cognition","3"
"Cerebral cortex","cortex bone disorders","Ethanol","3"
"CA2 field","Functional disorder","Social Role","3"
"BRAIN, HIPPOCAMPUS","Functional disorder","memory process","3"
"Triangular Septal Nucleus","Timothy syndrome","Projection Defense Mechanism","3"
"Cerebellum","cortex bone disorders","Cognition","3"
"BRAIN, HIPPOCAMPUS","Functional disorder","Memory, Episodic","3"
"Neostriatum","Huntington Disease","Psychological inhibition","3"
"Amygdaloid structure","Disorders, Mental","Fear","3"
"Lobe, Frontal","Spinal Cord Diseases","Projection Defense Mechanism","3"
"Bundle, Predorsal","Depressive disorder","Anxiety","3"
"Midbrain structure","Disorders, Mental","Social Role","3"
"Stria medullaris","Spinal Cord Diseases","Feedback - evaluative response process","3"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Perception","3"
"Cerebral cortex","Functional disorder","Learning","3"
"Basal Ganglia","Tic disorder","Social Role","3"
"Inferior frontal gyrus","Autistic Disorder","Autistic Disorder","3"
"Cerebellum","Spinal Cord Diseases","Social Role","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Recognition (Psychology)","3"
"BRAIN, HIPPOCAMPUS","Disease Progression","Involvement with","3"
"Nucleus of anterior commissure","Depressive disorder","DEPRESSION MENTAL","3"
"Midbrain structure","Depressive disorder","Anxiety","3"
"Bundle, Predorsal","Mild cognitive disorder","Factors, Risk","3"
"Lateral Septal Nucleus","Leigh Disease","Cocaine","3"
"Inferior Colliculus","Testicular Diseases","Prepuberty","3"
"Neostriatum","Parkinson Disease","Bradykinesia","3"
"Internal capsule of brain","Mild cognitive disorder","Cognition","3"
"Corpus striatum structure","cortex bone disorders","Performance","3"
"Purkinje Cells","Cerebellar Diseases","Involvement with","3"
"Tectospinal tract of medulla","Gilles de la Tourette syndrome","DEPRESSION MENTAL","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Retentions (Psychology)","3"
"Cerebellum","Autism Spectrum Disorders","Behavior","3"
"Cerebellum","Pervasive Development Disorder","Social Role","3"
"Lateral Septal Nucleus","cortex bone disorders","Social Role","3"
"Basal Ganglia","Neurodegenerative Disorders","Social Role","3"
"Thalamic structure","cortex bone disorders","Emotions","2"
"Cortex, Primary Motor","cortex bone disorders","Social Role","2"
"CA1 field","Major Depressive Disorder","Stress","2"
"Basal Ganglia","Attention Deficit Disorder","Behavior","2"
"BRAIN, HIPPOCAMPUS","Down Syndrome","Impaired cognition","2"
"Neostriatum","Parkinson Disease","Hyperactive behavior","2"
"Structure of paraventricular nucleus","Skin endocrine disorder","Social Role","2"
"Anterior Nuclear Group","cortex bone disorders","Memory","2"
"Structure of commissure of superior colliculus","Pituitary Diseases","Swimming","2"
"Pituitary Gland","Pituitary Diseases","Conditionings (Psychology)","2"
"Basal Ganglia","Disorder nervous system","Behavior","2"
"Cerebral hemisphere structure (body structure)","cortex bone disorders","Memory","2"
"Nucleus Accumbens","Sensitization (disorder)","Stress","2"
"Triangular Septal Nucleus","Down Syndrome","Social Role","2"
"Hypothalamic structure","Depressive disorder","Feedback - system communication","2"
"Cerebral cortex","Autism Spectrum Disorders","Communication","2"
"Cerebral cortex","Nail-Patella Syndrome","Behavior","2"
"Substantia nigra structure","Parkinson Disease","Discussion","2"
"Auditory pathway structure","cortex bone disorders","Auditory area","2"
"Substantia nigra structure","Parkinson Disease","Stress","2"
"Basal Ganglia","Degenerative disorder","Comprehension","2"
"CA1 field","Autistic Disorder","Autistic Disorder","2"
"Ventral Tegmental Area","cortex bone disorders","Communication Response","2"
"Anterodorsal nucleus of thalamus","Disease Progression","Mental association","2"
"BRAIN, HIPPOCAMPUS","CNS disorder","Memory impairment","2"
"Corpus striatum structure","Parkinson Disease","Psychological inhibition","2"
"Corpus striatum structure","Alzheimer's Disease","Communication Response","2"
"Genus Hippocampus","Disorders, Mental","Cognition","2"
"Fornix, Brain","cortex bone disorders","Stress","2"
"Corpus Callosum","Functional disorder","Autistic Disorder","2"
"Hypothalamic structure","Pituitary Diseases","Behavior","2"
"Genus Hippocampus","Hashimoto Disease","Psychological inhibition","2"
"Prefrontal Cortex","Functional disorder","Psychological inhibition","2"
"Insula of Reil","Autistic Disorder","Autistic Disorder","2"
"Genus Hippocampus","Depressive disorder","Memory impairment","2"
"Pituitary Gland","Pituitary Diseases","Prepuberty","2"
"Neostriatum","Parkinson Disease","Discussion","2"
"Cerebellum","Functional disorder","Discussion","2"
"Limbic System","Functional disorder","Behavior","2"
"Pituitary Gland","Thyroid Diseases","Feedback - system communication","2"
"Corpus striatum structure","Disease Progression","Communication Response","2"
"Dorsal Nucleus Raphe","Stress Disorders, Traumatic","Social Role","2"
"Amygdaloid structure","Recurrent disease","Mental association","2"
"Structure of suprachiasmatic nucleus","cortex bone disorders","Mental concentration","2"
"Inferior Colliculus","Testicular Diseases","Communication Response","2"
"CA3 field","Alzheimer's Disease","Cognition","2"
"Substantia nigra structure","Herpes zoster disease","Social Role","2"
"BRAIN, HIPPOCAMPUS","Mucocutaneous Lymph Node Syndrome","Conditionings (Psychology)","2"
"Cerebellar Nuclei","Dystonia Disorders","Like","2"
"Corpus striatum structure","Recurrent disease","Ethanol","2"
"Neostriatum","Functional disorder","Impaired cognition","2"
"Prefrontal Cortex","Attention deficit hyperactivity disorder","Involvement with","2"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Behavioral change","2"
"Cerebellum","Dystonia Disorders","Availability of","2"
"Globus Pallidus","Autistic Disorder","Memory","2"
"Hypothalamic structure","cortex bone disorders","Erectile dysfunction","2"
"Basal Ganglia","cortex bone disorders","Involvement with","2"
"Preoptic Areas","Timothy syndrome","Gilles de la Tourette syndrome","2"
"Tectospinal tract of medulla","Timothy syndrome","Response to stimulus physiology","2"
"Dorsal Septal Nucleus","Recurrent disease","Cocaine","2"
"Lateral habenular nucleus","Functional disorder","Pain","2"
"Genus Hippocampus","Down Syndrome","Behavior","2"
"Prefrontal Cortex","Functional disorder","Hyperactive behavior","2"
"Hypothalamic structure","Skin endocrine disorder","Sleep","2"
"Inferior olivary nucleus","Syndrome","Tremor","2"
"Anterodorsal nucleus of thalamus","Neurodegenerative Disorders","Insight","2"
"Structure of olfactory bulb","Renal glomerular disease","Cognitive information processing","2"
"Entire thalamic reticular nucleus","Mood Disorders","Mood Disorders","2"
"Substantia nigra structure","Functional disorder","Seizures","2"
"Midbrain structure","Mood Disorders","Anxiety","2"
"Parietal Lobe","Cognition Disorders","Impaired cognition","2"
"Pedunculopontine Tegmental Nucleus","cortex bone disorders","Sleep","2"
"Central gray substance of midbrain","Migraine Disorders","Social Role","2"
"Neostriatum","Depressive disorder","Anxiety","2"
"Parietal operculum cortex (PO)","Depressive disorder","At risk for activity intolerance","2"
"Cerebral cortex","Meningeal disorder","Communication","2"
"Amygdaloid structure","Depressive disorder","Mood","2"
"CA2 field","Functional disorder","Memory","2"
"BRAIN, HIPPOCAMPUS","Autistic Disorder","Like","2"
"Cerebellum","Syndrome","Behavior","2"
"BRAIN, HIPPOCAMPUS","Niemann-Pick Disease, Type C","Methamphetamine","2"
"Brain Stem","Dystonia Disorders","Availability of","2"
"Inferior Colliculus","Testicular Diseases","Persistence","2"
"Structure of nucleus prepositus","Brain Diseases","Social Role","2"
"Structure of dentate gyrus","Depressive disorder","Communication Response","2"
"Structure of angular gyrus","Seasonal Affective Disorder","Sad mood","2"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Drinking (function)","2"
"Neostriatum","cortex bone disorders","Motivation","2"
"Gigantocellular nucleus","Gardner Syndrome","Mental concentration","2"
"Ventral Tegmental Area","Parkinson Disease","Behavior","2"
"Cerebral cortex","Migraine Disorders","Projection Defense Mechanism","2"
"Ventral Tegmental Area","Functional disorder","Mood","2"
"Corpus striatum structure","cortex bone disorders","Body Weight","2"
"Genus Hippocampus","cortex bone disorders","Avoidance","2"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Disputes","2"
"Substantia Nigra Pars Reticulata","Depressive disorder","DEPRESSION MENTAL","2"
"Structure of rubrospinal tract","Hamartoma Syndrome, Multiple","Projection Defense Mechanism","2"
"Nuclei, Raphe","Spinal Cord Diseases","Projection Defense Mechanism","2"
"Cerebral hemisphere structure (body structure)","cortex bone disorders","Involvement with","2"
"Bundle, Predorsal","Lewy Body Disease","Comprehension","2"
"Cerebrum","Depressive disorder","DEPRESSION MENTAL","2"
"Thalamic structure","Depressive disorder","Impaired cognition","2"
"Pyramidal Cells","Rett Syndrome","Like","2"
"Pineal gland","Disorder of pineal gland","Social Role","2"
"Thalamic structure","Disorders, Mental","Abnormal behavior","2"
"Genus Hippocampus","Spinal Cord Diseases","Behavior","2"
"BRAIN, HIPPOCAMPUS","Iodine deficiency syndrome","Social Role","2"
"Cerebral cortex","Functional disorder","Tinnitus","2"
"Genus Hippocampus","Fetal Alcohol Syndrome","Impaired cognition","2"
"mossy fiber","Depressive disorder","Communication Response","2"
"Hypothalamic Area, Lateral","Polycystic Ovary Syndrome","Reproduction","2"
"Structure of locus ceruleus","Parkinson Disease","DEPRESSION MENTAL","2"
"Thalamic structure","cortex bone disorders","Cognitive information processing","2"
"Cerebral cortex","Alcohol use disorder","Impaired cognition","2"
"Hypothalamic Area, Lateral","Pituitary Diseases","Mental concentration","2"
"Brain Stem","Spinal Cord Diseases","DEPRESSION MENTAL","2"
"Hindbrain","Spinal Cord Diseases","Intrinsic drive","2"
"Neostriatum","Dyskinetic syndrome","Behavior","2"
"Neocortex","Post-Traumatic Stress Disorder","Communication Response","2"
"Limbic System","cortex bone disorders","Emotions","2"
"Genus Hippocampus","cortex bone disorders","Hypokinesia","2"
"Brain Stem","Autonomic nervous system disorders","Social Role","2"
"Cerebellum","Autistic Disorder","Like","2"
"Prosencephalon","Alzheimer's Disease","Memory","2"
"BRAIN, HIPPOCAMPUS","Spinal Cord Diseases","Like","2"
"CA1 field","Functional disorder","Cognition","2"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Persistence","2"
"Structure of paraventricular nucleus of thalamus","Hamartoma Syndrome, Multiple","Mental association","2"
"Amygdaloid structure","Stress Disorders, Traumatic","Anxiety","2"
"Midbrain structure","cortex bone disorders","Pain","2"
"Genus Hippocampus","cortex bone disorders","Tremor","2"
"Substantia innominata","cortex bone disorders","Social Role","2"
"Structure of diencephalon","Mild cognitive disorder","Impaired cognition","2"
"Genus Hippocampus","Brain Diseases","Insight","2"
"Cingulate Cortex","Hamartoma Syndrome, Multiple","Communication Response","2"
"Amygdaloid structure","Spinal Cord Diseases","Pain","2"
"BRAIN, HIPPOCAMPUS","Down Syndrome","Projection Defense Mechanism","2"
