"protein","disease","count"
"Protein Tyrosine Phosphatase","Depressive disorder","4"
"Corticotropin","Depressive disorder","4"
"Glutamate Decarboxylase","Syndrome","4"
"Kynurenine 3-monooxygenase","Depressive disorder","4"
"DNA, Mitochondrial","Mood Disorders","4"
"Enzymes","Mild cognitive disorder","4"
"Nerve Growth Factor","Ovarian Diseases","4"
"Heat-Shock Proteins","Spinal Cord Diseases","4"
"Amyloid Proteins","Lung diseases","4"
"Transferrin","Neurodegenerative Disorders","4"
"Dopamine Receptor","Retinal Diseases","4"
"Anthocyanins","cortex bone disorders","4"
"FABP3 protein, human","Stress Disorders, Traumatic","4"
"Receptor","Prune Belly Syndrome","4"
"Insulinase","cortex bone disorders","4"
"Rhodopsin","Capillary Leak Syndrome","4"
"APP protein, human","Feline urological syndrome","4"
"Oxidoreductase","Neurodegenerative Disorders","4"
"Artemin, human","Retinal Diseases","4"
"DNA Nucleotidylexotransferase","Neurotoxicity Syndromes","4"
"Transporter, Dopamine","Liver diseases","4"
"Erythropoietin","Niemann-Pick Disease, Type C","4"
"Neuregulin 1","Disorders, Mental","4"
"Albumins","Alzheimer's Disease","4"
"PRF1 protein, human","Retinal Diseases","4"
"Glutamate Decarboxylase","Depressive disorder","4"
"Granulocyte-Macrophage Colony-Stimulating Factor","Neurotoxicity Syndromes","4"
"Binding Protein","cortex bone disorders","4"
"Insulin Receptor","cortex bone disorders","4"
"safinamide","Parkinson Disease","4"
"NFIX protein, human","Spinal Cord Diseases","4"
"prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase), human","Parkinson Disease","4"
"Transcription Repressor/Corepressor","Huntington Disease","4"
"Poly ADP Ribose Polymerase","Spinal Cord Diseases","4"
"Cathepsin D","Neurotoxicity Syndromes","4"
"Acetylcysteine","Capillary malformation (disorder)","4"
"Adhesion protein","Autism Spectrum Disorders","4"
"RELN protein, human","Bloom Syndrome","4"
"Insulinase","Alzheimer's Disease","4"
"Calcium","Diseases of inner ear","4"
"Tacrine","Toxic liver disease","4"
"HD protein, human","Autistic Disorder","4"
"Scaffold protein","Brain Diseases","4"
"Peptides","Syndrome, Bloch-Sulzberger","4"
"NeuroD protein","Spinal Cord Diseases","4"
"Fluorescent Dyes","Spinal Cord Diseases","4"
"Vasoactive Intestinal Peptide","Disorder of pineal gland","4"
"Calcium","Pervasive Development Disorder","4"
"Staurosporine","Alzheimer's Disease","4"
"Transporter, Serotonin","Bipolar Disorder","4"
"Lipofuscin","cortex bone disorders","4"
"Neural Cell Adhesion Molecules","Autism Spectrum Disorders","4"
"Coenzyme I","Niemann-Pick Disease, Type C","4"
"Curcumin","Parkinsonian Disorders","4"
"Chemokine","Van der Woude syndrome","4"
"Cadherins","Autistic Disorder","4"
"Parvalbumins","Norrie disease","4"
"Glutaminase","Spinal Cord Diseases","4"
"Myelin basic protein","Syndrome","4"
"FABP3 protein, human","Post-Traumatic Stress Disorder","4"
"Fetal Proteins","Feline urological syndrome","4"
"Receptor, Inositol-1,4,5-triphosphate","Hamartoma Syndrome, Multiple","4"
"Peptide Hydrolases","Neurodegenerative Disorders","4"
"Glucagon","Liver diseases","4"
"HCRT protein, human","Major Depressive Disorder","4"
"Receptors, Metabotropic Glutamate","Recurrent disease","4"
"Factor, Transcription","Neurotoxicity Syndromes","4"
"Small Nuclear Ribonucleoprotein Associated Protein N","Feline urological syndrome","4"
"Glutamate Transporter","Spinal Cord Diseases","4"
"Methylene blue","Functional disorder","4"
"Delta-Like Protein 1, human","Depressive disorder","4"
"NG-Nitroarginine Methyl Ester","Neurotoxicity Syndromes","4"
"Glia Maturation Factor","Neurodegenerative Disorders","4"
"Ion Channel","Retinal Diseases","4"
"ARMET protein, human","Retinal Diseases","4"
"NOS1 protein, human","Macrophage Activation Syndrome","4"
"Proteins","Acquired Immunodeficiency Syndrome","4"
"Receptor","Prion Diseases","4"
"Glycogen Synthase Kinases","Neurodegenerative Disorders","4"
"Proteolytic Enzyme","Creutzfeldt-Jakob Disease, Sporadic","4"
"Glucose","Parkinson Disease","4"
"Superoxide Dismutase","Werner Syndrome","4"
"Eukaryotic Translation Initiation Factor 4E, human","Depressive disorder","4"
"Ubiquitinated Proteins","Neurodegenerative Disorders","4"
"Proteins","Neonatal maladjustment syndrome","4"
"Synucleins","Depressive disorder","4"
"HCRT Gene","Neurodegenerative Disorders","4"
"Polymerase","Mitochondrial Diseases","4"
"orexins","Neurodegenerative Disorders","4"
"Abnormal protein","Huntington Disease","4"
"RTN1 protein, human","Movement Disorders","4"
"GPER protein, human","Chronic myeloproliferative disorder","4"
"Glycoproteins","Virus Diseases","4"
"Protein Kinases","Depressive disorder","4"
"BTB/POZ Domain-Containing Adapter For CUL3-Mediated RhoA Degradation Protein 2","Alzheimer's Disease","4"
"Human Growth Hormone","Skin endocrine disorder","4"
"oncoprotein p21","Spinal Cord Diseases","4"
"Sodium Channel","Depressive disorder","4"
"Heparin","Syndrome, Bloch-Sulzberger","4"
"Peroxisome Proliferator-Activated Receptors","Huntington Disease","4"
"NADH Dehydrogenase (Ubiquinone)","cortex bone disorders","4"
"Enzymes","McCune-Albright Syndrome","4"
"Hexokinase","Neurodegenerative Disorders","4"
"Green Fluorescent Proteins","Renal glomerular disease","4"
"Adenylyl Cyclase 9","Sensitization (disorder)","4"
"Arginine","Feline urological syndrome","4"
"S100 calcium binding protein A10","Menkes Kinky Hair Syndrome","4"
"orexins","Major Depressive Disorder","4"
"Dopa","Disease Progression","4"
"Proprotein Convertase 2","Huntington Disease","4"
"STIM1 protein, human","Chorea Acanthocytosis Syndrome","4"
"Peptidylprolyl Isomerase","Alzheimer's Disease","4"
"Enzymes","Neurodevelopmental disorder","4"
"Polycomb-Group Proteins","Niemann-Pick Disease, Type C","4"
"Gonadorelin","Disease Progression","4"
"IDO1 gene","Depressive disorder","4"
"Glycogen Synthase Kinase 3","Fetal Alcohol Syndrome","4"
"Amyloid","Huntington Disease","4"
"fasudil","Spinal Cord Diseases","4"
"HP protein, human","Syndrome, Bloch-Sulzberger","4"
"Lysosomal enzyme","Functional disorder","4"
"Y, Neuropeptide","Disease Progression","4"
"NADP","Functional disorder","4"
"APP protein, human","Syndrome, Bloch-Sulzberger","4"
"moesin","Pigment dispersion syndrome (disorder)","4"
"Adiponectin","Opitz-Frias syndrome","4"
"HCRT Gene","Acute Chest Syndrome","4"
"Glutamate decarboxylase 65","Parkinson Disease","4"
"Eukaryotic Initiation Factor-4E","Depressive disorder","4"
"Luteinizing Hormone","Chronic myeloproliferative disorder","4"
"Opioid Peptide","Depressive disorder","4"
"Phospholipases A2","Alzheimer's Disease","4"
"Receptor, trkB","Retinal Diseases","4"
"O-6-Benzylguanine","Parkinson Disease","4"
"Bombesin","Pituitary Diseases","4"
"NTN1 protein, human","cortex bone disorders","4"
"Lipase, Lipoprotein","Liver diseases","4"
"Amyloid Proteins","Dementia due to Alzheimer's disease (disorder)","4"
"Neuropeptides","Muckle-Wells Syndrome","4"
"Arginine Vasopressin-Neurophysin II Preproprotein","Pituitary Diseases","4"
"NR1 protein, human","Psychotic Disorders","4"
"Fibroblast Growth Factor","Kallmann Syndrome","4"
"HTR2A protein, human","cortex bone disorders","4"
"GABA-B Receptor","Spinal Cord Diseases","4"
"Phosphotransferases","Gardner Syndrome","4"
"Myelin","Niemann-Pick Disease, Type C","4"
"Methyl-CpG-Binding Protein 2","Prader-Willi Syndrome","4"
"Erythropoietin","Syndrome, Bloch-Sulzberger","4"
"neuromelanin","Herpes zoster disease","4"
"NA K EXCHANGING ATPASE","Dystonia Disorders","4"
"Osteopontin","Mohr-Tranebjaerg syndrome","4"
"Glycoproteins","Liver diseases","4"
"myelination","Williams Syndrome","4"
"Granulocyte Colony-Stimulating Factor","Disease Progression","4"
"NADPH Oxidase","Functional disorder","4"
"Neural Cell Adhesion Molecules","Functional disorder","4"
"HD protein, human","Pick Disease of the Brain","4"
"Agrin","Retinal Diseases","4"
"JNK Mitogen-Activated Protein Kinases","cortex bone disorders","4"
"Myelin basic protein","Alzheimer's Disease","4"
"Thyrotropin-Releasing Hormone","Skin endocrine disorder","4"
"nucleolin protein, human","Lysosomal Storage Diseases","4"
"Sirolimus","Sensory Disorders","4"
"Protein Kinase C","Sensitization (disorder)","4"
"tuberous sclerosis complex 1 protein","Neurodevelopmental disorder","4"
"Growth Associated Protein 43","DISORDERS OF THE OPTIC NERVE","4"
"Synucleins","Huntington Disease","4"
"Caspase-3","Disease Progression","4"
"Receptor Protein-Tyrosine Kinases","Alzheimer's Disease","4"
"synthetic peptide","Neurotoxicity Syndromes","4"
"Interleukin-6","Pituitary Diseases","4"
"Myelin basic protein","DISORDERS OF THE OPTIC NERVE","4"
"Mineralocorticoid Receptor","Pituitary Diseases","4"
"Leucine","cortex bone disorders","4"
"Autoantibodies","Sjogren's Syndrome","4"
"Phospholipases A2","Neurotoxicity Syndromes","4"
"Proteins","Lysosomal Storage Diseases","4"
"Glial Fibrillary Acidic Protein","Prune Belly Syndrome","4"
"Myelin","Parkinson Disease","4"
"Chloramphenicol O-Acetyltransferase","Contact lens overwear syndrome (disorder)","4"
"Oxidoreductase","Functional disorder","4"
"Receptor","Colonic Diseases","4"
"Folic Acid","Pervasive Development Disorder","4"
"Somatostatin","Zellweger Syndrome","4"
"Angiotensin-2","Pituitary Diseases","4"
"NADP","Parkinson Disease","4"
"MAPK14 protein, human","Autism Spectrum Disorders","4"
"P53 Protein","Parkinson Disease","4"
"HCRT Gene","Huntington Disease","4"
"SILV protein, human","Retinal Diseases","4"
"Enkephalins","Thrombocytopenia-Absent Radius Syndrome","4"
"Integral Membrane Proteins","Alzheimer's Disease","4"
"Guanosine Triphosphate Phosphohydrolases","Functional disorder","4"
"Glutamate Receptor","Parkinson Disease","4"
"Proto-Oncogene Proteins c-fos","Esophageal Diseases","4"
"CD4 Antigens","Disease Progression","4"
"Reduced Glutathione","cortex bone disorders","4"
"Alanine","Motor Neuron Disease","4"
"Interleukin-18","cortex bone disorders","4"
"Factor, Transcription","Rett Syndrome","4"
"Neurotrophic Factor","neuropathology disease","4"
"beta N Acetylhexosaminidase","Lysosomal Storage Diseases","4"
"Interleukin-4","Alzheimer's Disease","4"
"Ubiquitin","Creutzfeldt-Jakob disease","4"
"Proto-Oncogene Proteins c-fos","Migraine Disorders","4"
"Heat-Shock Proteins","Disease Progression","4"
"Receptor","Peripheral Arterial Diseases","4"
"Dihydropyrimidine dehydrogenase","cortex bone disorders","4"
"AMP-Activated Protein Kinases","Disorder nervous system","4"
"protein TDP-43","Pick Disease of the Brain","4"
"Taurine","Depressive disorder","4"
"Tight Junction Proteins","Functional disorder","4"
"myelination","Sudden infant death syndrome","4"
"Gamma-Enolase","Lung diseases","4"
"Caffeine","Van der Woude syndrome","4"
"Proteome","Neurodegenerative Disorders","4"
"Chloramphenicol O-Acetyltransferase","Depressive disorder","4"
"Chloramphenicol O-Acetyltransferase","Down Syndrome","4"
"Mitochondrial Proteins","cortex bone disorders","4"
"Amphotericin B","Neurotoxicity Syndromes","4"
"Horseradish Peroxidase","Diseases of inner ear","4"
"Cu-Zn Superoxide Dismutase","Neurotoxicity Syndromes","4"
"Neurotrophin 3","Neurotoxicity Syndromes","4"
"Glial Fibrillary Acidic Protein","Van der Woude syndrome","4"
"Y, Neuropeptide","Central Nervous System Viral Diseases","4"
"Peptides","Disease of thymus gland","4"
"Growth Hormone","Rett Syndrome","4"
"Caspase-3","Depressive disorder","4"
"Immune Sera","Neurodegenerative Disorders","4"
"Glycolysis","Liver diseases","4"
"N-Methylaspartate","Pendred's syndrome","4"
"Mutant Proteins","Functional disorder","4"
"Calbindins","Renal glomerular disease","4"
"Receptor","Mixed anxiety and depressive disorder","4"
"Caspase-1","Spinal Cord Diseases","4"
"Kynurenine","Neurotoxicity Syndromes","4"
"RELN protein, human","Neurodegenerative Disorders","4"
"Glycogen Phosphorylase, Muscle Form","Alzheimer's Disease","4"
"Ciliary Neurotrophic Factor","Motor Neuron Disease","4"
"Antibodies","Diseases of inner ear","4"
"Prolow-Density Lipoprotein Receptor-Related Protein 1","Alzheimer's Disease","4"
"Cathepsin B","cortex bone disorders","4"
"Peroxisome Proliferator-Activated Receptors","Liver diseases","4"
"Hemin","Van der Woude syndrome","4"
"G-Protein-Coupled Receptors","Disease Progression","4"
"Vascular Endothelial Growth Factor A","Neurodegenerative Disorders","4"
"necdin","Niemann-Pick Disease, Type C","4"
"Ibuprofen","Parkinson Disease","4"
"HCRT Gene","Retinal Diseases","4"
"Glucagon-Like Peptide 1","Pituitary Diseases","4"
"Membrane Proteins","Syndrome","4"
"Human Leukocyte Interferon","Idiopathic pneumonia syndrome","4"
"Glutaminase","Hamartoma Syndrome, Multiple","4"
"Myelin Proteins","Spinal Cord Diseases","4"
"Nuclease Sensitive Element Binding Protein 1","CHARGE Syndrome","4"
"Thymidine Phosphorylase","Retinal Diseases","4"
"Corticotropin-like intermediate lobe peptide","Spinal Cord Diseases","4"
"Calcium","neuropathology disease","4"
"Melanocortins","Pituitary Diseases","4"
"Receptor","Klinefelter Syndrome","4"
"Brain-Derived Neurotrophic Factor","Lung diseases","4"
"Erythropoietin","DISORDERS OF THE OPTIC NERVE","4"
"Connective Tissue Growth Factor","Alzheimer's Disease","4"
"G-Protein-Coupled Receptors","Depressive disorder","4"
"Cloning Vectors","Virus Diseases","4"
"Dynorphins","Depressive disorder","4"
"Proteoglycan","DISORDERS OF THE OPTIC NERVE","4"
"Galanin","cortex bone disorders","4"
"PODXL protein, human","Disease Progression","4"
"Caffeine","Depressive disorder","4"
"Congenital secretory diarrhea, sodium type (disorder)","Sensitization (disorder)","4"
"Enzymes","Meconium Aspiration Syndrome","4"
"Taurine","cortex bone disorders","4"
"prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase), human","Neurotoxicity Syndromes","4"
"Peptides","Autistic Disorder","4"
"Neuropeptides","Recurrent disease","4"
"Neurokinin B","Spinal Cord Diseases","4"
"Phenylethanolamine N-Methyltransferase","Parkinson Disease","4"
"Autoreceptors","Parkinson Disease","4"
"Actin, Cytoplasmic 1","Alzheimer's Disease","4"
"RAMP1 gene","Migraine Disorders","4"
"Adenylate Cyclase","Retinal Diseases","4"
"CD14 Antigen","Van der Woude syndrome","4"
"Acetylcholinesterase","Andersen Syndrome","4"
"Corticotropin-Releasing Hormone","Post-Traumatic Stress Disorder","4"
"NADPH Oxidase","cortex bone disorders","4"
"Immunoglobulins","Autoimmune Diseases","4"
"Anthocyanins","Neurotoxicity Syndromes","4"
"Neostigmine","Liver diseases","4"
"tropomyosin-related kinase-B, human","Parkinson Disease","4"
"Selegiline","Neurotoxicity Syndromes","4"
"Genes","Testicular Diseases","4"
"Epidermal Growth Factor","Spinal Cord Diseases","4"
"SMAD3 protein, human","cortex bone disorders","4"
"Cyclic AMP-Dependent Protein Kinases","Spinal Cord Diseases","4"
"Protein Kinase C","Pervasive Development Disorder","4"
"Growth Factor","Diseases of inner ear","4"
"Beta-Adrenergic Receptor Kinase 1","Spinal Cord Diseases","4"
"ASCL1 protein, human","Retinal Diseases","4"
"Calmodulin Dependent Protein Kinase II","Sensitization (disorder)","4"
"Sirolimus","Mucocutaneous Lymph Node Syndrome","4"
"Calcium-Calmodulin-Dependent Protein Kinase Type 4","Retinal Diseases","4"
"Nerve Growth Factor","Depressive disorder","4"
"Proteins","Zellweger Syndrome","4"
"Enzymes","Canavan Disease","4"
"Proteins","Hallervorden-Spatz Syndrome","4"
"Peptides","Disorders, Mental","4"
"Adaptor Proteins, Signal Transducing","Alzheimer's Disease","4"
"Tryptophan","Depressive disorder","4"
"Kinesin","Mohr-Tranebjaerg syndrome","4"
"Heat-Shock Proteins","Liver diseases","4"
"CX3CR1 protein, human","Neurodegenerative Disorders","4"
"Protein Isoforms","Cognition Disorders","4"
"D-Serine","cortex bone disorders","4"
"Myelin","Van der Woude syndrome","4"
"Peripherin","Spinal Cord Diseases","4"
"Endorphins","Spinal Cord Diseases","4"
"DNA Transposable Elements","Neurodegenerative Disorders","4"
"HD protein, human","Obsessive-Compulsive Disorder","4"
"Interleukins","Functional disorder","4"
"PrPSc Proteins","Communicable Diseases","4"
"Mitochondrial Proteins","Parkinson Disease","4"
"Isoenzymes","cortex bone disorders","4"
"Transcription Coactivator","cortex bone disorders","4"
"Dickkopf-Related Protein 1","Alzheimer's Disease","4"
"Cancer/Testis Antigen","Moyamoya Disease","4"
"HCRT Gene","Alzheimer's Disease","4"
"Thioctic Acid","Neurotoxicity Syndromes","4"
"Glial Cell Line-Derived Neurotrophic Factor","Ovarian Diseases","4"
"Presenilin-1","cortex bone disorders","4"
"NOTCH1 protein, human","Functional disorder","4"
"Cholecystokinin","Depressive disorder","4"
"Calcineurin","Down Syndrome","4"
"KL protein, human","Alzheimer's Disease","4"
"Somatomedins","cortex bone disorders","4"
"Macrophage Inflammatory Protein-1","Alzheimer's Disease","4"
"Glucagon-Like Peptide 1","CNS disorder","4"
"Insulin-Like-Growth Factor I Receptor","Spinal Cord Diseases","4"
"Receptors, Nuclear","Neurodegenerative Disorders","4"
"HCRT protein, human","Neurodegenerative Disorders","4"
"Serotonin","DISORDERS OF THE OPTIC NERVE","4"
"Galactosidase","Alzheimer's Disease","4"
"Superoxide Dismutase","Williams Syndrome","4"
"Caspase-6","Disease Progression","4"
"Calcium","Autism Spectrum Disorders","4"
"Antibodies","Dystonia Disorders","4"
"Endopeptidases","Spinal Cord Diseases","4"
"Glial Fibrillary Acidic Protein","Syndrome","4"
"Monocyte Chemoattractant Protein-1","Neurotoxicity Syndromes","4"
"Protein Subunits","Parkinsonian Disorders","4"
"Parvalbumins","Recurrent disease","4"
"Estrogen Receptors","Disease Progression","4"
"Interferons","Demyelinating Diseases","4"
"11-beta-Hydroxysteroid Dehydrogenases","Liver diseases","4"
"G(M2) Ganglioside","Storage disease","4"
"Polyclonal antibody","Retinal Diseases","4"
"Mitogen Activated Protein Kinase p38","Spinal Cord Diseases","4"
"Albumin Human, USP","Neurotoxicity Syndromes","4"
"Interleukin-1","Functional disorder","4"
"NR1 protein, human","Functional disorder","4"
"Serotonin","Mucocutaneous Lymph Node Syndrome","4"
