"brainregion","disease","protein","count"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","PODXL protein, human","3"
"Thalamic structure","cortex bone disorders","Proto-Oncogene Proteins c-fos","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","G Protein-Activated Inward Rectifier Potassium Channel 4","3"
"Corpus striatum structure","Spinal Cord Diseases","Serotonin","3"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","GABA Receptor","3"
"Pituitary Gland","Pituitary Diseases","Neurokinin B","3"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Mitofusin-2","3"
"CA1 field","Depressive disorder","Parvalbumins","3"
"Basal Forebrain","Functional disorder","Nerve Growth Factor","3"
"Dorsal Nucleus Raphe","Major Depressive Disorder","Serotonin","3"
"Neocortex","Alzheimer's Disease","tau Proteins","3"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Ganciclovir","3"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Mitogen-Activated Protein Kinases","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Catalase","3"
"Structure of nucleus prepositus","Prion Diseases","Proteolytic Enzyme","3"
"Substantia nigra structure","Herpes zoster disease","Dopa","3"
"Genus Hippocampus","cortex bone disorders","Protein, Nestin","3"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Fragile X Mental Retardation Protein","3"
"Basal Forebrain","Alzheimer's Disease","Microtubule-Associated Proteins","3"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","pleiotrophin","3"
"Pituitary Gland","Thyroid Diseases","Leptin","3"
"Preoptic Areas","Nose Diseases","Gonadorelin","3"
"Genus Hippocampus","Neurotoxicity Syndromes","N-Methylaspartate","3"
"Pituitary Gland","Pituitary Diseases","Brain-Derived Neurotrophic Factor","3"
"Cortex, Primary Motor","cortex bone disorders","Horseradish Peroxidase","3"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","Immunoglobulins","3"
"Thalamic structure","cortex bone disorders","Prions","3"
"Somatosensory Cortex","Pervasive Development Disorder","DNA Replication Factor","3"
"Prefrontal Cortex","Depressive disorder","Glucocorticoid Receptor","3"
"Cerebral cortex","cortex bone disorders","Receptor 5, Metabotropic Glutamate","3"
"Thalamic structure","cortex bone disorders","Corticotropin-Releasing Hormone","3"
"Stria medullaris","Spinal Cord Diseases","PAG protein, human","3"
"CA2 field","Neurotoxicity Syndromes","Amyloid","3"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","Methotrexate","3"
"Structure of nucleus ambiguus","Esophageal Diseases","Nitric Oxide Synthase","3"
"Neocortex","Alzheimer's Disease","Enzymes","3"
"Medulla Oblongata","Spinal Cord Diseases","Thyrotropin-Releasing Hormone","3"
"Structure of nucleus infundibularis hypothalami","Chronic myeloproliferative disorder","Opioid Receptor","3"
"Pyramidal Cells","Alzheimer's Disease","Proteins","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","p73 protein, human","3"
"Cerebral cortex","Alzheimer's Disease","Glucose","3"
"Cerebral cortex","Alzheimer's Disease","Granulocyte-Macrophage Colony-Stimulating Factor","3"
"Anterodorsal nucleus of thalamus","Hypertensive disease","Apolipoprotein E","3"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","1-Phosphatidylinositol 3-Kinase","3"
"Pyramidal Cells","Functional disorder","Genes","3"
"Basal Forebrain","Neurodegenerative Disorders","Nerve Growth Factor","3"
"Brain Stem","Spinal Cord Diseases","Neuropeptides","3"
"Cerebral cortex","Spinal Cord Diseases","Antibodies","3"
"Cerebellum","Spinal Cord Diseases","Mannose-Binding Protein C","3"
"Structure of paraventricular nucleus","Spinal Cord Diseases","Horseradish Peroxidase","3"
"Metencephalon","Seasonal Affective Disorder","Methionine","3"
"Genus Hippocampus","cortex bone disorders","Platelet-Derived Growth Factor","3"
"Corpus striatum structure","Parkinson Disease","Enzymes","3"
"CA1 field","cortex bone disorders","Amyloid beta-Protein Precursor","3"
"Pyramidal Cells","Syndrome, Bloch-Sulzberger","Receptor","3"
"Bundle, Predorsal","Alzheimer's Disease","respiratory enzyme","3"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Cyclic AMP-Responsive DNA-Binding Protein","3"
"Basal Nucleus of Meynert","Retinal Diseases","Retinaldehyde","3"
"Brain Stem","Spinal Cord Diseases","Cu-Zn Superoxide Dismutase","3"
"BRAIN, HIPPOCAMPUS","Syndrome","Amyloid Proteins","3"
"Corpus striatum structure","cortex bone disorders","SH2D3C Gene","3"
"Structure of lateral mammillary nucleus","Pigment dispersion syndrome (disorder)","Alkaline Phosphatase","3"
"Structure of angular gyrus","Neurotoxicity Syndromes","angiogenin","3"
"Metencephalon","cortex bone disorders","Methionine","3"
"Nucleus fastigii","Fetal Alcohol Syndrome","Phenylalanine","3"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Tumor Necrosis Factor-alpha","3"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Neurotrophic Factor","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Stress-Activated Protein Kinase 1","3"
"Genus Hippocampus","cortex bone disorders","Estrogen Receptors","3"
"Cerebellum","cortex bone disorders","Protein Isoforms","3"
"Insula of Reil","cortex bone disorders","Proto-Oncogene Proteins c-fos","3"
"Pituitary Gland","Pituitary Diseases","Atrial Natriuretic Factor","3"
"Nucleus Accumbens","Depressive disorder","S100 calcium binding protein A10","3"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Phosphoinositide-3-Kinase, Catalytic, Beta Polypeptide","3"
"Medulla Oblongata","Hypertensive disease","Angiotensin II","3"
"Genus Hippocampus","cortex bone disorders","Matrix Metalloproteinase 9","3"
"Anterodorsal nucleus of thalamus","Functional disorder","Apolipoprotein E","3"
"Pyramidal Cells","cortex bone disorders","Wheat Germ Agglutinins","3"
"Genus Hippocampus","Neurotoxicity Syndromes","Proteins","3"
"Tectum Mesencephali","Retinal Diseases","Receptor","3"
"Central gray substance of midbrain","Spinal Cord Diseases","Tyrosine 3-Monooxygenase","3"
"Structure of lateral mammillary nucleus","Pigment dispersion syndrome (disorder)","moesin","3"
"Cerebellum","Depressive disorder","PODXL protein, human","3"
"Pituitary Gland","Pituitary Diseases","Serotonin receptor","3"
"Structure of locus ceruleus","Spinal Cord Diseases","Amyloid beta-Protein Precursor","3"
"CA3 field","Functional disorder","Methyl-CpG-Binding Protein 2","3"
"Substantia nigra structure","Parkinsonian Disorders","Transporter, Dopamine","3"
"Midbrain structure","Mood Disorders","Serotonin","3"
"Prefrontal Cortex","Functional disorder","Serotonin","3"
"Tectopontine fibers","Gilles de la Tourette syndrome","Thymidine Phosphorylase","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","SQSTM1 protein, human","3"
"Structure of medial preoptic nucleus","Pituitary Diseases","Gonadorelin","3"
"Corpus Callosum","Spinal Cord Diseases","Myelin basic protein","3"
"Prefrontal Cortex","cortex bone disorders","Serotonin","3"
"Brain Stem","Spinal Cord Diseases","polysialic acid","3"
"Corpus striatum structure","cortex bone disorders","Histidine Decarboxylase","3"
"central amygdalar nucleus","Van der Woude syndrome","IRF6 wt Allele","3"
"Paracentral Thalamic Nucleus","Syndrome, Bloch-Sulzberger","PODXL protein, human","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","alpha-Synuclein","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Glial Fibrillary Acidic Protein","3"
"Cerebellum","cortex bone disorders","Green Fluorescent Proteins","3"
"Anterodorsal nucleus of thalamus","cortex bone disorders","APP protein, human","3"
"Amygdaloid structure","cortex bone disorders","Corticotropin-Releasing Hormone","3"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Nitric Oxide Synthase","3"
"Structure of angular gyrus","Neurodegenerative Disorders","alanylglutamine","3"
"Cerebral cortex","cortex bone disorders","INSR protein, human","3"
"Lactotrophs","Pituitary Diseases","Receptors, Progesterone","3"
"Structure of rubrospinal tract","Van der Woude syndrome","HMGB1 Protein","3"
"CA2 field","Neurotoxicity Syndromes","Sodium Glutamate","3"
"Nucleus solitarius","Spinal Cord Diseases","Receptor","3"
"Motor Cortex","cortex bone disorders","Horseradish Peroxidase","3"
"Arbor vitae of cerebellum","Van der Woude syndrome","IRF6 wt Allele","3"
"Brain Stem","Spinal Cord Diseases","Wheat Germ Agglutinin-Horseradish Peroxidase Conjugate","3"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","cortex bone disorders","Horseradish Peroxidase","3"
"Amygdaloid structure","cortex bone disorders","Brain-Derived Neurotrophic Factor","3"
"Prefrontal Cortex","Autistic Disorder","Parvalbumins","3"
"Preoptic Areas","Van der Woude syndrome","IRF6 wt Allele","3"
"Genus Hippocampus","Syndrome","APP protein, human","3"
"Genus Hippocampus","cortex bone disorders","Serotonin receptor","3"
"Corpus striatum structure","Alzheimer's Disease","APP protein, human","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Insulin-Like Growth Factor I","3"
"Thalamic structure","cortex bone disorders","Uridine","3"
"Ventral Posterior Nucleus","Shy-Drager Syndrome","Arginine Vasopressin-Neurophysin II Preproprotein","3"
"BRAIN, HIPPOCAMPUS","Pervasive Development Disorder","Genes","3"
"Hypothalamic structure","Pituitary Diseases","Galanin","3"
"Anterodorsal nucleus of thalamus","Lewy Body Disease","Proteins","3"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","DNA","3"
"Brain Stem","Spinal Cord Diseases","Phosphotransferases","3"
"Ventral Posterior Nucleus","Parkinson Disease","Arginine Vasopressin-Neurophysin II Preproprotein","3"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Ferritin","3"
"Neostriatum","cortex bone disorders","SH2D3C Gene","3"
"Genus Hippocampus","cortex bone disorders","Mitofusin-2","3"
"Genus Hippocampus","cortex bone disorders","PIK3CG protein, human","3"
"Brain Stem","cortex bone disorders","APP protein, human","3"
"Cerebral cortex","Celiac Disease","Celiac Disease","3"
"Ventral Tegmental Area","Depressive disorder","Tubulin","3"
"BRAIN, HIPPOCAMPUS","Niemann-Pick Disease, Type C","Receptor","3"
"Structure of angular gyrus","Liver diseases","angiogenin","3"
"Anterodorsal nucleus of thalamus","Neurotoxicity Syndromes","Amyloid beta-Protein Precursor","3"
"Corpus striatum structure","Parkinson Disease","Aromatic-L-Amino-Acid Decarboxylases","3"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Neurotrophic Factor","3"
"Triangular Septal Nucleus","Timothy syndrome","Retinoblastoma Protein","3"
"Genus Hippocampus","Alzheimer's Disease","Synaptophysin","3"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","BECN1 protein, human","3"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Receptor 5, Metabotropic Glutamate","3"
"Genus Hippocampus","Fragile X Syndrome","Fragile X Mental Retardation Protein","3"
"Medulla Oblongata","Spinal Cord Diseases","Enkephalins","3"
"Anterodorsal nucleus of thalamus","Functional disorder","Proteins","3"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","N-Methylaspartate","3"
"Central Dorsal Nucleus","Niemann-Pick Disease, Type C","HP protein, human","3"
"Ventral Tegmental Area","Van der Woude syndrome","IRF6 wt Allele","3"
"Pyramidal Cells","cortex bone disorders","Protein Subunits","3"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Ferritin","3"
"Genus Hippocampus","Liver diseases","Genes","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Protein Phosphatase 2A","3"
"Neocortex","Fragile X Syndrome","NOS1 protein, human","3"
"Cerebral hemisphere structure (body structure)","Neurodegenerative Disorders","Neurotrophic Factor","3"
"Corpus Callosum","cortex bone disorders","Galectin 3","3"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Tumor Necrosis Factors","3"
"Corpus striatum structure","cortex bone disorders","Myelin","3"
"Medulla Oblongata","Spinal Cord Diseases","Calcitonin Gene-Related Peptide","3"
"Neostriatum","cortex bone disorders","Calbindins","3"
"Lobe, Frontal","Mild cognitive disorder","Colony-Stimulating Factors","3"
"Median eminence of hypothalamus","Pituitary Diseases","Neuropeptides","3"
"Structure of olfactory bulb","cortex bone disorders","Factor, Transcription","3"
"Structure of rubrospinal tract","cortex bone disorders","Glial Fibrillary Acidic Protein","3"
"Structure of rubrospinal tract","Depressive disorder","Receptor","3"
"Genus Hippocampus","cortex bone disorders","Granulocyte Colony-Stimulating Factor","3"
"Structure of angular gyrus","Van der Woude syndrome","IRF6 wt Allele","3"
"Cerebral cortex","cortex bone disorders","Cloning Vectors","3"
"Hypothalamic structure","Chronic myeloproliferative disorder","Endoglin","3"
"Cerebral cortex","Alzheimer's Disease","Amyloid beta-Peptides","3"
"Linear nucleus","cortex bone disorders","Cholecystokinin","3"
"Hypothalamic Area, Lateral","Pituitary Diseases","KISS1 protein, human","3"
"Lactotrophs","Pituitary Diseases","Androgen Receptor","3"
"Pars Compacta","Neurodegenerative Disorders","alpha-Synuclein","3"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Glycosylation End Products, Advanced","3"
"Cerebellum","cortex bone disorders","Nerve Growth Factor","3"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Synaptophysin","3"
"Brain Stem","cortex bone disorders","Amyloid beta-Protein Precursor","3"
"Cerebral hemisphere structure (body structure)","Neurodegenerative Disorders","APP protein, human","3"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","Proto-Oncogene Proteins c-fos","3"
"Lobe, Frontal","Spinal Cord Diseases","Serotonin","3"
"Tectopontine fibers","Retinal Diseases","Coenzyme I","3"
"Structure of paraventricular nucleus of thalamus","cortex bone disorders","Proteins","3"
"Pituitary Gland","Thyroid Diseases","Thyrotropin","3"
"Lobe, Frontal","Mild cognitive disorder","Granulocyte-Macrophage Colony-Stimulating Factor","3"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","Peptides","3"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","PIK3CG protein, human","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Protein Phosphatase 2A Regulatory Subunit PR53","3"
"Genus Hippocampus","cortex bone disorders","Dopamine and cAMP-Regulated Phosphoprotein 32","3"
"BRAIN, HIPPOCAMPUS","Mild cognitive disorder","Amyloid Proteins","3"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Binding Protein","3"
"Pyramidal Cells","Sweet Syndrome","Peptides","3"
"Medulla Oblongata","Van der Woude syndrome","IRF6 wt Allele","3"
"BRAIN, HIPPOCAMPUS","Syndrome, Bloch-Sulzberger","Basement Membrane-Specific Heparan Sulfate Proteoglycan Core Protein","3"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","tropomyosin-related kinase-B, human","3"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","APP protein, human","3"
"Structure of nucleus prepositus","Alzheimer's Disease","Receptor","3"
"Brain Stem","Spinal Cord Diseases","Chloride Channels","3"
"Cerebellum","Alzheimer's Disease","APP protein, human","3"
"Hypothalamic structure","Hypertensive disease","Leptin","3"
"Temporal Lobe","Alzheimer's Disease","GTP-Binding Proteins","3"
"BRAIN, HIPPOCAMPUS","Syndrome","Amyloid","3"
"Brain Stem","Spinal Cord Diseases","Aspartate-tRNA Ligase","3"
"Genus Hippocampus","cortex bone disorders","Galactosidase","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Delta-Like Protein 1, human","3"
"CA2 field","Pituitary Diseases","Receptor","3"
"Basal Forebrain","Disease Progression","Nerve Growth Factor","3"
"Genus Hippocampus","cortex bone disorders","Neuregulin 1","3"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Cloning Vectors","3"
"Dorsal Nucleus Raphe","Hypertensive disease","Serotonin","3"
"Basal Forebrain","cortex bone disorders","Parvalbumins","3"
"Substantia nigra structure","Parkinson Disease","DNA, Mitochondrial","3"
"Substantia nigra structure","Parkinson Disease","Enzymes","3"
"Lateral Septal Nucleus","Leigh Disease","Acetylcholinesterase","3"
"Genus Hippocampus","cortex bone disorders","Ciliary Neurotrophic Factor","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","atorvastatin","3"
"Cerebral cortex","cortex bone disorders","Heme","3"
"Hypothalamic structure","cortex bone disorders","Brain-Derived Neurotrophic Factor","3"
"Pituitary Gland","Liver diseases","Glucocorticoid Receptor","3"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Galactosidase","3"
"Cerebral cortex","Fragile X Syndrome","Glutamate Transporter","3"
"Substantia nigra structure","Van der Woude syndrome","Cytokine","3"
"Central gray substance of midbrain","Spinal Cord Diseases","Horseradish Peroxidase","3"
"Neostriatum","neuropathology disease","HD protein, human","3"
"Structure of locus ceruleus","Mild cognitive disorder","Chimerin 1","3"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","Serotonin","3"
"Anterodorsal nucleus of thalamus","cortex bone disorders","Amyloid","3"
"Prefrontal Cortex","Alzheimer's Disease","Amyloid Proteins","3"
"BRAIN, HIPPOCAMPUS","Pituitary Diseases","Human Growth Hormone","3"
"Basal Nucleus of Meynert","Spinal Cord Diseases","Protein Subunits","3"
"Anterodorsal nucleus of thalamus","Prion Diseases","Amyloid","3"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","CDK5 protein, human","3"
"Inferior Colliculus","Testicular Diseases","Luteinizing Hormone","3"
"Neostriatum","Depressive disorder","Receptor","3"
"CA1 field","Sweet Syndrome","Peptides","3"
"Brain Stem","cortex bone disorders","Peptides","3"
"Hypothalamus, Anterior","Van der Woude syndrome","IRF6 wt Allele","3"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Neuregulin 1","3"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Connective Tissue Growth Factor","3"
"Genus Hippocampus","cortex bone disorders","Galectin 3","3"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Aminoglutethimide","3"
"Dorsal Septal Nucleus","Alzheimer's Disease","APP protein, human","3"
"Hindbrain","Spinal Cord Diseases","Calcineurin","3"
