"brainregion","gene","count"
"Gonadotrophs","GNRH1 wt Allele","19"
"BRAIN, HIPPOCAMPUS","TNFRSF11A wt Allele","19"
"BRAIN, HIPPOCAMPUS","NTF3 wt Allele","19"
"Cerebral hemisphere structure (body structure)","ENG wt Allele","19"
"Corpus striatum structure","PARK2 gene","19"
"Pyramidal Cells","SCTR wt Allele","19"
"Structure of ventromedial hypothalamic nucleus","DST Gene","19"
"BRAIN, HIPPOCAMPUS","TLR2 wt Allele","19"
"Genus Hippocampus","GC wt Allele","19"
"Genus Hippocampus","MAP1LC3A Gene","19"
"Cerebral cortex","AIMP2 wt Allele","19"
"Basal Nucleus of Meynert","CUX1 wt Allele","19"
"Genus Hippocampus","MAP1LC3A wt Allele","19"
"Lobe, Frontal","Wild Type","19"
"BRAIN, HIPPOCAMPUS","CD36 wt Allele","19"
"Cerebellum","Retinoic Acid Response Element","19"
"Structure of angular gyrus","c-fos Genes","19"
"BRAIN, HIPPOCAMPUS","ASAH1 Gene","19"
"Pyramidal Cells","SNCG wt Allele","19"
"CA1 field","LEP Gene","19"
"Central gray substance of midbrain","TH gene","19"
"Cerebral cortex","NOS2 wt Allele","19"
"BRAIN, HIPPOCAMPUS","NTRK3 Gene","19"
"CA3 field","APP gene","19"
"Genus Hippocampus","GC Gene","19"
"Medulla Oblongata","HCRT Gene","19"
"Corpus striatum structure","SLC6A3 wt Allele","19"
"Brain Stem","CRH Gene","19"
"BRAIN, HIPPOCAMPUS","TNFRSF11A Gene","19"
"Genus Hippocampus","BECN1 Gene","19"
"Structure of suprachiasmatic nucleus","NLRP3 wt Allele","19"
"BRAIN, HIPPOCAMPUS","FAT wt Allele","19"
"Midbrain structure","MAPT wt Allele","19"
"Cerebral cortex","PSIP1 Gene","19"
"Cerebral cortex","SHH Gene","19"
"Neostriatum","SLC6A3 wt Allele","19"
"Neocortex","SET Gene","19"
"BRAIN, HIPPOCAMPUS","PINK1 gene","19"
"Structure of olfactory bulb","MAPT wt Allele","19"
"Structure of nucleus infundibularis hypothalami","ENG wt Allele","19"
"BRAIN, HIPPOCAMPUS","S100B Gene","19"
"BRAIN, HIPPOCAMPUS","PARP1 wt Allele","19"
"CA3 field","GFAP gene","19"
"Pontine nuclei","F2 gene","19"
"Genus Hippocampus","FOSB Gene","19"
"BRAIN, HIPPOCAMPUS","FAT1 gene","19"
"Pyramidal Cells","GRIN2B Gene","19"
"Pyramidal Cells","ELK3 wt Allele","18"
"Medulla Oblongata","CHAT Gene","18"
"BRAIN, HIPPOCAMPUS","ARHGEF5 wt Allele","18"
"BRAIN, HIPPOCAMPUS","SERPINA1 wt Allele","18"
"Amygdaloid structure","GHRL Gene","18"
"Structure of thalamic fasciculus","MAPT gene","18"
"Ventral Tegmental Area","DRD2 wt Allele","18"
"Structure of dentate gyrus","BDNF Gene","18"
"Amygdaloid structure","SST Gene","18"
"Cerebral cortex","CDK5R1 wt Allele","18"
"BRAIN, HIPPOCAMPUS","DNMT1 Gene","18"
"CA3 field","GRIN2B wt Allele","18"
"Amygdaloid structure","MAPT wt Allele","18"
"Cerebral cortex","NTF3 Gene","18"
"Amygdaloid structure","Genotype","18"
"Dorsal Nucleus Raphe","SLC6A4 wt Allele","18"
"Pyramidal Cells","PROC wt Allele","18"
"Pyramidal Cells","EPHB1 Gene","18"
"Cerebral cortex","NDOR1 Gene","18"
"Caudate nucleus structure","HP Gene","18"
"Structure of nucleus infundibularis hypothalami","Wild Type","18"
"BRAIN, HIPPOCAMPUS","FAS Gene","18"
"Inferior Colliculus","FASTK Gene","18"
"Genus Hippocampus","PSME3 wt Allele","18"
"Somatosensory Cortex","Wild Type","18"
"Area striata structure","ENG wt Allele","18"
"Corpus Callosum","FANCA wt Allele","18"
"Median eminence of hypothalamus","OXT Gene","18"
"Dorsal Nucleus Raphe","NR3C2 Gene","18"
"Basal Forebrain","c-fos Genes","18"
"Olfactory Nerve","GNRH1 Gene","18"
"Structure of paraventricular nucleus","AVP Gene","18"
"Purkinje Cells","ENG wt Allele","18"
"Cerebral cortex","Epidermal Growth Factor Receptor","18"
"Substantia nigra structure","CHAT Gene","18"
"Genus Hippocampus","HPSE Gene","18"
"Cerebral cortex","NDOR1 wt Allele","18"
"Nucleus solitarius","Chloramphenicol O-Acetyltransferase","18"
"Central gray substance of midbrain","CNR1 gene","18"
"Nucleus solitarius","CAT Gene","18"
"Basal Forebrain","HCRT Gene","18"
"Nucleus solitarius","Chloramphenicol Acetyl Transferase Gene","18"
"Lateral Parabrachial Nucleus","c-fos Genes","18"
"Genus Hippocampus","AKR1A1 wt Allele","18"
"BRAIN, HIPPOCAMPUS","NRG1 Gene","18"
"Nucleus Accumbens","DRD2 Gene","18"
"Cerebellum","Alleles","18"
"BRAIN, HIPPOCAMPUS","LINC01194 gene","18"
"Basal Nucleus of Meynert","TNFRSF1B wt Allele","18"
"Brain Stem","ATP8A2 wt Allele","18"
"Cingulate Cortex","c-fos Genes","18"
"Cerebral cortex","SLC1A2 Gene","18"
"Dorsal Nucleus Raphe","MRC1 Gene","18"
"Pyramidal Cells","GRIN2A wt Allele","18"
"BRAIN, HIPPOCAMPUS","HTATIP wt Allele","18"
"Nucleus Accumbens","CD69 wt Allele","18"
"BRAIN, HIPPOCAMPUS","STS wt Allele","18"
"Genus Hippocampus","MAP3K14 wt Allele","18"
"Median eminence of hypothalamus","SST Gene","18"
"Neostriatum","PARK2 gene","18"
"Nucleus Accumbens","HCRT Gene","18"
"Amygdaloid structure","CYP19A1 Gene","18"
"Cerebellar vermis structure","AKT1S1 wt Allele","18"
"CA1 field","MAPK1 wt Allele","18"
"Pyramidal Cells","ELK3 Gene","18"
"BRAIN, HIPPOCAMPUS","AGER Gene","18"
"Prefrontal Cortex","FST wt Allele","18"
"Amygdaloid structure","BDNF Gene","18"
"Prefrontal Cortex","RPL5 wt Allele","18"
"Superior colliculus of corpora quadrigemina","SH3PXD2A wt Allele","18"
"BRAIN, HIPPOCAMPUS","FASN wt Allele","18"
"Brain Stem","AGT Gene","18"
"BRAIN, HIPPOCAMPUS","POLE Gene","18"
"CA2 field","Estrogen Receptors","18"
"Cerebellum","IGF1 Gene","18"
"Pyramidal Cells","VIP Gene","18"
"Globus Pallidus","CHAT Gene","18"
"Structure of rubrospinal tract","Wild Type","18"
"Hypothalamic structure","ESR1 wt Allele","18"
"Prosencephalon","INS gene","18"
"Hypothalamic structure","Aromatase","18"
"Hypothalamus, Anterior","GNRH1 Gene","18"
"BRAIN, HIPPOCAMPUS","SHANK3 Gene","18"
"CA3 field","Tumor Necrosis Factor-alpha","18"
"Area striata structure","SST Gene","18"
"Organum Vasculosum Laminae Terminalis","GNRH1 wt Allele","18"
"Pars nervosa of hypophysis","AKT1S1 wt Allele","18"
"Genus Hippocampus","CLU Gene","18"
"Temporal Lobe","Genes","18"
"BRAIN, HIPPOCAMPUS","GCLC wt Allele","18"
"Basal Nucleus of Meynert","PSIP1 Gene","18"
"Dorsal Nucleus Raphe","FASTK Gene","18"
"Cerebral cortex","TF gene","18"
"Pituitary Gland","GHRH Gene","18"
"Neostriatum","HTT wt Allele","18"
"BRAIN, HIPPOCAMPUS","SERPINA1 gene","18"
"Brain Stem","NPY Gene","18"
"Cortex, Primary Motor","LMNA wt Allele","18"
"Structure of angular gyrus","HCRT Gene","18"
"Pituitary Gland","PBX1 wt Allele","18"
"Genus Hippocampus","HPSE wt Allele","18"
"CA1 field","CDKN2A wt Allele","18"
"Cerebral cortex","POMT1 gene","18"
"Preoptic Areas","SH3PXD2A wt Allele","17"
"Genus Hippocampus","HTT gene","17"
"Midbrain structure","LRRK2 gene","17"
"Pyramidal Cells","PODXL Gene","17"
"Neostriatum","GDNF Gene","17"
"Cerebellum","POSTN Gene","17"
"Caudate nucleus structure","HPR wt Allele","17"
"Pyramidal Tracts","FASTK Gene","17"
"Dorsal Nucleus Raphe","CD69 wt Allele","17"
"CA2 field","Chloramphenicol O-Acetyltransferase","17"
"Structure of prerubral area","LDLR wt Allele","17"
"Central Dorsal Nucleus","HPR wt Allele","17"
"Structure of nucleus of the tegmented field of Forel","LDLR wt Allele","17"
"Hypothalamic structure","GNAI1 Gene","17"
"Nucleus solitarius","NPY Gene","17"
"Structure of prerubral area","CFH wt Allele","17"
"Entire substantia nigra","TH gene","17"
"Amygdaloid structure","FASTK Gene","17"
"CA1 field","GRIN2A Gene","17"
"Structure of locus ceruleus","CRH wt Allele","17"
"Entire medulla oblongata","C3 Gene","17"
"Amygdaloid structure","AVP Gene","17"
"BRAIN, HIPPOCAMPUS","INSR Gene","17"
"CA2 field","Chloramphenicol Acetyl Transferase Gene","17"
"BRAIN, HIPPOCAMPUS","RPS19 wt Allele","17"
"BRAIN, HIPPOCAMPUS","SLC7A5 Gene","17"
"Cerebral cortex","C9orf72 Gene","17"
"Midbrain structure","Tumor Necrosis Factor-alpha","17"
"BRAIN, HIPPOCAMPUS","F2R wt Allele","17"
"Midbrain structure","SLC6A4 gene","17"
"BRAIN, HIPPOCAMPUS","DNTT wt Allele","17"
"BRAIN, HIPPOCAMPUS","FMR1 gene","17"
"Genus Hippocampus","HMGB1 Gene","17"
"Cerebral cortex","FOXG1 Gene","17"
"Paracentral Thalamic Nucleus","AKT1S1 wt Allele","17"
"Corpus striatum structure","Promoter","17"
"Ventral Tegmental Area","CD69 wt Allele","17"
"Cerebral cortex","CDK5R1 Gene","17"
"Cerebral cortex","SOD1 gene","17"
"Cerebral cortex","F3 Gene","17"
"Neocortex","Chloramphenicol O-Acetyltransferase","17"
"Corpus Callosum","Chloramphenicol O-Acetyltransferase","17"
"Cerebellum","POSTN wt Allele","17"
"BRAIN, HIPPOCAMPUS","ENO2 wt Allele","17"
"Cerebellum","Genome","17"
"Genus Hippocampus","HMOX1 Gene","17"
"mossy fiber","BDNF Gene","17"
"Hypothalamic structure","CAT Gene","17"
"Neocortex","Chloramphenicol Acetyl Transferase Gene","17"
"Cerebral cortex","BECN1 Gene","17"
"BRAIN, HIPPOCAMPUS","KL Gene","17"
"CA2 field","CAT Gene","17"
"CA1 field","CHAT Gene","17"
"Ventral Tegmental Area","PITX2 wt Allele","17"
"Neostriatum","NTRK1 Gene","17"
"Pyramidal Cells","PODXL wt Allele","17"
"Genus Hippocampus","CRH Gene","17"
"central amygdalar nucleus","OXT Gene","17"
"Lobe, Frontal","CD69 wt Allele","17"
"Structure of olfactory bulb","LEP wt Allele","17"
"Neocortex","CAT Gene","17"
"Corpus striatum structure","GDNF Gene","17"
"Hypothalamic structure","EPO Gene","17"
"Hypothalamic Area, Lateral","NPY Gene","17"
"Cerebral cortex","SIRT1 Gene","17"
"Purkinje Cells","SET Gene","17"
"Nucleus solitarius","GRP Gene","17"
"BRAIN, HIPPOCAMPUS","SLC7A5 wt Allele","17"
"Cerebral cortex","SH2D3C Gene","17"
"BRAIN, HIPPOCAMPUS","CRHR1 Gene","17"
"Pyramidal Cells","PROC Gene","17"
"Cerebral cortex","PRNP gene","17"
"Cerebellum","C3 Gene","17"
"Central Dorsal Nucleus","HP Gene","17"
"Midbrain structure","FASTK Gene","17"
"Genus Hippocampus","FOXD3 wt Allele","17"
"Genus Hippocampus","GRN Gene","17"
"Pyramidal Cells","PSEN1 gene","17"
"Brain Stem","GFAP gene","17"
"BRAIN, HIPPOCAMPUS","APC wt Allele","17"
"Midbrain structure","FOXA2 Gene","17"
"Auditory Hair Cell","ATOH1 Gene","17"
"Pontine structure","TH gene","17"
"Thalamic structure","PEMT wt Allele","17"
"Hypothalamic structure","EPO wt Allele","17"
"Genus Hippocampus","NEUROD1 Gene","17"
"Pyramidal Cells","RANGAP1 wt Allele","17"
"Genus Hippocampus","GRM5 Gene","17"
"Amygdaloid structure","estrogen receptor alpha, human","17"
"Cerebral hemisphere structure (body structure)","PSEN1 gene","17"
"Pulvinar structure","Chloramphenicol Acetyl Transferase Gene","17"
"Structure of supraoptic nucleus","AVP wt Allele","17"
"Area striata structure","FASTK Gene","17"
"Pyramidal Cells","CDKN2A wt Allele","17"
"Pulvinar structure","Chloramphenicol O-Acetyltransferase","17"
"Genus Hippocampus","NTF3 Gene","17"
"Pyramidal Cells","KRT17 wt Allele","17"
"Posterior cerebral commissure","AKT1S1 wt Allele","17"
"BRAIN, HIPPOCAMPUS","HOXA10 wt Allele","17"
"CA3 field","TNF Gene","17"
"Preoptic Areas","Genes","17"
"Cerebral cortex","TNFRSF1A wt Allele","17"
"Prosencephalon","ENG wt Allele","17"
"BRAIN, HIPPOCAMPUS","TFRC wt Allele","17"
"Structure of nucleus of the tegmented field of Forel","CFH wt Allele","17"
"Structure of nucleus of the tegmented field of Forel","FH gene","17"
"Hypothalamic structure","GNAI1 wt Allele","17"
"Caudate nucleus structure","DLC1 wt Allele","17"
"Structure of locus ceruleus","PHOX2B gene","17"
"Amygdaloid structure","Genes, Immediate-Early","17"
"Genus Hippocampus","SUB1 Gene","17"
"BRAIN, HIPPOCAMPUS","KL wt Allele","17"
"Somatosensory Cortex","PPFIBP1 wt Allele","17"
"Genus Hippocampus","FOSB wt Allele","17"
"Lateral occipital gyrus","TNFRSF11A wt Allele","17"
"Corpus Callosum","Chloramphenicol Acetyl Transferase Gene","17"
"Median preoptic nucleus","c-fos Genes","17"
"Brain Stem","Promoter","17"
"Brain Stem","OXT Gene","17"
"Pulvinar structure","CAT Gene","17"
"Cerebral cortex","SH2D3C wt Allele","17"
"Structure of prerubral area","FH gene","17"
"Lobe, Frontal","AKT1S1 wt Allele","17"
"Nucleus solitarius","SH2D1A wt Allele","17"
"Cerebral cortex","CDH2 Gene","17"
"Corpus Callosum","CAT Gene","17"
"Lateral occipital gyrus","TNFRSF11A Gene","17"
"Cerebellum","CNR1 gene","17"
"Cerebral cortex","Reading Frames","17"
"Basal Ganglia","CD69 wt Allele","17"
"BRAIN, HIPPOCAMPUS","MAPT gene","17"
"Hypothalamic structure","SET Gene","17"
"Central Dorsal Nucleus","DLC1 wt Allele","17"
"Nucleus solitarius","SH2D1A gene","17"
"BRAIN, HIPPOCAMPUS","KNG1 Gene","17"
"CA2 field","EREG wt Allele","16"
"CA2 field","ESR1 wt Allele","16"
"CA1 field","ELANE wt Allele","16"
"Sensorimotor Cortex","Chloramphenicol Acetyl Transferase Gene","16"
"Hypothalamic Area, Lateral","CRH Gene","16"
"Prefrontal Cortex","Heterozygote","16"
"Pyramidal Cells","PSEN1 wt Allele","16"
"Genus Hippocampus","HP Gene","16"
"Somatotrophs","GGH wt Allele","16"
"Pyramidal Cells","SST wt Allele","16"
"CA1 field","RELN Gene","16"
"Cerebellar cortex structure","CAT Gene","16"
"Olfactory Cortex","AKT1S1 wt Allele","16"
"Cerebral cortex","SDHB wt Allele","16"
"CA2 field","SNCG wt Allele","16"
"Nucleus solitarius","LEPR Gene","16"
"Hypothalamic structure","Chloramphenicol O-Acetyltransferase","16"
"BRAIN, HIPPOCAMPUS","PRF1 wt Allele","16"
"Inferior olivary nucleus","CAT Gene","16"
"Cerebellum","MPZ gene","16"
"Cerebral cortex","POLE Gene","16"
"BRAIN, HIPPOCAMPUS","DDIT3 Gene","16"
"Substantia nigra structure","LRRK2 gene","16"
"Somatotrophs","GH1 Gene","16"
"Cerebellum","CRH Gene","16"
"Hypothalamic structure","Chloramphenicol Acetyl Transferase Gene","16"
"Paracentral sulcus","PODXL wt Allele","16"
"Basal Forebrain","Genes","16"
"CA2 field","SCTR wt Allele","16"
"Midbrain structure","BDNF Gene","16"
"Paracentral sulcus","PODXL Gene","16"
"Cerebellum","TP53 wt Allele","16"
"BRAIN, HIPPOCAMPUS","Replication Origin","16"
"Structure of subthalamic nucleus","LMNA wt Allele","16"
"Structure of dentate gyrus","CD69 wt Allele","16"
"Amygdaloid structure","ESR1 Gene","16"
"Cerebral hemisphere structure (body structure)","ATP8A2 wt Allele","16"
"Genus Hippocampus","LacZ Genes","16"
"Cerebellum","SOD1 wt Allele","16"
"Structure of terminal stria nuclei of preoptic region","CYP19A1 Gene","16"
"Structure of medial preoptic nucleus","TNF Gene","16"
"CA1 field","Promoter","16"
"BRAIN, HIPPOCAMPUS","Epidermal Growth Factor Receptor","16"
"Amygdaloid structure","Chloramphenicol O-Acetyltransferase","16"
"Preoptic Areas","CYP19A1 Gene","16"
"Neostriatum","PITX2 wt Allele","16"
"Genus Hippocampus","PROC wt Allele","16"
"Structure of olfactory bulb","Wild Type","16"
"Anterodorsal nucleus of thalamus","FANCA wt Allele","16"
"BRAIN, HIPPOCAMPUS","EHMT1 Gene","16"
"BRAIN, HIPPOCAMPUS","Response Elements","16"
"CA1 field","NDOR1 Gene","16"
"BRAIN, HIPPOCAMPUS","EPHA3 Gene","16"
"Structure of angular gyrus","PLOD1 gene","16"
"Superior colliculus of corpora quadrigemina","CHAT Gene","16"
"Nucleus Basalis Magnocellularis","NGF Gene","16"
"Cerebellum","PSIP1 Gene","16"
"BRAIN, HIPPOCAMPUS","DDIT3 wt Allele","16"
"Structure of terminal stria nuclei of preoptic region","Aromatase","16"
"Ventral Tegmental Area","GNAI1 Gene","16"
"CA1 field","NPY Gene","16"
"CA1 field","RASA1 wt Allele","16"
"Substantia nigra structure","NOS2 Gene","16"
"Sensorimotor Cortex","Chloramphenicol O-Acetyltransferase","16"
"Cerebral hemisphere structure (body structure)","CAT Gene","16"
"Nucleus Accumbens","FOSB Gene","16"
"Cerebellum","CUX1 wt Allele","16"
"Sensorimotor Cortex","CAT Gene","16"
"BRAIN, HIPPOCAMPUS","Reading Frames","16"
"Dorsal Nucleus Raphe","Genes","16"
"Corpus striatum structure","NTRK1 Gene","16"
"Genus Hippocampus","EREG wt Allele","16"
"Medulla Oblongata","OXT Gene","16"
"Substantia nigra structure","NOS2 wt Allele","16"
"Paracentral sulcus","KRT17 wt Allele","16"
"Cerebellum","FBN1 wt Allele","16"
"Structure of locus ceruleus","PITX2 wt Allele","16"
"Purkinje Cells","TH gene","16"
"Genus Hippocampus","AR wt Allele","16"
"Thalamic structure","SH2D3C wt Allele","16"
"Cerebral cortex","ASAH1 Gene","16"
"BRAIN, HIPPOCAMPUS","GH1 Gene","16"
"Caudate nucleus structure","TH gene","16"
"Corpus striatum structure","PITX2 wt Allele","16"
"Structure of nucleus infundibularis hypothalami","AKT1S1 wt Allele","16"
"Cortex, Primary Motor","FASTK Gene","16"
"Lamina Terminalis","c-fos Genes","16"
"Cerebellum","TP53 gene","16"
"Structure of terminal stria nuclei of preoptic region","AVP Gene","16"
"Structure of middle cerebellar peduncle","CAPG wt Allele","16"
"Purkinje Cells","SDHB wt Allele","16"
"Prefrontal Cortex","SLC6A4 gene","16"
"Interpeduncular nucleus","HSPG2 Gene","16"
"Hypothalamus, Anterior","GNRH1 wt Allele","16"
"Prosencephalon","Genes, Immediate-Early","16"
"BRAIN, HIPPOCAMPUS","JAK2 gene","16"
"Corpus striatum structure","NTRK2 Gene","16"
"Paracentral sulcus","PROC wt Allele","16"
"Neostriatum","SH2D3C Gene","16"
"Inferior olivary nucleus","Chloramphenicol O-Acetyltransferase","16"
"BRAIN, HIPPOCAMPUS","S100A10 Gene","16"
"Genus Hippocampus","VEGFA Gene","16"
"Cerebral cortex","DHPS wt Allele","16"
"BRAIN, HIPPOCAMPUS","GLS2 Gene","16"
"Medulla Oblongata","Genes","16"
"CA2 field","estrogen receptor alpha, human","16"
"Neostriatum","SH2D3C wt Allele","16"
"Genus Hippocampus","SLC6A4 gene","16"
"Genus Hippocampus","ESR1 wt Allele","16"
"Cerebral cortex","Haploinsufficiency","16"
"BRAIN, HIPPOCAMPUS","LTB Gene","16"
"BRAIN, HIPPOCAMPUS","ITGAM wt Allele","16"
"Amygdaloid structure","CAT Gene","16"
"Bundle, Predorsal","HTT gene","16"
"BRAIN, HIPPOCAMPUS","DST wt Allele","16"
"CA2 field","ESR1 Gene","16"
"Cerebellum","AKR1A1 wt Allele","16"
"Corpus striatum structure","MAP Kinase Gene","16"
"Anterodorsal nucleus of thalamus","HTT wt Allele","16"
"Structure of middle cerebellar peduncle","CAPG Gene","16"
"Pars Compacta","SCG2 Gene","16"
"BRAIN, HIPPOCAMPUS","GNAI1 wt Allele","16"
"Genus Hippocampus","GPER1 gene","16"
"Hypothalamic structure","SH3PXD2A wt Allele","16"
"Paracentral sulcus","PROC Gene","16"
"Cerebellum","TNFRSF1B wt Allele","16"
"Cortex, Primary Motor","F5 gene","16"
"CA1 field","ELANE Gene","16"
"Gyrus Cinguli","Genes","16"
"Cerebral cortex","VEGFA Gene","16"
"Cerebellum","GBA wt Allele","16"
"Purkinje Cells","IKBKG wt Allele","16"
"Hypothalamic structure","CYP19A1 Gene","16"
"BRAIN, HIPPOCAMPUS","S100A8 wt Allele","16"
"CA1 field","RASA1 Gene","16"
"Interpeduncular nucleus","HSPG2 wt Allele","16"
"Central gray substance of midbrain","PAG1 wt Allele","16"
"Cerebellum","Exons","16"
"Hypothalamic Area, Lateral","ANG Gene","16"
"Inferior olivary nucleus","Chloramphenicol Acetyl Transferase Gene","16"
"Anterodorsal nucleus of thalamus","BDNF Gene","16"
"BRAIN, HIPPOCAMPUS","GNAI1 Gene","16"
"Cerebellum","SQSTM1 wt Allele","16"
"BRAIN, HIPPOCAMPUS","ABL2 Gene","16"
"Cortex, Primary Motor","SET Gene","16"
"Genus Hippocampus","VEGFA wt Allele","16"
"BRAIN, HIPPOCAMPUS","POMC wt Allele","16"
"Pituitary Gland","ENG wt Allele","16"
"Nucleus Accumbens","DRD2 wt Allele","16"
"Central insular sulcus","Genome","16"
"Structure of medial preoptic nucleus","Tumor Necrosis Factor-alpha","16"
"Purkinje Cells","RELN Gene","16"
"BRAIN, HIPPOCAMPUS","GGH wt Allele","16"
"Structure of suprachiasmatic nucleus","PLOD1 gene","16"
"Structure of area postrema","ANG Gene","16"
"Cerebellum","PRRT2 wt Allele","16"
"Structure of medial preoptic nucleus","TH gene","16"
"Structure of nucleus infundibularis hypothalami","Long Interspersed Element","16"
"Hypothalamic Area, Lateral","Genes","16"
"Corpus striatum structure","HTT wt Allele","16"
"CA3 field","SYP Gene","16"
"Genus Hippocampus","SUB1 wt Allele","16"
"CA1 field","NDOR1 wt Allele","16"
"Cerebral cortex","ASAH1 wt Allele","16"
"Cortex, Primary Motor","CD69 wt Allele","16"
"Structure of rubrospinal tract","CNR1 gene","16"
"Thalamic structure","SH2D3C Gene","16"
"Cerebellum","PITX2 wt Allele","16"
"Basal Nucleus of Meynert","NGFR Gene","16"
"Barrington's Nucleus","CRH Gene","16"
"BRAIN, HIPPOCAMPUS","CALCA Gene","16"
"Primary Auditory Cortex","FMOD wt Allele","16"
"Cerebral hemisphere structure (body structure)","PIK3CA wt Allele","16"
"Linear nucleus","c-fos Genes","16"
"Central insular sulcus","Enhancer of transcription","16"
"Thalamic structure","MAPT wt Allele","15"
"Cerebellar cortex structure","Chloramphenicol Acetyl Transferase Gene","15"
"Nucleus solitarius","AGT Gene","15"
"Genus Hippocampus","TNF wt Allele","15"
"Cerebral cortex","VEGFA wt Allele","15"
"Posterior cerebral commissure","KRAS wt Allele","15"
"CA3 field","ATP8A2 wt Allele","15"
"Structure of nucleus infundibularis hypothalami","OXT Gene","15"
"Cerebral cortex","CDKN1A Gene","15"
"Nucleus of optic tract","NLRP3 wt Allele","15"
"Nucleus Accumbens","CHAT Gene","15"
"Amygdaloid structure","CHAT Gene","15"
"Medial Dorsal Nucleus","ATP7A wt Allele","15"
"Pyramidal Cells","SYP Gene","15"
"Basal Forebrain","SST Gene","15"
"CA1 field","GRM5 Gene","15"
"Purkinje Cells","CDKN2A gene","15"
"Prefrontal Cortex","NTRK2 Gene","15"
"BRAIN, HIPPOCAMPUS","TYMS wt Allele","15"
"Cerebral hemisphere structure (body structure)","BDNF Gene","15"
"BRAIN, HIPPOCAMPUS","GLS2 wt Allele","15"
"BRAIN, HIPPOCAMPUS","RIPK1 Gene","15"
"Midbrain structure","SH3PXD2A wt Allele","15"
"Medulla Oblongata","PHOX2B wt Allele","15"
"Structure of locus ceruleus","PI3 wt Allele","15"
