"mental","disease","count"
"Insight","Major Depressive Disorder","5"
"Object Recognition","Functional disorder","5"
"Fasting","DISORDERS OF THE OPTIC NERVE","5"
"Confusion","Alzheimer's Disease","5"
"Pain","Dystonia Disorders","5"
"Verbal impairment","Autism Spectrum Disorders","5"
"Availability of","Cognition Disorders","5"
"Touch sensation","Peripheral Arterial Diseases","5"
"Emotional Strain","Functional disorder","5"
"Reproduction","Spinal Cord Diseases","5"
"Awareness","Disorders, Mental","5"
"Social Role","Saethre-Chotzen Syndrome","5"
"Disputes","Spinal Cord Diseases","5"
"Success","Neurotoxicity Syndromes","5"
"Stress, Psychological","Mood Disorders","5"
"Hyperphagia","Syndrome","5"
"Mental association","Gilles de la Tourette syndrome","5"
"Ability to interact with others","Depressive disorder","5"
"Social Role","Disorder of eye","5"
"Akinesia","Neurodegenerative Disorders","5"
"Communication Response","Degenerative disorder","5"
"Emotional Strain","Seasonal Affective Disorder","5"
"Communication","Disease Progression","5"
"DEPRESSION MENTAL","Chronic Fatigue Syndrome","5"
"smell perception","Oculorespiratory syndrome","5"
"Exercise","Disorder nervous system","5"
"Impaired cognition","Virus Diseases","5"
"Aggressive behavior","Hamartoma Syndrome, Multiple","5"
"Pain","Chronic disease","5"
"Memory, Short-Term","Cognition Disorders","5"
"Communication Response","Bloom Syndrome","5"
"Play","Demyelinating Diseases","5"
"Disputes","Functional disorder","5"
"Coitus","Metabolic Diseases","5"
"Amnesia","Wernicke-Korsakoff Syndrome","5"
"Pain","Temporomandibular Joint Dysfunction Syndrome","5"
"Cognition","Memory Disorders","5"
"Psychological inhibition","Delirium, Dementia, Amnestic, Cognitive Disorders","5"
"Practices (Psychology)","Alzheimer's Disease","5"
"Addictive Behavior","Neurotoxicity Syndromes","5"
"Cocaine","Christ-Siemens-Touraine syndrome","5"
"Memory","Nail-Patella Syndrome","5"
"Exercise","Disorders, Mental","5"
"Behavior","Stiff-Person Syndrome","5"
"Communication Response","Cat-Scratch Disease","5"
"Sleep","Prader-Willi Syndrome","5"
"Powers (Psychology)","Spinal Cord Diseases","5"
"Visual Fields","DISORDERS OF THE OPTIC NERVE","5"
"Comprehension","Metabolic Syndrome X","5"
"Feeding Activity","Metabolic Diseases","5"
"Drug Dependence","Mood Disorders","5"
"Social Role","Stiff-Person Syndrome","5"
"active state","cortex bone disorders","5"
"Seizures","Lafora Disease","5"
"Seizures","Down Syndrome","5"
"Success","Depressive disorder","5"
"Memory","Motor Neuron Disease","5"
"Attribution","Neurodegenerative Disorders","5"
"Factors, Risk","Lewy Body Disease","5"
"Consensus","Syndrome","5"
"Period, Critical (Psychology)","Depressive disorder","5"
"pleasurable emotion","Major Depressive Disorder","5"
"prepulse inhibition activity","Depressive disorder","5"
"biological adaptation to stress","Stress Disorders, Traumatic","5"
"Mental association","Norrie disease","5"
"Comprehension","Liver diseases","5"
"Comatose","Functional disorder","5"
"Hallucinations","Alzheimer's Disease","5"
"Like","Shwachman syndrome","5"
"Craving","Depressive disorder","5"
"Communication Response","Oropharyngeal disorders","5"
"Period, Critical (Psychology)","Neurodegenerative Disorders","5"
"Communication Response","Mobius Syndrome","5"
"sharing","Autism Spectrum Disorders","5"
"taste perception","Hamartoma Syndrome, Multiple","5"
"Mental Processes","Neurodegenerative Disorders","5"
"Success","Syndrome","5"
"Performance","Lewy Body Disease","5"
"Play","CNS disorder","5"
"Sex Behavior","Penile Diseases","5"
"Forgetful","Mild cognitive disorder","5"
"Substance Abuse Problems","Mood Disorders","5"
"Projection Defense Mechanism","Dyskinetic syndrome","5"
"Sex Behavior","Metabolic Diseases","5"
"Availability of","Mild cognitive disorder","5"
"Mood Disorders","Autism Spectrum Disorders","5"
"DEPRESSION MENTAL","Motor Neuron Disease","5"
"Speech","Neurodevelopmental disorder","5"
"Vision","Spinal Cord Diseases","5"
"Involvement with","Inflammatory disorder","5"
"Feedback - system communication","Thyroid Diseases","5"
"Cognitive information processing","Disorder nervous system","5"
"Projection Defense Mechanism","Leigh Disease","5"
"Comprehension","Sensitization (disorder)","5"
"Autistic Disorder","Language Disorders","5"
"Psychological inhibition","Developmental delay (disorder)","5"
"Selective inattention","cortex bone disorders","5"
"Exercise","Gilles de la Tourette syndrome","5"
"Impaired cognition","Spinal Cord Diseases","5"
"Like","Herpes zoster disease","5"
"Recognition (Psychology)","Disease Progression","5"
"Consideration","Neurotoxicity Syndromes","5"
"Like","Phantom limb syndrome","5"
"Memory, Long-Term","Neurodegenerative Disorders","5"
"Communication Response","Cognition Disorders","5"
"Disputes","cortex bone disorders","5"
"Impaired cognition","Timothy syndrome","5"
"Mediation","Depressive disorder","5"
"Dyslexia","Functional disorder","5"
"Fatigue","Parkinson Disease","5"
"Impaired cognition","Alcohol use disorder","5"
"Sex Behavior","Syndrome","5"
"Psychological Transfer","Neurodegenerative Disorders","5"
"Emotions","Behavior Disorders","5"
"Addictive Behavior","Substance Use Disorders","5"
"Social Role","Oculorespiratory syndrome","5"
"Mental association","Neoplastic disease","5"
"Powers (Psychology)","Disorders, Mental","5"
"Mental Processes","Parkinson Disease","5"
"Life Style","Functional disorder","5"
"Pain","Pervasive Development Disorder","5"
"Projection Defense Mechanism","neuropathology disease","5"
"Projection Defense Mechanism","Parkinsonian Disorders","5"
"Communication Response","Triglyceride storage disease with ichthyosis","5"
"Language Disorders","Autistic Disorder","5"
"Psychological inhibition","Post-Traumatic Stress Disorder","5"
"Attribution","cortex bone disorders","5"
"sharing","Syndrome","5"
"Hearing impairment","Sensorineural hearing loss (disorder)","5"
"psychological orientation","Alzheimer's Disease","5"
"Alcohol consumption during pregnancy","Fetal Alcohol Spectrum Disorders","5"
"Sleep","Behavior Disorders","5"
"Communication Response","Chronic Obstructive Airway Disease","5"
"Communication Response","Sleep Apnea Syndromes","5"
"Dyslexia","Neurodevelopmental disorder","5"
"sharing","Disease Progression","5"
"Period, Critical (Psychology)","Disorders, Mental","5"
"Pain","Musculoskeletal Diseases","5"
"smell perception","Lewy Body Disease","5"
"Echolocation","cortex bone disorders","5"
"Behavior","Seasonal Affective Disorder","5"
"Insight","Memory Disorders","5"
"Sleep Deprivation","cortex bone disorders","5"
"Psychological Transfer","Prion Diseases","5"
"Unipolar Depression","Cardiovascular Diseases","5"
"Attack behavior","Parkinson Disease","5"
"Communication Response","Dystonia Disorders","5"
"DEPRESSION MENTAL","Vascular Diseases","5"
"Automobile Driving","Alzheimer's Disease","5"
"Involvement with","Fetal Alcohol Syndrome","5"
"Body Weight","Syndrome, Bloch-Sulzberger","5"
"Psychological inhibition","Disorder of pineal gland","5"
"Psychological inhibition","Nail-Patella Syndrome","5"
"Mental concentration","Post-Traumatic Stress Disorder","5"
"Cocaine","Stereotypic Movement Disorder","5"
"Feedback - evaluative response process","Diseases of inner ear","5"
"Speech Disorders","Parkinson Disease","5"
"Coitus","Cerebrovascular Disorders","5"
"Behavioral change","Skin endocrine disorder","5"
"Thinking, function","Depressive disorder","5"
"Availability of","Major Depressive Disorder","5"
"Unipolar Depression","Pervasive Development Disorder","5"
"Attack behavior","Disease Progression","5"
"Cognition","Parkinsonian Disorders","5"
"Performance","Autistic Disorder","5"
"Impaired cognition","Bardet-Biedl Syndrome","5"
"Mental association","Autoimmune Diseases","5"
"Behavioral tic","Syndrome","5"
"Abnormal behavior","Gilles de la Tourette syndrome","5"
"Feedback - evaluative response process","Thyroid Diseases","5"
"Suicidal","Depressive disorder","5"
"Abnormal behavior","Pituitary Diseases","5"
"Regression - mental defense mechanism","Alzheimer's Disease","5"
"Language Disorders","Motor Neuron Disease","5"
"Impaired cognition","Developmental delay (disorder)","5"
"Communication Response","Drug effect disorder","5"
"Availability of","Attention deficit hyperactivity disorder","5"
"Behavioral change","Disorders, Mental","5"
"Vision","Miosis (disorder)","5"
"Involvement with","Anxiety Disorders","5"
"Sleep","Huntington Disease","5"
"Insight","Drug effect disorder","5"
"Social Role","Disease of thymus gland","5"
"Mental concentration","Acute infectious disease","5"
"Stress","Hodgkin Disease","5"
"Abstract thinking ability","Functional disorder","5"
"Mental concentration","Major Depressive Disorder","5"
"Mental association","Zika virus disease (disorder)","5"
"Unipolar Depression","Mild cognitive disorder","5"
"Obsessive compulsive behavior","Functional disorder","5"
"competition","Parkinson Disease","5"
"Sports","Neurodegenerative Disorders","5"
"Unipolar Depression","Cushing Syndrome","5"
"DEPRESSION MENTAL","Alcohol withdrawal syndrome","5"
"DEPRESSION MENTAL","Li-Fraumeni Syndrome","5"
"Psychological inhibition","Stress Disorders, Traumatic","5"
"Psychological suppression","Disorder nervous system","5"
"Emotional Strain","Virus Diseases","5"
"Repression, Psychology","Functional disorder","5"
"Conditionings (Psychology)","Functional disorder","5"
"Hallucinations, Visual","Parkinsonian Disorders","5"
"Sets (Psychology)","Autistic Disorder","5"
"Memory impairment","Shy-Drager Syndrome","5"
"Alcoholic Intoxication, Chronic","Anxiety Disorders","5"
"Tic disorder","Obsessive-Compulsive Disorder","5"
"Social Role","Attention Deficit Disorder","5"
"Memory","Neurodevelopmental disorder","5"
"Cognitive Reserve","Neurodegenerative Disorders","5"
"Social Interaction","Disorders, Mental","5"
"Hallucinations","Functional disorder","5"
"Behavior","Learning Disorders","5"
"Fasting","Parkinson Disease","5"
"Involvement with","Sequela of disorder","5"
"Learning","Recurrent disease","5"
"Sleep","Migraine Disorders","5"
"Sensory Process","Migraine Disorders","5"
"biological adaptation to stress","Hypertensive disease","5"
"Fasting","Nystagmus associated with disorder of the vestibular system","5"
"Behavior","Shy-Drager Syndrome","5"
"Stress","Metabolic Syndrome X","5"
"Fatigue","Sleep Disorders","5"
"Insight","Metabolic Diseases","5"
"Like","Alcohol withdrawal syndrome","5"
"Forgetful","Syndrome","5"
"Marijuana Abuse","Disorders, Mental","5"
"Communication","Neurotoxicity Syndromes","5"
"Emotions","Alcohol use disorder","5"
"Marijuana Abuse","Functional disorder","5"
"Psychological inhibition","Cognition Disorders","5"
"Object Recognition","Cognition Disorders","5"
"Reaching","Spinal Cord Diseases","5"
"Impaired cognition","motor disorder","5"
"Insight","Ataxia as late effect of cerebrovascular disease","5"
"Coitus","Sensitization (disorder)","5"
"Fear","Panic Disorder","5"
"Availability of","Parkinsonian Disorders","5"
"Abnormal behavior","Virus Diseases","5"
"Emotions","Disease Progression","5"
"Visual learning","Sexually Transmitted Diseases","5"
"Coitus","Lewy Body Disease","5"
"Practices (Psychology)","Disease Progression","5"
"Cognition","Major Depressive Disorder","5"
"Memory impairment","Pervasive Development Disorder","5"
"Discrimination","Depressive disorder","5"
"Wakefulness","Depressive disorder","5"
"Mental association","Stress Disorders, Traumatic","5"
"Success","Delirium, Dementia, Amnestic, Cognitive Disorders","5"
"Experience","Neurodevelopmental disorder","5"
"Reaction Time","Alzheimer's Disease","5"
"Factors, Risk","neuropathology disease","5"
"Addictive Behavior","Binge eating disorder","5"
"DEPRESSION MENTAL","other psychiatric disorders","5"
"Communication Response","Conjunctival Diseases","5"
"Addictive Behavior","cortex bone disorders","5"
"Memory impairment","Fragile X Syndrome","5"
"Memory","Phobic anxiety disorder","5"
"Repetitious behavior","Stereotypic Movement Disorder","5"
"Behavior","Angelman Syndrome","5"
"Mood","Brain Diseases","5"
"Attribution","Disease Progression","5"
"Conditionings (Psychology)","Syndrome, Bloch-Sulzberger","5"
"Performance","Ataxia as late effect of cerebrovascular disease","5"
"Like","Hypertrophic disorder of skin, unspecified","5"
"Gestures","Communicable Diseases","5"
"Paralysed","Sensory Disorders","5"
"Ethanol","Acute infectious disease","5"
"Manic","Disorders, Mental","5"
"Executive Function","Bipolar Disorder","5"
"Abnormal behavior","Panic Disorder","5"
"Pain Perception","Spinal Cord Diseases","5"
"Behavior","Hereditary Diseases","5"
"High risk of","Mild cognitive disorder","5"
"Hearing impairment","Ataxia as late effect of cerebrovascular disease","5"
"Withdrawal","Alcohol withdrawal syndrome","5"
"Exercise","Timothy syndrome","5"
"Feedback - system communication","Diseases of inner ear","5"
"Sex Behavior","Lewy Body Disease","5"
"Ethanol","Wernicke-Korsakoff Syndrome","5"
"Anxiety","Ataxia as late effect of cerebrovascular disease","5"
"Hyperactive behavior","Behavior Disorders","5"
"Availability of","Autistic Disorder","5"
"Communication Response","Congenital secretory diarrhea, sodium type (disorder)","5"
"Physical Contact","Alzheimer's Disease","5"
"Insight","Virus Diseases","5"
"Availability of","Prion Diseases","5"
"Feeling content","Neurotoxicity Syndromes","5"
"Period, Critical (Psychology)","Autism Spectrum Disorders","5"
"Impaired cognition","Mixed anxiety and depressive disorder","5"
"Psychological suppression","Neurodegenerative Disorders","5"
"Emotional Strain","Shy-Drager Syndrome","5"
"Availability of","Rett Syndrome","5"
"Practices (Psychology)","Disorder nervous system","5"
"Behavioral change","Parkinson Disease","5"
"Suck finding","Alzheimer's Disease","5"
"Learning","Fetal Alcohol Spectrum Disorders","5"
"Victim of abuse (finding)","Functional disorder","5"
"Cognition","Attention Deficit Disorder","5"
"Psychological suppression","Nystagmus associated with disorder of the vestibular system","5"
"Social fear","Williams Syndrome","5"
"Stress, Psychological","Pituitary Diseases","5"
"Psychological suppression","Hypertensive disease","5"
"Memory Disorders","Functional disorder","5"
"Thinking, function","Brain Diseases","5"
"Coitus","Liver diseases","5"
"Addictive Behavior","Eating Disorders","5"
"Psychological inhibition","Gardner Syndrome","5"
"Hallucinations","Parkinson Disease","5"
"Availability of","Hypertensive disease","5"
"Success","Migraine Disorders","5"
"Like","Fetal Alcohol Spectrum Disorders","5"
"Sound Localization","Lung Diseases, Interstitial","5"
"Ethanol","Leigh Disease","5"
"Drug abuse","Delirium, Dementia, Amnestic, Cognitive Disorders","5"
"Attention","Down Syndrome","5"
"Perception","Brain Diseases","5"
"Mood Disorders","Huntington Disease","5"
"Choice Behavior","cortex bone disorders","5"
"Mental concentration","Lung diseases","5"
"Suicide","Psychotic Disorders","5"
"Communication Response","Marfan Syndrome","5"
"Factors, Risk","Heart Diseases","5"
"Ethanol","Anxiety Disorders","5"
"Social Role","Sweet Syndrome","5"
"Psychological habituation","Autism Spectrum Disorders","5"
"Anxiety","Huntington Disease","5"
"Involvement with","Sleep Disorders","5"
"Mental Retardation","Developmental delay (disorder)","5"
"Behavior","Lens Diseases","5"
"Psychological inhibition","Ataxia as late effect of cerebrovascular disease","5"
"prepulse inhibition activity","Psychotic Disorders","5"
"Uncertainty","Depressive disorder","5"
"Sex Behavior","Cerebrovascular Disorders","5"
"Comprehension","Delirium, Dementia, Amnestic, Cognitive Disorders","5"
"Communication Response","Demyelinating Diseases","5"
